Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Hspa9	581.5	410	753	0
Fam219b	580.5	436	725	0
Nde1	579.5	415	744	0
Marf1	579.5	415	744	0
Pcmt1	577.0	512	642	0
Nup43	577.0	512	642	0
Foxq1	576.5	517	636	0
Chst12	576.0	408	744	0
Tbc1d10a	575.5	421	730	0
Tm2d2	572.5	444	701	0
Adam9	572.5	444	701	0
Crcp	572.0	361	783	0
Asl	572.0	361	783	0
Plekha6	571.0	401	741	0
Stmn1	570.0	401	739	0
Smndc1	569.5	459	680	0
Pak1ip1	567.5	456	679	0
Dnajc13	567.5	415	720	0
Mettl9	566.5	510	623	0
Ruvbl2	565.0	371	759	0
Gys1	565.0	371	759	0
Gtse1	564.5	501	628	0
Aqp11	563.0	424	702	0
Klf15	562.5	404	721	0
Nab1	562.0	492	632	0
Suox	561.5	425	698	0
Got1	561.5	386	737	0
Smyd4	560.0	412	708	0
Rpa1	560.0	412	708	0
Ptpn13	559.5	469	650	0
Cmbl	559.5	471	648	0
B230307C23Rik	559.5	405	714	0
Exd1	558.5	474	643	0
Chp1	558.5	474	643	0
Mical2	556.0	424	688	0
Rundc1	555.5	516	595	0
Ptges3l	555.5	516	595	0
Zfp36	554.0	452	656	0
Plrg1	554.0	408	700	0
Plekhg2	554.0	452	656	0
Fgb	554.0	408	700	0
Rbpms2	552.5	411	694	0
Fbxl3	552.0	507	597	0
Ttk	550.5	398	703	0
Selenoo	550.5	392	709	0
Dgat1	550.5	438	663	0
Sap130	550.0	352	748	0
Stat1	549.5	397	702	0
Orc2	549.0	384	714	0
Sorbs3	548.5	471	626	0
Aass	548.5	447	650	0
Nrn1	547.0	508	586	0
L2hgdh	545.0	384	706	0
Dmac2l	545.0	384	706	0
Tmem230	543.5	386	701	0
Pcna	543.5	386	701	0
Avpi1	543.5	426	661	0
Smg7	539.5	394	685	0
Zfp654	538.0	400	676	0
Cggbp1	538.0	400	676	0
Yod1	536.5	475	598	0
Pfkfb2	536.5	475	598	0
C87436	535.0	370	700	0
Psen2	534.5	395	674	0
Fnip2	534.5	379	690	0
Faf1	534.5	313	756	0
Eef1akmt4-ece2	534.5	397	672	0
Eef1akmt4	534.5	397	672	0
Alg3	534.5	397	672	0
Vasn	534.0	525	543	0
Btbd8	534.0	444	624	0
Acat1	534.0	383	685	0
Mturn	533.0	482	584	0
Nfkbia	532.5	417	648	0
Pitpnc1	530.0	386	674	0
Yes1	529.5	436	623	0
Rnf157	529.0	313	745	0
Slc6a12	528.0	524	532	0
St3gal3	527.0	450	604	0
Asph	526.0	445	607	0
Acsf2	525.5	408	643	0
Rnf31	524.0	490	558	0
Psme2	524.0	490	558	0
Cyb5a	523.5	362	685	0
Clptm1	522.0	266	778	0
Bdnf	522.0	361	683	0
Rhof	520.5	492	549	0
Ppp4r3b	520.0	459	581	0
BC031181	519.0	379	659	0
Ttc21a	518.5	435	602	0
Gorasp1	518.5	435	602	0
Dhx40	516.5	330	703	0
Uap1	515.5	408	623	0
Tm7sf2	515.0	380	650	0
Mia3	514.0	379	649	0
Srebf1	513.0	361	665	0
Mtrr	511.5	337	686	0
Fastkd3	511.5	337	686	0
Naa40	510.0	369	651	0
Arl6ip1	510.0	412	608	0
Csrnp1	509.5	393	626	0
Trpt1	509.0	358	660	0
Nudt22	509.0	358	660	0
Dnajc4	509.0	358	660	0
Pex16	508.5	436	581	0
Large2	508.5	436	581	0
Msh2	508.0	434	582	0
Uck2	506.5	353	660	0
Tbc1d31	506.5	336	677	0
Fkbp4	505.5	472	539	0
Cnnm2	505.5	303	708	0
Vapa	505.0	394	616	0
Yif1b	503.5	528	479	0
Kif21a	503.5	358	649	0
Jup	503.5	276	731	0
Ergic3	503.0	384	622	0
Ctnnb1	503.0	307	699	0
6430550D23Rik	503.0	384	622	0
Prrc1	501.5	367	636	0
Med1	501.0	451	551	0
Agfg2	500.0	387	613	0
Dhrs3	499.0	341	657	0
Tgfbr1	495.5	383	608	0
Mtch1	494.5	390	599	0
Fbxo11	494.5	382	607	0
St6galnac6	494.0	436	552	0
Rel	493.5	354	633	0
Cic	493.0	497	489	0
Polr3f	492.0	448	536	0
Dzank1	492.0	448	536	0
Slc35a5	491.5	361	622	0
Ruvbl1	491.5	437	546	0
Prr14	491.5	445	538	0
Atg3	491.5	361	622	0
Mllt1	491.0	330	652	0
Rprd2	490.5	363	618	0
Strbp	490.0	395	585	0
Rbm15b	490.0	303	677	0
Manf	490.0	303	677	0
Leng8	489.0	317	661	0
Atg4d	488.0	303	673	0
Slc25a33	487.5	394	581	0
Rasgef1b	487.5	394	581	0
Ogfod2	487.5	413	562	0
Gtf2a1	487.5	413	562	0
Arl6ip4	487.5	413	562	0
Fryl	487.0	442	532	0
Fam214b	486.5	305	668	0
Pfkfb1	485.0	302	668	0
Nqo1	484.5	502	467	0
Tfcp2	483.0	377	589	0
Lmnb1	482.5	454	511	0
Hs6st1	482.5	396	569	0
Hsp90aa1	480.0	343	617	0
Hjurp	479.0	401	557	0
A730008H23Rik	479.0	401	557	0
Baiap2	478.5	348	609	0
Lss	477.5	316	639	0
Ubl5	477.0	350	604	0
Fbxl12	477.0	350	604	0
Slc2a4	475.5	335	616	0
Hnrnpf	475.0	401	549	0
Hhex	475.0	336	614	0
Stxbp5l	474.0	340	608	0
Ppm1k	473.0	350	596	0
Actn1	473.0	350	596	0
Uhrf1	472.0	421	523	0
Per1	472.0	300	644	0
Atg10	472.0	340	604	0
Arrdc5	472.0	421	523	0
Klf11	471.5	321	622	0
Rnf149	471.0	344	598	0
Epg5	470.5	328	613	0
C1qtnf6	467.5	455	480	0
Dmwd	464.5	368	561	0
Trmt1l	464.0	384	544	0
Swt1	464.0	384	544	0
Hspb1	463.5	369	558	0
N4bp3	462.5	300	625	0
Mxd1	462.0	368	556	0
Rnf123	459.5	357	562	0
Mst1	459.5	357	562	0
Ist1	457.0	291	623	0
