Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Ccdc162	565.5	876	255	0
Primpol	565.0	776	354	0
Gsg1l2	565.0	764	366	0
Glp2r	565.0	764	366	0
Casp3	565.0	776	354	0
Nat8	562.5	554	571	0
Rest	562.0	936	188	0
Tulp2	557.5	792	323	0
Dhdh	557.5	792	323	0
Mrps36	556.5	849	264	0
Zfp275	556.0	591	521	0
Ddx6	554.5	853	256	0
Gfra3	548.0	850	246	0
Zfc3h1	546.0	876	216	0
Thap2	546.0	876	216	0
Prokr2	545.5	785	306	0
Gmnn	544.5	825	264	0
Gm11541	543.5	1087	0	0
Sertad4	542.0	686	398	0
Slc25a51	540.0	564	516	0
Unc13c	539.0	602	476	0
Tcea1	535.5	882	189	0
Dctn3	534.5	808	261	0
Arid3c	534.5	808	261	0
Wbp11	533.0	637	429	0
Ppp1cb	533.0	695	371	0
BC049715	533.0	637	429	0
Mecom	532.0	1064	0	0
Epb41l4b	532.0	702	362	0
Tmem219	530.0	784	276	0
Srebf2	530.0	629	431	0
Crb1	527.0	801	253	0
Spon1	523.5	638	409	0
Slc39a11	523.5	579	468	0
Mapk9	522.5	830	215	0
Apobec3	522.0	734	310	0
Sptlc2	519.5	820	219	0
Spg7	519.0	602	436	0
Limch1	519.0	670	368	0
Irx1	519.0	679	359	0
St8sia5	518.0	668	368	0
Ereg	518.0	863	173	0
Asap1	518.0	595	441	0
Gm4952	517.0	796	238	0
Rfx1	516.0	839	193	0
Car14	516.0	641	391	0
Tmem178	514.5	714	315	0
Ldhal6b	514.5	792	237	0
Etv1	514.5	684	345	0
Mthfd2	513.5	514	513	0
Zfand3	513.0	553	473	0
Eppin	513.0	650	376	0
Septin3	512.5	781	244	0
Pgbd5	512.5	876	149	0
Mnx1	512.0	865	159	0
Nr4a2	511.5	576	447	0
Glis2	511.5	817	206	0
Rnf130	511.0	534	488	0
Polr3gl	511.0	668	354	0
Frmd4a	511.0	547	475	0
Ankrd34a	511.0	668	354	0
Ank	508.5	598	419	0
Zadh2	505.0	630	380	0
Tshz1	505.0	630	380	0
Zfp148	503.0	707	299	0
Zfp704	501.5	503	500	0
Insyn2b	501.5	427	576	0
Ccdc154	501.0	704	298	0
Adam12	500.5	764	237	0
Alk	500.0	780	220	0
Ap1s1	498.5	747	250	0
Ermn	495.0	578	412	0
Sel1l3	494.0	609	379	0
Rgmb	493.0	677	309	0
Kcnk2	491.0	688	294	0
Gsc	491.0	602	380	0
Prkab2	490.5	710	271	0
Fam170a	489.0	611	367	0
Tcf12	488.5	496	481	0
Dnajb2	488.5	554	423	0
A630095N17Rik	488.5	554	423	0
Kbtbd11	488.0	678	298	0
Pyurf	487.0	546	428	0
Ccdc60	485.0	664	306	0
Eya2	484.5	612	357	0
Krt20	479.0	780	178	0
Foxp2	479.0	631	327	0
Slc39a2	472.5	621	324	0
Mllt10	472.0	470	474	0
Pcdhgc5	468.5	687	250	0
Pcdhgc4	468.5	687	250	0
Slc9b2	468.0	658	278	0
Mlip	466.5	503	430	0
Insl6	466.0	532	400	0
Ypel1	465.0	690	240	0
Ccser2	465.0	591	339	0
Zdhhc2	464.0	757	171	0
Fbxl2	464.0	658	270	0
Mrap	463.0	483	443	0
Dnaja3	462.5	631	294	0
Coro7	462.5	631	294	0
Sos1	462.0	729	195	0
Prdx4	461.0	522	400	0
Blnk	460.5	466	455	0
Rtn1	457.5	637	278	0
Nme6	455.0	657	253	0
Btk	455.0	615	295	0
Dip2b	454.5	692	217	0
