Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Bmf	855.25	827	576	554	1464	0
Nat8f6	854.0	787	566	456	1607	0
Thrsp	850.75	1076	929	372	1026	0
Fetub	850.75	901	589	587	1326	0
Atg14	849.75	1125	429	473	1372	0
Nfkbia	849.25	965	585	527	1320	0
Ralgapa2	848.0	1070	839	488	995	0
Tom1l1	847.5	869	700	560	1261	0
Tmem38b	847.5	965	579	635	1211	0
Hyi	847.0	1030	647	575	1136	0
Rsad2	845.0	866	543	606	1365	0
Tmem243	841.0	643	456	409	1856	0
Apol9a	837.25	691	560	662	1436	0
Zfp2	837.0	890	613	540	1305	0
Ndufa5	836.5	879	760	612	1095	0
Asb15	836.5	879	760	612	1095	0
Slc13a3	834.0	532	487	603	1714	0
Bloc1s6	831.75	1074	761	456	1036	0
Fads1	831.5	944	540	600	1242	0
Erc2	830.0	1117	710	285	1208	0
Baz1b	829.5	479	253	373	2213	0
Saa3	828.75	856	500	498	1461	0
Lgr4	828.75	625	417	244	2029	0
Spag8	828.25	981	418	526	1388	0
Hint2	828.25	981	418	526	1388	0
Atf3	828.25	589	395	460	1869	0
Pa2g4	825.0	622	368	376	1934	0
Gm38396	824.0	732	667	516	1381	0
Rad51d	821.25	595	456	627	1607	0
Fndc8	821.25	595	456	627	1607	0
Usp48	820.25	633	445	314	1889	0
Slc35b4	819.0	1007	512	666	1091	0
Tef	818.5	570	288	403	2013	0
Tprkb	817.75	930	627	435	1279	0
Nat8f1	817.75	930	627	435	1279	0
Timm23	817.5	895	774	427	1174	0
Parg	817.5	895	774	427	1174	0
Furin	817.5	588	418	459	1805	0
Msh5	816.25	1048	557	554	1106	0
Clic1	816.25	1048	557	554	1106	0
Bphl	816.25	985	637	528	1115	0
Nat8f3	813.75	888	445	531	1391	0
Got1l1	813.5	1068	431	339	1416	0
Fgd2	813.5	595	415	544	1700	0
Apol9b	813.0	669	776	498	1309	0
Gm45623	811.75	802	546	601	1298	0
Epas1	811.25	945	495	649	1156	0
Coq10b	810.5	414	348	474	2006	0
Alpl	810.5	779	457	573	1433	0
Akirin2	810.5	844	523	525	1350	0
Inpp5a	809.0	481	149	285	2321	0
Kifc5b	808.75	518	253	458	2006	0
Derl1	808.25	751	648	691	1143	0
Il4ra	807.0	862	415	455	1496	0
Slc25a45	806.75	671	360	214	1982	0
Frmd8	806.75	671	360	214	1982	0
Tmem268	805.75	900	623	501	1199	0
Nphs1	804.0	1035	753	464	964	0
Ccl9	804.0	871	732	520	1093	0
S100a10	803.5	930	693	524	1067	0
Nfx1	802.5	857	573	545	1235	0
Smlr1	801.5	910	841	601	854	0
