Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Borcs5	1424.5	1079	1166	1614	1839	0
Nolc1	1424.0	1286	1369	1594	1447	0
Rtel1	1422.75	1335	1110	2001	1245	0
Lpin1	1422.25	954	1216	1810	1709	0
Foxn2	1422.25	1454	1411	1263	1561	0
Tcp11l2	1421.75	991	841	1801	2054	0
Ttc25	1421.5	1171	1388	1332	1795	0
Cldn34d	1417.5	1263	1155	1919	1333	0
Tfrc	1413.0	1189	855	1660	1948	0
Mrm3	1413.0	1330	1332	1485	1505	0
Glod4	1413.0	1330	1332	1485	1505	0
Apmap	1412.5	1218	1658	1329	1445	0
Ppp1r13l	1411.0	1367	1133	1502	1642	0
Cd3eap	1411.0	1367	1133	1502	1642	0
St3gal1	1409.25	1098	1029	1659	1851	0
Polr2e	1406.5	1052	1301	1701	1572	0
Hspa9	1405.5	1299	1030	1714	1579	0
Adck1	1402.25	1241	1515	1473	1380	0
Rrp9	1399.75	1435	1300	1364	1500	0
Parp3	1399.75	1435	1300	1364	1500	0
Ybx1	1397.25	769	971	1923	1926	0
Zfp566	1396.5	903	1359	1464	1860	0
Zfp260	1396.5	903	1359	1464	1860	0
Trap1	1394.5	1202	935	1813	1628	0
Taf1a	1394.25	1288	1572	1523	1194	0
Zgpat	1394.0	1120	1246	1418	1792	0
Arfrp1	1394.0	1120	1246	1418	1792	0
Ipo13	1393.0	1193	1230	1454	1695	0
Dus4l	1391.25	1004	1153	1615	1793	0
Cog5	1391.25	1004	1153	1615	1793	0
Tcof1	1389.0	849	1233	1601	1873	0
Ecsit	1388.75	1087	1473	1410	1585	0
Snapc4	1388.25	1376	1224	1704	1249	0
Ropn1l	1387.25	1567	1366	1230	1386	0
Actr6	1386.5	1462	1280	1483	1321	0
Lipt1	1384.25	1300	1346	1477	1414	0
Lars2	1383.75	1180	1753	1400	1202	0
Kif20a	1383.25	1365	1065	1531	1572	0
Gnl2	1383.25	1061	1337	1564	1571	0
Brd8	1383.25	1365	1065	1531	1572	0
Krr1	1382.5	840	1230	1567	1893	0
Angptl4	1381.75	1322	1335	1355	1515	0
Tsr1	1380.5	1261	1089	1581	1591	0
Sgsm2	1380.5	1261	1089	1581	1591	0
Ifrd2	1380.25	1096	906	1969	1550	0
Frg2f1	1380.25	1071	1121	1639	1690	0
Foxj3	1380.25	1071	1121	1639	1690	0
Pitrm1	1379.25	1514	1506	1195	1302	0
Ppan	1378.0	1071	903	1887	1651	0
Wdr26	1369.25	836	1262	1385	1994	0
Lrrc24	1369.25	1310	1222	1515	1430	0
C030006K11Rik	1369.25	1310	1222	1515	1430	0
Lap3	1368.25	911	1481	1522	1559	0
Odc1	1367.5	841	860	1639	2130	0
Rrp1b	1364.0	1175	1369	1489	1423	0
Hsf2bp	1364.0	1175	1369	1489	1423	0
Utp15	1362.25	1420	1497	1254	1278	0
Ankra2	1362.25	1420	1497	1254	1278	0
Nkx1-1	1359.25	1342	2430	915	750	0
Wdr34	1358.75	1608	1285	1505	1037	0
Hjurp	1352.25	841	743	2006	1819	0
A730008H23Rik	1352.25	841	743	2006	1819	0
Gtpbp4	1351.25	1177	1106	1507	1615	0
Med27	1349.25	1497	1840	990	1070	0
