Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
Psmd3	394.0	324	464	0
Cyth1	392.0	784	0	0
Mbd6	391.0	638	144	0
Ddit3	391.0	638	144	0
4930451I11Rik	390.5	326	455	0
Sirt3	389.0	778	0	0
Psmd13	389.0	778	0	0
Slc38a2	388.0	291	485	0
Dot1l	388.0	197	579	0
Dyrk3	386.0	772	0	0
Sct	385.5	771	0	0
Cdhr5	385.5	771	0	0
Olfr806	383.0	531	235	0
Foxp1	381.0	762	0	0
Rnaseh2a	380.5	403	358	0
Prdx2	380.5	403	358	0
Clec2g	378.0	756	0	0
Cdca7l	377.5	0	755	0
Orai3	376.0	752	0	0
H3c6	376.0	394	358	0
Gbp9	373.0	746	0	0
Gtf2a1	363.0	256	470	0
Aebp2	363.0	726	0	0
Tmem198	361.0	236	486	0
Chpf	361.0	236	486	0
Slc25a25	357.5	267	448	0
Naif1	357.5	267	448	0
Lims1	354.5	629	80	0
Cbx4	354.5	230	479	0
H3c13	351.0	218	484	0
H2bc18	351.0	218	484	0
Psmg4	349.0	698	0	0
Psapl1	348.5	697	0	0
Arhgef9	348.5	315	382	0
Ndufaf1	346.5	321	372	0
H3f3c	346.5	321	372	0
Pmvk	346.0	283	409	0
Fbxw7	346.0	692	0	0
Phf5a	344.5	313	376	0
Igsf9b	344.5	689	0	0
Aco2	344.5	313	376	0
Rprd2	343.5	156	531	0
Epc1	341.5	498	185	0
Rtn3	341.0	189	493	0
Rbbp6	341.0	172	510	0
Bbc3	338.5	677	0	0
Znfx1	336.5	276	397	0
H3c15	336.5	216	457	0
H3c14	336.5	216	457	0
H2ac19	336.5	216	457	0
H2ac18	336.5	216	457	0
Supt4a	330.5	115	546	0
Phf12	330.5	308	353	0
Ablim1	329.5	659	0	0
Cdk16	328.5	215	442	0
Art3	328.0	656	0	0
Rnf187	326.5	290	363	0
Cfap45	326.5	653	0	0
Dcaf10	326.0	353	299	0
Lancl2	325.5	234	417	0
Erdr1	324.5	279	370	0
Txnip	324.0	341	307	0
Gabarapl1	324.0	211	437	0
Asmt	324.0	479	169	0
H3c7	321.0	243	399	0
H2bc9	321.0	243	399	0
Fndc10	321.0	642	0	0
Ptch1	320.5	220	421	0
H4c3	319.5	289	350	0
H1f6	319.5	289	350	0
Cpeb3	318.0	397	239	0
Hlcs	314.5	314	315	0
Smarcal1	314.0	209	419	0
Mettl26	313.5	225	402	0
Dhx33	313.0	377	249	0
Rfx7	311.0	332	290	0
Prkcsh	310.0	138	482	0
Ccdc151	310.0	138	482	0
Timm21	309.5	301	318	0
Fbxo15	309.5	301	318	0
Sfi1	306.5	266	347	0
H4c14	305.0	273	337	0
Exd2	305.0	351	259	0
Pdzd8	304.5	0	609	0
Fnbp4	304.0	322	286	0
Ppp1r10	303.5	287	320	0
Mrps18b	303.5	287	320	0
H4c11	302.5	291	314	0
Gatad1	302.5	253	352	0
Clcn4	302.0	103	501	0
Tex14	300.5	297	304	0
Tmem129	298.0	274	322	0
Tacc3	298.0	274	322	0
Neurl4	298.0	290	306	0
2810408A11Rik	298.0	290	306	0
Stx18	295.5	337	254	0
Arhgap11a	295.5	295	296	0
Ubc	294.5	439	150	0
Mtmr4	294.5	255	334	0
Ssrp1	292.0	157	427	0
P2rx3	292.0	157	427	0
Prrg4	291.5	583	0	0
Ppp1r8	291.0	251	331	0
Gtse1	291.0	582	0	0
Ube2l3	290.5	306	275	0
H3f3a	290.5	293	288	0
Wdr24	290.0	317	263	0
Lima1	288.5	577	0	0
Bckdk	286.5	214	359	0
Vmn2r102	286.0	187	385	0
Prkag2	286.0	266	306	0
H2bc6	285.5	273	298	0
H1f4	285.5	273	298	0
Dpf2	284.5	224	345	0
Rgl2	284.0	379	189	0
Lgr6	284.0	568	0	0
Traf7	283.5	242	325	0
Rab26	283.5	242	325	0
Trmt10a	282.0	262	302	0
Mttp	282.0	262	302	0
H4c6	281.0	285	277	0
H1f3	281.0	285	277	0
H4f16	278.5	180	377	0
H2aj	278.5	180	377	0
Pabpc4	277.5	188	367	0
Septin2	275.5	271	280	0
Hdlbp	275.5	271	280	0
Bcl6	275.5	551	0	0
Ankrd35	274.5	549	0	0
Ncapd2	273.5	278	269	0
Mrpl51	273.5	278	269	0
Ccng1	273.0	387	159	0
Zbtb8os	271.5	202	341	0
Rbbp4	271.5	202	341	0
Cdkn1a	271.0	542	0	0
Ndufs7	269.5	226	313	0
Ube2j2	268.5	238	299	0
Zfp580	268.0	204	332	0
Luc7l2	268.0	339	197	0
Lrp6	268.0	225	311	0
Ccdc106	268.0	204	332	0
Wwox	266.0	296	236	0
Tcte3	266.0	232	300	0
Ppp2r1b	266.0	532	0	0
Gm3448	266.0	232	300	0
Gm3435	266.0	232	300	0
Gm3417	266.0	232	300	0
Atp5g1	265.5	345	186	0
Lbhd1	264.5	169	360	0
Zfp560	264.0	257	271	0
Mtf2	264.0	237	291	0
Krt17	263.5	527	0	0
Gja1	263.0	526	0	0
Abhd6	262.5	323	202	0
Rufy1	261.5	176	347	0
Mnt	260.0	155	365	0
Asph	260.0	520	0	0
Cd80	259.5	519	0	0
Yme1l1	259.0	317	201	0
Pimreg	259.0	191	327	0
Mastl	259.0	317	201	0
Ap1g1	259.0	307	211	0
Aipl1	259.0	191	327	0
Ermard	258.5	229	288	0
Slc9a1	258.0	290	226	0
Trmo	257.5	175	340	0
Gabpb2	257.5	149	366	0
Tspoap1	256.5	234	279	0
Mrps31	256.5	165	348	0
Zc3h7b	255.5	211	300	0
Tbcb	254.5	289	220	0
Polr2i	254.5	289	220	0
Ovol3	254.5	289	220	0
Dhrs7b	254.0	231	277	0
Pik3r2	253.0	337	169	0
Zfp706	252.5	399	106	0
Vps4b	252.0	157	347	0
Med23	251.5	175	328	0
Elk1	250.5	184	317	0
Mrpl58	249.5	261	238	0
Mrpl39	249.5	279	220	0
Zscan25	248.5	390	107	0
Mrpl44	248.0	211	285	0
Rab40c	247.5	213	282	0
Fosl2	246.0	162	330	0
Cenpu	246.0	244	248	0
Ube2d3	245.0	212	278	0
Tmem242	245.0	258	232	0
Ints5	245.0	130	360	0
Gtf3c6	245.0	238	252	0
1810009A15Rik	245.0	130	360	0
Zfp335	244.5	156	333	0
Wbp1	244.5	94	395	0
Rdm1	244.5	348	141	0
Ino80b	244.5	94	395	0
Ube2v2	244.0	488	0	0
Plb1	244.0	488	0	0
Klhl20	243.5	159	328	0
Tmem41b	242.0	232	252	0
Sp1	240.0	178	302	0
Ddx56	240.0	262	218	0
H4c17	239.5	212	267	0
H4bc24	239.5	212	267	0
H2bc23	239.5	212	267	0
H2ac24	239.5	212	267	0
H2ac23	239.5	212	267	0
Taf6	239.0	245	233	0
Cnpy4	239.0	245	233	0
Klhdc4	238.0	275	201	0
Syne3	237.0	474	0	0
Sar1b	236.5	197	276	0
Vps45	236.0	193	279	0
Med24	236.0	182	290	0
Pygo2	235.5	103	368	0
Dscam	235.0	470	0	0
Bag6	235.0	263	207	0
Apom	235.0	263	207	0
Usp11	234.5	236	233	0
H1f2	234.5	184	285	0
Gtf3a	234.5	140	329	0
Cryl1	234.5	208	261	0
Prrg2	234.0	219	249	0
Nosip	234.0	219	249	0
Cdc14b	233.5	151	316	0
Serinc3	233.0	151	315	0
Apobec1	233.0	466	0	0
9030025P20Rik	233.0	202	264	0
Fosl1	232.5	256	209	0
Wdr62	230.5	281	180	0
Wbp11	230.5	171	290	0
Slc3a2	230.5	205	256	0
BC049715	230.5	171	290	0
Rd3	229.5	459	0	0
Drg2	229.5	244	215	0
Bahcc1	229.5	375	84	0
Acp2	229.5	203	256	0
Vdr	229.0	236	222	0
Gpaa1	228.5	178	279	0
Exosc4	228.5	178	279	0
Dhodh	228.0	266	190	0
Rps23	227.5	192	263	0
Tars2	227.0	165	289	0
Sqor	227.0	454	0	0
Selenop	227.0	285	169	0
Smg8	226.5	243	210	0
9930021J03Rik	226.5	119	334	0
Trip4	225.5	300	151	0
Cst7	225.5	208	243	0
Dmrtb1	225.0	450	0	0
Btaf1	224.5	197	252	0
Neu3	223.5	447	0	0
Anp32e	223.0	162	284	0
Psd	222.0	116	328	0
Fbxl15	222.0	116	328	0
Nme1	221.5	149	294	0
Setd2	221.0	221	221	0
Aftph	221.0	241	201	0
Wbp1l	220.5	152	289	0
Cfap221	220.5	0	441	0
Mtfp1	219.5	314	125	0
H3c11	218.5	225	212	0
Mrpl45	218.0	175	261	0
Tmem107	217.5	133	302	0
Nme3	217.5	184	251	0
Mrps34	217.5	184	251	0
Eme2	217.5	184	251	0
Plekho2	217.0	434	0	0
Sec22b	216.5	195	238	0
H3c10	216.5	180	253	0
H2bc14	216.5	180	253	0
Agpat4	216.5	185	248	0
Trim7	215.5	187	244	0
Snn	215.5	431	0	0
Mnat1	215.5	234	197	0
Jarid2	215.5	210	221	0
Eif4a1	215.5	214	217	0
Wdr34	215.0	190	240	0
Ufsp2	214.5	160	269	0
Slc34a1	214.5	429	0	0
Mat2b	214.5	264	165	0
1700029J07Rik	214.5	160	269	0
Kidins220	214.0	187	241	0
Plxdc1	213.5	249	178	0
Eapp	213.5	218	209	0
Tut1	213.0	205	221	0
Pik3r1	213.0	328	98	0
Trim54	212.0	424	0	0
Dnaja3	212.0	264	160	0
Coro7	212.0	264	160	0
Shc1	211.5	204	219	0
Sema4b	211.5	423	0	0
Cks1b	211.5	204	219	0
Taco1	211.0	187	235	0
Rptor	211.0	135	287	0
Isy1	211.0	206	216	0
H2ax	211.0	178	244	0
Dmap1	211.0	166	256	0
Zfp512	210.5	168	253	0
Zc3h10	210.5	123	298	0
Rpl41	210.5	123	298	0
Lyrm7	210.5	260	161	0
Thyn1	210.0	420	0	0
Cradd	210.0	185	235	0
Acad8	210.0	420	0	0
Fbxl14	209.5	229	190	0
Ptpn6	209.0	124	294	0
Grcc10	209.0	124	294	0
Gm5741	209.0	234	184	0
Dhps	209.0	234	184	0
Dhcr7	208.0	267	149	0
Zpbp	207.5	184	231	0
Spata48	207.5	184	231	0
Polr3e	207.5	135	280	0
Myo1d	207.5	0	415	0
Trp53rkb	207.0	187	227	0
Ipo8	207.0	278	136	0
Gbp8	207.0	414	0	0
U2af1l4	206.5	160	253	0
Rps9	206.5	157	256	0
Psenen	206.5	160	253	0
Lin37	206.5	160	253	0
Igflr1	206.5	160	253	0
Gpr19	206.5	137	276	0
Vamp1	206.0	265	147	0
Rnf123	206.0	412	0	0
Mst1	206.0	412	0	0
Coa3	205.5	170	241	0
Cntd1	205.5	170	241	0
Akna	205.5	0	411	0
Slc22a12	204.5	409	0	0
Ikbkg	204.5	187	222	0
G6pdx	204.5	187	222	0
Nup54	204.0	121	287	0
Metrn	204.0	172	236	0
Antkmt	204.0	172	236	0
Nxt2	203.5	85	322	0
Hexim2	203.5	168	239	0
Glo1	203.0	285	121	0
E2f2	203.0	152	254	0
H2bc13	202.5	152	253	0
H2ac13	202.5	152	253	0
Capn1	202.5	201	204	0
Slfn14	202.0	172	232	0
Rad54l2	202.0	154	250	0
Ndufs8	201.5	211	192	0
H3f3b	201.5	147	256	0
