Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Notch1	490.5	443	538	0
Shprh	490.0	555	425	0
Polr2b	490.0	612	368	0
Noa1	490.0	612	368	0
Pik3ap1	489.0	472	506	0
Kansl2	488.0	445	531	0
1810010H24Rik	488.0	672	304	0
Ttc39c	487.5	772	203	0
Nudt19	487.5	490	485	0
Klf16	487.5	593	382	0
Ptpn1	486.5	756	217	0
Herpud1	486.5	447	526	0
Rnf38	486.0	471	501	0
Artn	486.0	472	500	0
Rab3gap2	485.5	443	528	0
Ppp2r5a	485.5	829	142	0
Hk1	485.5	534	437	0
Rasa1	485.0	543	427	0
Tesmin	484.5	424	545	0
Pcmtd1	484.5	552	417	0
Odc1	484.5	676	293	0
Lrp11	484.5	418	551	0
Agtpbp1	483.5	652	315	0
Lrrn4	482.5	489	476	0
Lrfn4	482.5	615	350	0
Ggnbp2	482.5	489	476	0
Stxbp6	482.0	514	450	0
Atxn1	481.0	478	484	0
Txnrd3	480.5	492	469	0
Pex2	480.0	506	454	0
Cep43	480.0	751	209	0
Cebpb	480.0	623	337	0
Trim8	479.5	556	403	0
Rgs19	479.5	461	498	0
Lkaaear1	479.5	461	498	0
Lap3	479.5	414	545	0
Taf4b	479.0	486	472	0
Kcnk13	479.0	577	381	0
Vdac3	478.5	678	279	0
Utp14b	478.0	462	494	0
Map3k14	478.0	556	400	0
Acsl3	478.0	462	494	0
Gjd3	477.5	513	442	0
Patl1	477.0	595	359	0
Coq10a	477.0	538	416	0
Cc2d1b	477.0	456	498	0
Ppp1r3d	476.5	524	429	0
Nacc2	476.5	789	164	0
Fam217b	476.5	524	429	0
Tusc1	476.0	622	330	0
Pm20d2	476.0	647	305	0
Brd4	476.0	439	513	0
Pkp4	474.5	561	388	0
Ccdc148	474.5	561	388	0
Wdr1	474.0	669	279	0
Tmem135	473.5	546	401	0
Sntb2	473.5	466	481	0
Serbp1	473.5	461	486	0
Map3k1	473.5	575	372	0
Gmds	473.5	621	326	0
Hsf4	472.5	553	392	0
Fbxl8	472.5	553	392	0
Actb	472.5	503	442	0
Pacsin2	472.0	720	224	0
Tagap1	471.5	732	211	0
Dek	471.0	444	498	0
Tatdn2	470.5	540	401	0
Hilpda	469.5	396	543	0
G3bp1	469.5	674	265	0
Mia2	469.0	582	356	0
Scaf11	468.5	632	305	0
Nans	468.5	289	648	0
Hmga2	468.5	575	362	0
Dennd2c	468.0	465	471	0
Arih1	468.0	652	284	0
Xylt2	467.5	362	573	0
Vps13a	467.0	595	339	0
Snrk	466.5	616	317	0
Emilin2	466.5	509	424	0
Zbtb2	466.0	475	457	0
Tmem189	466.0	503	429	0
Rap1gds1	466.0	476	456	0
Kcna3	466.0	530	402	0
Zfp280d	465.0	597	333	0
Nt5c2	465.0	607	323	0
Mmaa	464.5	540	389	0
Arhgap35	464.5	440	489	0
Usp53	464.0	391	537	0
Kdm7a	463.0	650	276	0
Erc1	463.0	583	343	0
Cnnm4	462.5	503	422	0
Utp4	462.0	673	251	0
Derpc	462.0	673	251	0
Chtf8	462.0	673	251	0
Rpp25	461.0	437	485	0
Camkk2	461.0	457	465	0
Abcc4	461.0	514	408	0
Spen	460.5	489	432	0
Fsd1l	460.0	479	441	0
Sh3pxd2a	459.5	500	419	0
Zfp292	458.5	498	419	0
Spry1	458.5	398	519	0
Rras2	458.5	489	428	0
Gclc	458.5	411	506	0
Tigd2	458.0	511	405	0
Skil	457.0	622	292	0
Lcorl	457.0	512	402	0
Tpst2	456.5	586	327	0
Mocs3	456.5	494	419	0
Dpm1	456.5	494	419	0
Ift88	456.0	377	535	0
Ankrd63	456.0	481	431	0
Eif5	455.5	527	384	0
Lamc1	455.0	769	141	0
Ina	455.0	607	303	0
Uhrf2	454.5	513	396	0
Atp2c1	454.5	593	316	0
St7	454.0	453	455	0
Sirt1	454.0	484	424	0
Cd2ap	453.5	456	451	0
Atxn7l3	453.5	538	369	0
Socs2	452.5	346	559	0
