Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Prr3	135.75	372	171	0	0	0
H4c4	135.75	383	160	0	0	0
H2bc6	135.75	383	160	0	0	0
Gnl1	135.75	372	171	0	0	0
Gps2	135.5	319	223	0	0	0
Srp19	134.5	399	139	0	0	0
4833420G17Rik	134.5	420	118	0	0	0
Hspe1	134.0	348	188	0	0	0
Hspd1	134.0	348	188	0	0	0
Mpc2	133.75	413	122	0	0	0
Dcaf6	133.75	413	122	0	0	0
Slu7	133.5	397	137	0	0	0
Pgam5	133.5	430	104	0	0	0
Spata17	133.25	332	201	0	0	0
Rad51	133.25	533	0	0	0	0
Ndufb3	133.25	309	224	0	0	0
Gpatch2	133.25	332	201	0	0	0
Fam126b	133.25	309	224	0	0	0
Tfb2m	133.0	418	114	0	0	0
Cnst	133.0	418	114	0	0	0
Larp4	132.75	411	120	0	0	0
Ddx24	132.75	531	0	0	0	0
Nol12	132.25	411	118	0	0	0
Eif3l	131.75	346	181	0	0	0
Usf1	131.5	395	131	0	0	0
Ccdc14	131.25	390	135	0	0	0
Arrdc2	131.0	388	136	0	0	0
Tsg101	130.75	368	155	0	0	0
Sec23ip	130.75	341	182	0	0	0
Mcmbp	130.75	341	182	0	0	0
Atp13a1	130.25	391	130	0	0	0
Snrpc	130.0	520	0	0	0	0
Pgap3	130.0	397	123	0	0	0
Mrps22	130.0	520	0	0	0	0
Gpr84	130.0	387	0	133	0	0
Arih2	130.0	406	114	0	0	0
Rpl27	129.75	390	129	0	0	0
Zfc3h1	129.5	343	175	0	0	0
Tmem129	129.5	375	143	0	0	0
Thap2	129.5	343	175	0	0	0
Tacc3	129.5	375	143	0	0	0
Snrpb2	129.5	345	173	0	0	0
Rack1	129.5	409	109	0	0	0
Pnisr	129.5	416	102	0	0	0
Eya3	129.25	383	134	0	0	0
Shq1	129.0	321	195	0	0	0
Fbxw11	129.0	352	164	0	0	0
Faf2	128.5	353	161	0	0	0
Dhx16	128.5	399	115	0	0	0
Smarcd1	128.0	390	122	0	0	0
Hif1an	128.0	391	121	0	0	0
Twnk	127.75	394	117	0	0	0
Rad1	127.75	343	168	0	0	0
Mrpl43	127.75	394	117	0	0	0
Brix1	127.75	343	168	0	0	0
Sdhaf2	127.25	360	149	0	0	0
Rexo5	127.25	509	0	0	0	0
Eri2	127.25	509	0	0	0	0
Cpsf7	127.25	360	149	0	0	0
Trmt10c	127.0	383	125	0	0	0
Rpl8	127.0	317	191	0	0	0
Kifc5b	127.0	313	195	0	0	0
Commd5	127.0	317	191	0	0	0
Tnpo3	126.25	351	154	0	0	0
Riok1	126.0	386	118	0	0	0
Cage1	126.0	386	118	0	0	0
Tmco6	125.75	503	0	0	0	0
Mfap1b	125.75	327	176	0	0	0
