Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Tgfbr2	78.333333	235	0	0	0
Rcn1	77.666667	233	0	0	0
Ptprm	77.666667	233	0	0	0
2300009A05Rik	77.666667	233	0	0	0
Ccl21b	77.333333	232	0	0	0
Lsp1	76.333333	229	0	0	0
Lax1	76.333333	0	229	0	0
4930579F01Rik	76.333333	229	0	0	0
Rrn3	76.0	228	0	0	0
Nemf	75.666667	0	227	0	0
Pla2g15	75.333333	226	0	0	0
F12	75.333333	0	226	0	0
Cyb5r4	75.333333	226	0	0	0
Hpx	75.0	225	0	0	0
Txn2	74.333333	223	0	0	0
Prpf40a	74.333333	223	0	0	0
Plcd1	74.333333	223	0	0	0
Bmp8b	74.333333	223	0	0	0
Arl6ip6	74.333333	223	0	0	0
Rps29	74.0	0	222	0	0
Tnc	73.0	219	0	0	0
Rara	73.0	219	0	0	0
Frmd4b	73.0	219	0	0	0
Gabpa	72.666667	218	0	0	0
Egln1	72.666667	218	0	0	0
Atp5j	72.666667	218	0	0	0
Efr3a	72.333333	217	0	0	0
Oit3	72.0	216	0	0	0
Pla2g5	71.666667	215	0	0	0
Pfdn4	71.666667	215	0	0	0
Nr1d1	71.666667	215	0	0	0
Hnrnpul1	71.666667	215	0	0	0
Cyp24a1	71.666667	215	0	0	0
Zfp768	71.333333	214	0	0	0
Zfp143	71.333333	0	214	0	0
Yod1	71.333333	0	214	0	0
Tmem86a	71.333333	0	214	0	0
Pfkfb2	71.333333	0	214	0	0
Capns1	71.333333	0	214	0	0
Zfp655	71.0	213	0	0	0
Suclg1	71.0	213	0	0	0
Nbeal1	71.0	213	0	0	0
Dpf2	71.0	213	0	0	0
Ankrd35	70.666667	212	0	0	0
Txnrd3	70.333333	211	0	0	0
Nsun3	70.333333	211	0	0	0
Fah	70.333333	211	0	0	0
Pappa	70.0	210	0	0	0
Nrg4	70.0	210	0	0	0
Ctcfl	70.0	210	0	0	0
Abcd3	70.0	210	0	0	0
