Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Phkg2	1755.0	1973	293	2785	1969	0
Rpl32	1754.25	1699	350	2766	2202	0
Ap2a1	1749.0	1825	272	2901	1998	0
Nat2	1745.75	2075	313	2546	2049	0
Nat1	1745.75	2075	313	2546	2049	0
Nsun3	1744.25	2317	671	2325	1664	0
Akap8	1740.0	2295	470	2608	1587	0
Ttc41	1739.25	2001	380	2419	2157	0
Hsp90b1	1739.25	2001	380	2419	2157	0
Zswim3	1739.0	1881	343	2623	2109	0
Acot8	1739.0	1881	343	2623	2109	0
Cep128	1738.25	1840	265	2681	2167	0
Tedc2	1734.25	2055	404	2408	2070	0
Rbl2	1729.5	1711	387	2889	1931	0
Tmem138	1728.5	1893	515	2368	2138	0
Cyb561a3	1728.5	1893	515	2368	2138	0
Traf7	1722.25	1899	504	2553	1933	0
Taf1a	1721.5	1970	402	2595	1919	0
Polr3b	1719.75	1677	541	2539	2122	0
Shoc2	1719.25	2087	253	2407	2130	0
Bbip1	1719.25	2087	253	2407	2130	0
Sp1	1715.5	1803	230	2610	2219	0
Yipf4	1711.75	2127	359	2358	2003	0
Poc1a	1710.5	1835	396	2507	2104	0
Sap30bp	1710.25	1800	280	2449	2312	0
Recql5	1710.25	1800	280	2449	2312	0
Fam32a	1710.0	2314	475	2224	1827	0
Coa4	1709.0	2092	447	2513	1784	0
Ufc1	1702.0	1729	268	2550	2261	0
Zfp85	1700.25	1881	342	2582	1996	0
Eaf2	1699.0	1784	334	2701	1977	0
Zcchc7	1697.5	2349	531	2200	1710	0
Spr	1697.25	2145	278	2662	1704	0
Fzd7	1694.75	1928	289	2662	1900	0
Armc7	1691.75	2314	545	2472	1436	0
Rplp2	1689.25	1658	435	2552	2112	0
Pidd1	1689.25	1658	435	2552	2112	0
Gm3448	1688.0	3385	1004	1537	826	0
Gm3417	1688.0	3385	1004	1537	826	0
Card9	1686.75	1995	262	2410	2080	0
Lcmt1	1686.0	2167	248	2402	1927	0
Snf8	1683.25	2096	773	2257	1607	0
Pak1ip1	1683.0	1910	446	2519	1857	0
Cyb561d1	1681.75	2492	568	2400	1267	0
Chmp4b	1679.5	1929	334	2524	1931	0
Gm6712	1678.75	1891	269	2485	2070	0
Atg7	1678.5	2736	630	2291	1057	0
Efcab12	1674.5	1931	192	2620	1955	0
Abracl	1673.5	2081	443	2680	1490	0
Zfp748	1668.25	2261	472	2244	1696	0
Zfhx2	1667.0	2097	361	2287	1923	0
Thtpa	1667.0	2097	361	2287	1923	0
Tcte3	1667.0	3385	1004	1453	826	0
Usp48	1664.0	1657	256	2740	2003	0
Skap2	1663.5	2412	497	2351	1394	0
Ccdc181	1662.0	2198	445	2566	1439	0
Hspa4	1656.0	2165	529	2251	1679	0
Mpv17l2	1655.5	2810	518	2074	1220	0
Rspry1	1649.0	2079	277	2541	1699	0
Psme3ip1	1649.0	2079	277	2541	1699	0
Tmem208	1648.75	1734	407	2419	2035	0
Lrrc29	1648.75	1734	407	2419	2035	0
Fanci	1645.25	1743	331	2545	1962	0
Pik3r2	1644.75	1622	284	2445	2228	0
Incenp	1642.5	1888	395	2364	1923	0
Napg	1639.5	1835	379	2571	1773	0
Fam120b	1637.25	1762	488	2453	1846	0
Top3a	1636.0	1987	594	2666	1297	0
Smcr8	1636.0	1987	594	2666	1297	0
Gm3435	1635.0	3385	1004	1372	779	0
Gcdh	1635.0	1736	248	2544	2012	0
Itgb1bp1	1633.75	1723	323	2499	1990	0
Cpsf3	1633.75	1723	323	2499	1990	0
Ddx52	1630.5	1909	315	2561	1737	0
Mcrs1	1628.0	1985	478	2531	1518	0
Gsk3a	1628.0	1752	412	2333	2015	0
Cstf1	1625.0	2203	569	2731	997	0
Aurka	1625.0	2203	569	2731	997	0
Tfip11	1624.25	3173	958	1931	435	0
Ddx10	1619.25	1689	348	2571	1869	0
Smug1	1618.5	1750	418	2522	1784	0
Palb2	1617.25	2272	515	2206	1476	0
Dctn5	1617.25	2272	515	2206	1476	0
Bnip3l	1617.0	2803	449	2266	950	0
Timmdc1	1615.25	1874	486	2124	1977	0
Usp8	1612.75	1948	596	2487	1420	0
Ptrhd1	1612.0	1849	624	2053	1922	0
Cenpo	1612.0	1849	624	2053	1922	0
Ing4	1610.5	1864	394	2484	1700	0
Ciao2b	1610.5	2019	503	2403	1517	0
Nr2c2ap	1608.75	1912	409	2434	1680	0
Slc29a3	1601.5	3345	719	1797	545	0
Pik3c3	1597.5	1663	301	2559	1867	0
Ccdc9	1596.25	2290	719	1935	1441	0
Suco	1594.5	2570	549	2261	998	0
Clp1	1593.75	1602	505	2277	1991	0
Ermard	1592.5	3252	839	1453	826	0
Rtf2	1588.25	2088	688	2128	1449	0
Oard1	1588.0	2322	517	2039	1474	0
Nfya	1588.0	2322	517	2039	1474	0
Prpf19	1586.5	2370	655	2119	1202	0
Cap1	1586.25	1644	482	2193	2026	0
Tprn	1584.0	1597	276	2301	2162	0
Ufm1	1583.5	2214	335	2250	1535	0
Fahd2a	1582.25	1699	269	2409	1952	0
Cox18	1581.5	1640	431	2121	2134	0
Lypla2	1580.5	2064	406	2231	1621	0
9030025P20Rik	1579.25	3333	736	1537	711	0
Dguok	1576.0	2418	533	1960	1393	0
Taf7	1575.5	1880	506	2122	1794	0
Arid4a	1575.0	1863	477	2582	1378	0
Pold1	1572.0	1919	358	2389	1622	0
Nr1h2	1572.0	1919	358	2389	1622	0
Zc3h10	1571.5	1880	439	2201	1766	0
Rpl41	1571.5	1880	439	2201	1766	0
Ncstn	1571.25	2157	411	2107	1610	0
Copa	1571.25	2157	411	2107	1610	0
Sirt7	1571.0	3219	948	1274	843	0
Trmt112	1570.25	1730	347	2311	1893	0
Prdx5	1570.25	1730	347	2311	1893	0
Josd2	1569.25	2033	446	2489	1309	0
Aspdh	1569.25	2033	446	2489	1309	0
Nudt5	1569.0	1511	221	2387	2157	0
Cdc123	1569.0	1511	221	2387	2157	0
Shkbp1	1567.5	2775	861	1821	813	0
Sgo2a	1566.5	2353	475	1955	1483	0
Utp20	1565.75	1737	232	2602	1692	0
Slc25a32	1564.5	2241	729	2019	1269	0
Dcaf13	1564.5	2241	729	2019	1269	0
Rlbp1	1562.5	1743	0	2545	1962	0
Pigo	1560.5	1569	304	2412	1957	0
Wdr73	1557.75	2788	485	2543	415	0
Nmb	1557.75	2788	485	2543	415	0
Fam207a	1556.5	3080	929	1967	250	0
Wasf1	1555.75	1748	204	2308	1963	0
Cdc40	1555.75	1748	204	2308	1963	0
Meis1	1552.25	1572	311	2407	1919	0
Rgs9bp	1551.0	1619	176	2657	1752	0
Ankrd27	1551.0	1619	176	2657	1752	0
Zfp865	1550.5	2500	602	2059	1041	0
Zfp524	1550.5	2500	602	2059	1041	0
Scamp2	1550.5	1944	609	2033	1616	0
Atox1	1550.25	2330	451	2390	1030	0
Gcc1	1549.5	1983	576	2064	1575	0
Arf5	1549.5	1983	576	2064	1575	0
Zfp182	1544.75	1711	224	2384	1860	0
Tyk2	1544.0	1941	298	2526	1411	0
Hinfp	1542.75	2331	480	2332	1028	0
Os9	1542.5	1693	224	2306	1947	0
Trim35	1542.0	1907	410	2387	1464	0
Ube2s	1540.75	1649	248	2600	1666	0
Pef1	1540.5	1482	215	2494	1971	0
Oasl2	1540.5	1349	0	1734	3079	0
Ccdc130	1540.5	2147	567	2218	1230	0
Riok3	1540.0	1852	375	2149	1784	0
Sf3b6	1534.25	1675	452	2258	1752	0
Tfg	1529.25	2728	565	1794	1030	0
Mmut	1528.25	1728	429	2198	1758	0
Kif20a	1528.25	1596	242	2269	2006	0
Cenpq	1528.25	1728	429	2198	1758	0
Brd8	1528.25	1596	242	2269	2006	0
Zfp707	1525.75	1930	283	2453	1437	0
Mtmr4	1525.5	1882	376	2264	1580	0
Maml1	1525.0	1803	349	2254	1694	0
Micos10	1524.0	2262	297	2371	1166	0
Ccdc88b	1522.5	1682	263	2493	1652	0
Coa6	1517.0	1756	436	2438	1438	0
Man2c1	1514.75	1502	200	2276	2081	0
Tssk6	1512.5	1577	437	2124	1912	0
Ndufa13	1512.5	1577	437	2124	1912	0
Mcm7	1508.75	2161	396	2134	1344	0
Ap4m1	1508.75	2161	396	2134	1344	0
Emp3	1507.75	2022	409	2060	1540	0
Ccdc114	1507.75	2022	409	2060	1540	0
Angel2	1505.25	2092	554	1990	1385	0
Imp3	1504.75	1728	275	2367	1649	0
Shc1	1503.0	1591	230	2163	2028	0
Cks1b	1503.0	1591	230	2163	2028	0
Rabepk	1502.0	1946	375	2090	1597	0
Prpf4b	1499.75	1882	423	2194	1500	0
Pex12	1499.0	2128	368	2222	1278	0
Ap2b1	1499.0	2128	368	2222	1278	0
Zfp958	1498.5	1455	318	2388	1833	0
Cfap36	1494.75	2320	354	2176	1129	0
