	source	target	weight	p_value
112829	PI3K	KIF5B	3.1087444	1.804032e-10
112830	PI3K	STARD3	-1.9113064	1.8062792e-10
112831	PI3K	RANBP10	-1.850802	1.810276e-10
112832	PI3K	BOD1L1	-2.902527	1.8230926e-10
112833	PI3K	AP1G1	2.5349894	1.8426143e-10
112834	PI3K	NAPRT	-2.422552	1.8448332e-10
112835	PI3K	SPATA17	-3.2162135	1.932807e-10
112836	PI3K	TBX19	-2.422642	1.9940719e-10
112837	PI3K	CLCN7	-2.1906571	2.0093344e-10
112838	PI3K	TGIF2	-2.9648917	2.0496872e-10
112839	PI3K	RXRB	-2.0086148	2.0736687e-10
112840	PI3K	CNOT9	2.7272289	2.206747e-10
112841	PI3K	HBP1	-4.670485	2.2188909e-10
112842	PI3K	PMS2P3	-2.1786218	2.2300004e-10
112843	PI3K	CLOCK	3.1199107	2.3869356e-10
112844	PI3K	CCDC140	-2.066294	2.4273883e-10
112845	PI3K	SLC6A6	3.922283	2.630532e-10
112846	PI3K	RPL22	-2.153272	2.6948135e-10
112847	PI3K	STK16	-2.0741987	2.7424893e-10
112848	PI3K	FBXW4	-2.939787	2.8618885e-10
112849	PI3K	ARIH2OS	-4.8136106	2.9989652e-10
112850	PI3K	AGFG1	2.6174152	3.0705538e-10
112851	PI3K	EFNB2	6.08679	3.0896224e-10
112852	PI3K	GDPD5	-4.284696	3.0916417e-10
112853	PI3K	HCCS	3.6042237	3.11391e-10
112854	PI3K	ARL6	3.6709442	3.118651e-10
112855	PI3K	APOD	-4.469019	3.21119e-10
112856	PI3K	ULBP2	4.251747	3.2437494e-10
112857	PI3K	SURF4	3.6385596	3.3578545e-10
112858	PI3K	CALU	3.741921	3.4040742e-10
112859	PI3K	NUCB1	-3.6901135	3.4049363e-10
112860	PI3K	TMEM86A	-2.9945915	3.429029e-10
112861	PI3K	JOSD2	-3.062974	3.4301748e-10
112862	PI3K	CFAP43	-1.3089638	3.5076367e-10
112863	PI3K	ZNF311	-2.6654744	3.6536524e-10
112864	PI3K	MRPL42	3.429511	3.751272e-10
112865	PI3K	POLR1D	-3.6285741	3.753667e-10
112866	PI3K	POLR3G	4.837192	3.7852388e-10
112867	PI3K	IL17D	-3.7541058	3.9157774e-10
112868	PI3K	PAQR6	-3.3228626	4.0379522e-10
112869	PI3K	DUSP22	-4.161446	4.0435763e-10
112870	PI3K	PDZD4	-2.4555607	4.064678e-10
112871	PI3K	FOXO4	-2.794588	4.0934675e-10
112872	PI3K	ZFTRAF1	-1.8228601	4.2333698e-10
112873	PI3K	FOXF2	-3.7553275	4.2486742e-10
112874	PI3K	WBP2	-3.1503332	4.2994663e-10
112875	PI3K	YPEL3	-7.0313644	4.303555e-10
112876	PI3K	CSNK1D	-3.4732873	4.3575107e-10
112877	PI3K	ZC3H10	-1.9882686	4.368399e-10
112878	PI3K	WDR91	-2.9211688	4.4518833e-10
112879	PI3K	ACTG2	3.3683255	4.660266e-10
112880	PI3K	INTS6L	3.4800715	4.824313e-10
112881	PI3K	ATP8A2	2.0688736	4.8478216e-10
112882	PI3K	TUBB6	6.5892673	5.0669324e-10
112883	PI3K	BPNT2	2.416922	5.115444e-10
112884	PI3K	ZCCHC9	-3.356986	5.280249e-10
112885	PI3K	RWDD2B	-3.5516326	5.356999e-10
112886	PI3K	EIF3H	-2.54381	5.4342075e-10
112887	PI3K	MPDU1	2.4605417	5.472013e-10
112888	PI3K	SHC2	-3.116107	5.4743643e-10
112889	PI3K	MIEF2	-3.7960324	5.497752e-10
112890	PI3K	MMEL1	-2.1824138	5.636327e-10
112891	PI3K	UBL3	-4.7764063	5.78193e-10
112892	PI3K	TTLL1	-4.0140934	6.081813e-10
112893	PI3K	PIM1	-7.2207494	6.1173594e-10
112894	PI3K	SWT1	-4.2164783	6.321246e-10
112895	PI3K	ADAM19	3.8792074	6.417668e-10
112896	PI3K	KCNJ5-AS1	-3.8559492	6.561418e-10
112897	PI3K	LIMD2	-2.6025314	6.788519e-10
112898	PI3K	AKAP8	2.4473827	6.864825e-10
112899	PI3K	TCTN1	-2.2027783	6.899451e-10
112900	PI3K	RBKS	-3.2964332	6.9808065e-10
112901	PI3K	COMTD1	-3.6415641	7.2006173e-10
112902	PI3K	PBXIP1	-4.553099	7.2202827e-10
112903	PI3K	WDR1	2.7699625	7.4833123e-10
112904	PI3K	LIG4	4.3837376	7.60141e-10
112905	PI3K	AIP	-2.4778316	7.732564e-10
112906	PI3K	NGFR	3.6703854	7.752616e-10
112907	PI3K	PPM1N	-2.1785219	7.9997925e-10
112908	PI3K	LMAN2L	2.8662205	8.0882023e-10
112909	PI3K	FGF2	4.529076	8.495287e-10
112910	PI3K	HOXA1	3.5428698	8.6593277e-10
112911	PI3K	LZTR1	-1.9783313	8.6914986e-10
112912	PI3K	ATP1A1-AS1	-2.3597522	8.7642377e-10
112913	PI3K	BLOC1S1	-3.1739967	8.780685e-10
112914	PI3K	TAF5L	2.9622426	8.842744e-10
112915	PI3K	SHARPIN	-1.9631345	9.426366e-10
112916	PI3K	TMCO6	-3.2738733	1.0003236e-09
112917	PI3K	BMAL1	3.6970532	1.0038994e-09
112918	PI3K	DVL2	-2.2648299	1.006549e-09
112919	PI3K	MANF	4.436623	1.0194238e-09
112920	PI3K	RFK	4.146843	1.0368498e-09
112921	PI3K	PUDP	2.8389847	1.0415716e-09
112922	PI3K	RETREG3	-3.7012582	1.0449878e-09
112923	PI3K	PTPRM	-3.9640172	1.0479373e-09
112924	PI3K	CIRBP	-3.662527	1.0511382e-09
112925	PI3K	CAPS	-3.5122552	1.0766433e-09
112926	PI3K	LENG8	-3.8062365	1.0806399e-09
112927	PI3K	PSMD11	3.6793537	1.1066139e-09
112928	PI3K	ZNF524	-2.1773522	1.1186964e-09
112929	PI3K	MRPL20	2.361532	1.1289967e-09
112930	PI3K	XXYLT1	3.1261418	1.1393837e-09
112931	PI3K	TPP1	-3.168517	1.1407976e-09
112932	PI3K	DERA	-3.9018016	1.1534687e-09
112933	PI3K	MRPL45	-3.2320132	1.1626885e-09
