Ligand	Receptor
Tnfsf13b	Tnfrsf13b
Tnfsf13b	Tnfrsf13c
Tnfsf13b	Tnfrsf17
Tnfsf13	Fas
Tnfsf13	Sdc2
Tnfsf13	Tnfrsf11b
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf14
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf1a
Tnfsf14	Ltbr
Tnfsf14	Tnfrsf14
Tnfsf15	Tnfrsf25
Tnfsf18	Tnfrsf18
Tnfsf4	Tnfrsf4
Tnfsf4	Traf2
Tnfsf8	Tnfrsf8
Tnfsf9	Tnfrsf9
Tnfsf9	Traf2
Tnf	Ltbr
Tnf	Slc5a11
Tnf	Tnfrsf1a
Tnf	Tnfrsf1b
Tnf	Tnfrsf21
Tnf	Traf2
Tslp	Il7r
Vegfa	Egfr
Vegfa	Ephb2
Vegfa	Flt1
Vegfa	Gpc1
Vegfa	Itga9
Vegfa	Itgav
Vegfa	Itgb1
Vegfa	Kdr
Vegfa	Nrp1
Vegfa	Nrp2
Vegfa	Ret
Vegfa	Sirpb1a
Vegfa	Tyro3
Vegfb	Flt1
Vegfb	Nrp1
Vegfb	Ret
Vegfb	Tyro3
Vegfc	Flt1
Vegfc	Flt4
Vegfc	Itga9
Vegfc	Itgb1
Vegfc	Kdr
Vegfc	Lyve1
Vegfc	Nrp2
Vegfc	Vipr2
Wnt11	Fzd7
Wnt16	Fzd6
Wnt1	Fzd1
Wnt1	Fzd3
Wnt1	Fzd5
Wnt1	Fzd7
Wnt1	Fzd8
Wnt1	Fzd9
Wnt1	Lrp5
Wnt1	Lrp6
Wnt1	Ryk
Wnt2	Fzd1
Wnt2	Fzd5
Wnt2	Fzd7
Wnt2	Fzd8
Wnt2	Fzd9
Wnt2	Lrp6
Wnt3	Fzd1
Wnt3	Fzd5
Wnt3	Fzd7
Wnt3	Fzd8
Wnt3	Lrp6
Wnt3	Ryk
Wnt4	Fzd2
Wnt4	Fzd6
Wnt5a	Fzd1
Wnt5a	Fzd2
Wnt5a	Fzd4
Wnt5a	Fzd5
Wnt5a	Fzd6
Wnt5a	Fzd7
Wnt5a	Fzd8
Wnt5a	Lrp5
Wnt5a	Mcam
Wnt5a	Ror1
Wnt5a	Ror2
Wnt5a	Ryk
Wnt7a	Fzd10
Wnt7a	Fzd5
Wnt7a	Fzd9
Wnt7a	Lrp6
Wnt7b	Fzd1
Wnt7b	Fzd10
Wnt7b	Lrp5
Xcl1	Xcr1
