"tf"	"confidence"	"target"	"mor"
"322"	"ADNP"	"D"	"RELB"	1
"323"	"ADNP"	"D"	"RFX1"	1
"324"	"ADNP"	"D"	"RHO"	1
"325"	"ADNP"	"D"	"RHOBTB1"	1
"326"	"ADNP"	"D"	"RHOH"	1
"327"	"ADNP"	"D"	"RICTOR"	1
"328"	"ADNP"	"D"	"RN7SL121P"	1
"329"	"ADNP"	"D"	"RN7SL636P"	1
"330"	"ADNP"	"D"	"RNF10P1"	1
"331"	"ADNP"	"D"	"RNF216"	1
"332"	"ADNP"	"D"	"RNU1-4"	1
"333"	"ADNP"	"D"	"RNU6-1"	1
"334"	"ADNP"	"D"	"RNU7-1"	1
"335"	"ADNP"	"D"	"RP1"	1
"336"	"ADNP"	"D"	"RPGR"	1
"337"	"ADNP"	"D"	"RPH3A"	1
"338"	"ADNP"	"D"	"RPL10P2"	1
"339"	"ADNP"	"D"	"RPL12P33"	1
"340"	"ADNP"	"D"	"RPS10P7"	1
"341"	"ADNP"	"D"	"RPS4XP19"	1
"342"	"ADNP"	"D"	"RPSAP2"	1
"343"	"ADNP"	"D"	"RRAGC"	1
"344"	"ADNP"	"D"	"RTN4"	1
"345"	"ADNP"	"D"	"RUNX1"	1
"346"	"ADNP"	"D"	"SAMSN1"	1
"347"	"ADNP"	"D"	"SCARB1"	1
"348"	"ADNP"	"D"	"SCN1B"	1
"349"	"ADNP"	"D"	"SDC3"	1
"350"	"ADNP"	"D"	"SDS"	1
"351"	"ADNP"	"D"	"SDSL"	1
"352"	"ADNP"	"D"	"SEC14L1"	1
"353"	"ADNP"	"D"	"SELPLG"	1
"354"	"ADNP"	"D"	"SEMA6B"	1
"355"	"ADNP"	"D"	"SEPTIN9"	1
"356"	"ADNP"	"D"	"SERINC5"	1
"357"	"ADNP"	"D"	"SERPINH1"	1
"358"	"ADNP"	"D"	"SGSM1"	1
"359"	"ADNP"	"D"	"SH2B1"	1
"360"	"ADNP"	"D"	"SIPA1L3"	1
"361"	"ADNP"	"D"	"SLC13A3"	1
"362"	"ADNP"	"D"	"SLC1A7"	1
"363"	"ADNP"	"D"	"SLC22A23"	1
"364"	"ADNP"	"D"	"SLC25A25"	1
"365"	"ADNP"	"D"	"SLC29A3"	1
"366"	"ADNP"	"D"	"SLC44A2"	1
"367"	"ADNP"	"D"	"SLC4A1"	1
"368"	"ADNP"	"D"	"SLC6A6"	1
"369"	"ADNP"	"D"	"SLC7A11"	1
"370"	"ADNP"	"D"	"SLC8B1"	1
"371"	"ADNP"	"D"	"SLCO2B1"	1
"372"	"ADNP"	"D"	"SMARCC1"	1
"373"	"ADNP"	"D"	"SMURF1"	1
"374"	"ADNP"	"D"	"SMYD3"	1
"375"	"ADNP"	"D"	"SNUPN"	1
"376"	"ADNP"	"D"	"SNX9"	1
"377"	"ADNP"	"D"	"SOGA1"	1
"378"	"ADNP"	"D"	"SOX5"	1
"379"	"ADNP"	"D"	"SPC24"	1
"380"	"ADNP"	"D"	"SPINT2"	1
"381"	"ADNP"	"D"	"SPOCD1"	1
"382"	"ADNP"	"D"	"SPPL3"	1
"383"	"ADNP"	"D"	"SRC"	1
"384"	"ADNP"	"D"	"SREBF2-AS1"	1
"385"	"ADNP"	"D"	"STK10"	1
"386"	"ADNP"	"D"	"STX18"	1
"387"	"ADNP"	"D"	"SULT2B1"	1
"388"	"ADNP"	"D"	"SUMO1P1"	1
"389"	"ADNP"	"D"	"SYCN"	1
"390"	"ADNP"	"D"	"SYN3"	1
"391"	"ADNP"	"D"	"SYNJ2"	1
"392"	"ADNP"	"D"	"SYT3"	1
"393"	"ADNP"	"D"	"TAF1B"	1
"394"	"ADNP"	"D"	"TAOK3"	1
"395"	"ADNP"	"D"	"TBXAS1"	1
"396"	"ADNP"	"D"	"TCF3"	1
"397"	"ADNP"	"D"	"TENT5B"	1
"398"	"ADNP"	"D"	"TESC"	1
"399"	"ADNP"	"D"	"TGM2"	1
"400"	"ADNP"	"D"	"TJP3"	1
"401"	"ADNP"	"D"	"TLE2"	1
"402"	"ADNP"	"D"	"TMC8"	1
"403"	"ADNP"	"D"	"TMEM119"	1
"404"	"ADNP"	"D"	"TMEM132B"	1
"405"	"ADNP"	"D"	"TMEM212"	1
"406"	"ADNP"	"D"	"TMEM40"	1
"407"	"ADNP"	"D"	"TNFRSF1B"	1
"408"	"ADNP"	"D"	"TPD52L1"	1
"409"	"ADNP"	"D"	"TRANK1"	1
"410"	"ADNP"	"D"	"TRERNA1"	1
"411"	"ADNP"	"D"	"TRIB1"	1
"412"	"ADNP"	"D"	"TRIM41"	1
"413"	"ADNP"	"D"	"TRPV4"	1
"414"	"ADNP"	"D"	"TSHZ2"	1
"415"	"ADNP"	"D"	"TSPAN18"	1
"416"	"ADNP"	"D"	"TTC39A"	1
"417"	"ADNP"	"D"	"TUT4"	1
"418"	"ADNP"	"D"	"TXNRD1"	1
"419"	"ADNP"	"D"	"UBE2F"	1
"420"	"ADNP"	"D"	"UBR3"	1
"421"	"ADNP"	"D"	"UNC13A"	1
"422"	"ADNP"	"D"	"UTRN"	1
"423"	"ADNP"	"D"	"VCL"	1
"424"	"ADNP"	"D"	"VWCE"	1
"425"	"ADNP"	"D"	"WNT4"	1
"426"	"ADNP"	"D"	"WSCD2"	1
"427"	"ADNP"	"D"	"XPR1"	1
"428"	"ADNP"	"D"	"XXBAC"	1
"429"	"ADNP"	"D"	"XXYLT1"	1
"430"	"ADNP"	"D"	"Y_RNA.478"	1
"431"	"ADNP"	"D"	"ZDHHC14"	1
"432"	"ADNP"	"D"	"ZFP36L2"	1
"433"	"ADNP"	"D"	"ZMIZ1"	1
"434"	"ADNP"	"D"	"ZMYND8"	1
"435"	"ADNP"	"D"	"ZNF217"	1
"436"	"ADNP"	"D"	"ZNF618"	1
"437"	"ADNP2"	"E"	"ADAM17"	1
"438"	"ADNP2"	"E"	"AFF4"	1
"439"	"ADNP2"	"E"	"AGFG1"	1
"440"	"ADNP2"	"E"	"ALG9"	1
"441"	"ADNP2"	"E"	"ANKHD1"	1
"442"	"ADNP2"	"E"	"AP1G1"	1
"443"	"ADNP2"	"E"	"AREL1"	1
"444"	"ADNP2"	"E"	"ARID2"	1
"445"	"ADNP2"	"E"	"ARIH1"	1
"446"	"ADNP2"	"E"	"ARL5B"	1
"447"	"ADNP2"	"E"	"ATP13A3"	1
"448"	"ADNP2"	"E"	"ATXN1L"	1
"449"	"ADNP2"	"E"	"ATXN7"	1
"450"	"ADNP2"	"E"	"AVL9"	1
"451"	"ADNP2"	"E"	"BACH1"	1
"452"	"ADNP2"	"E"	"BARD1"	1
"453"	"ADNP2"	"E"	"BIN3"	1
"454"	"ADNP2"	"E"	"BLOC1S6"	1
"455"	"ADNP2"	"E"	"BMP2K"	1
"456"	"ADNP2"	"E"	"BNIP2"	1
"457"	"ADNP2"	"E"	"BRWD3"	1
"458"	"ADNP2"	"E"	"BTAF1"	1
"459"	"ADNP2"	"E"	"C9orf72"	1
"460"	"ADNP2"	"E"	"CACUL1"	1
"461"	"ADNP2"	"E"	"CAPZA1"	1
"462"	"ADNP2"	"E"	"CBWD1"	1
"463"	"ADNP2"	"E"	"CCDC59"	1
"464"	"ADNP2"	"E"	"CCDC9"	1
"465"	"ADNP2"	"E"	"CCNH"	1
"466"	"ADNP2"	"E"	"CCNL1"	1
"467"	"ADNP2"	"E"	"CCNT1"	1
"468"	"ADNP2"	"E"	"CCNT2"	1
"469"	"ADNP2"	"E"	"CDK12"	1
"470"	"ADNP2"	"E"	"CFAP45"	1
"471"	"ADNP2"	"E"	"CHCHD1"	1
"472"	"ADNP2"	"E"	"CHD1"	1
"473"	"ADNP2"	"E"	"CHD2"	1
"474"	"ADNP2"	"E"	"CHMP1B"	1
"475"	"ADNP2"	"E"	"CSNK1A1"	1
"476"	"ADNP2"	"E"	"CSNK2A1"	1
"477"	"ADNP2"	"E"	"CUL4A"	1
"478"	"ADNP2"	"E"	"CWC25"	1
"479"	"ADNP2"	"E"	"DBF4"	1
"480"	"ADNP2"	"E"	"DCAF16"	1
"481"	"ADNP2"	"E"	"DCUN1D3"	1
"482"	"ADNP2"	"E"	"DDX19B"	1
"483"	"ADNP2"	"E"	"DDX21"	1
"484"	"ADNP2"	"E"	"DDX24"	1
