Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Ywhae	168.750000	343	332	0	0	0
Ddah1	168.750000	350	325	0	0	0
Mob4	168.500000	182	492	0	0	0
Chrna1	168.500000	325	349	0	0	0
Rragc	168.250000	269	404	0	0	0
Pip4p1	168.250000	525	148	0	0	0
Osgep	168.250000	525	148	0	0	0
Nfx1	168.250000	333	340	0	0	0
Caprin1	168.250000	406	267	0	0	0
Apex1	168.250000	525	148	0	0	0
Prdx1	168.000000	310	362	0	0	0
Hsp90ab1	168.000000	336	336	0	0	0
Thra	167.500000	280	390	0	0	0
Pramel13	167.000000	369	299	0	0	0
Itga5	167.000000	399	269	0	0	0
Srcap	166.750000	340	327	0	0	0
Spred1	166.750000	207	460	0	0	0
Set	166.750000	354	313	0	0	0
Prpf40a	166.250000	314	351	0	0	0
Cldn4	166.250000	378	287	0	0	0
Cbfa2t3	166.250000	343	322	0	0	0
Arl6ip6	166.250000	314	351	0	0	0
Capg	166.000000	315	349	0	0	0
Zfp142	165.750000	363	300	0	0	0
Bcs1l	165.750000	363	300	0	0	0
Kcnip2	165.500000	361	301	0	0	0
Hic1	165.500000	328	334	0	0	0
Vps37b	165.250000	263	398	0	0	0
Crlf3	165.000000	400	260	0	0	0
Cdc25a	163.750000	349	306	0	0	0
Zc3h7b	163.500000	342	312	0	0	0
Unkl	163.500000	289	365	0	0	0
Rictor	163.500000	371	283	0	0	0
BC003965	163.500000	289	365	0	0	0
Slc16a1	163.250000	294	359	0	0	0
Ppp4c	163.250000	411	242	0	0	0
Naxd	163.250000	236	417	0	0	0
Rragb	163.000000	301	351	0	0	0
Gpatch8	163.000000	256	396	0	0	0
Rbpms2	162.750000	438	213	0	0	0
Epb41l3	162.750000	345	306	0	0	0
Fyco1	162.500000	146	221	151	132	0
Snai1	162.250000	269	380	0	0	0
Rpp21	162.250000	376	273	0	0	0
Gli2	162.250000	350	299	0	0	0
