Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Tmem38b	847.500000	965	579	635	1211	0
Hyi	847.000000	1030	647	575	1136	0
Rsad2	845.000000	866	543	606	1365	0
Tmem243	841.000000	643	456	409	1856	0
Apol9a	837.250000	691	560	662	1436	0
Zfp2	837.000000	890	613	540	1305	0
Ndufa5	836.500000	879	760	612	1095	0
Asb15	836.500000	879	760	612	1095	0
Slc13a3	834.000000	532	487	603	1714	0
Bloc1s6	831.750000	1074	761	456	1036	0
Fads1	831.500000	944	540	600	1242	0
Erc2	830.000000	1117	710	285	1208	0
Baz1b	829.500000	479	253	373	2213	0
Saa3	828.750000	856	500	498	1461	0
Lgr4	828.750000	625	417	244	2029	0
Spag8	828.250000	981	418	526	1388	0
Hint2	828.250000	981	418	526	1388	0
Atf3	828.250000	589	395	460	1869	0
Pa2g4	825.000000	622	368	376	1934	0
Gm38396	824.000000	732	667	516	1381	0
Rad51d	821.250000	595	456	627	1607	0
Fndc8	821.250000	595	456	627	1607	0
Usp48	820.250000	633	445	314	1889	0
Slc35b4	819.000000	1007	512	666	1091	0
Tef	818.500000	570	288	403	2013	0
Tprkb	817.750000	930	627	435	1279	0
Nat8f1	817.750000	930	627	435	1279	0
Timm23	817.500000	895	774	427	1174	0
Parg	817.500000	895	774	427	1174	0
Furin	817.500000	588	418	459	1805	0
Msh5	816.250000	1048	557	554	1106	0
Clic1	816.250000	1048	557	554	1106	0
Bphl	816.250000	985	637	528	1115	0
Nat8f3	813.750000	888	445	531	1391	0
Got1l1	813.500000	1068	431	339	1416	0
Fgd2	813.500000	595	415	544	1700	0
Apol9b	813.000000	669	776	498	1309	0
Gm45623	811.750000	802	546	601	1298	0
Epas1	811.250000	945	495	649	1156	0
Coq10b	810.500000	414	348	474	2006	0
Alpl	810.500000	779	457	573	1433	0
Akirin2	810.500000	844	523	525	1350	0
Inpp5a	809.000000	481	149	285	2321	0
Kifc5b	808.750000	518	253	458	2006	0
Derl1	808.250000	751	648	691	1143	0
Il4ra	807.000000	862	415	455	1496	0
Slc25a45	806.750000	671	360	214	1982	0
