Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
Ccnf	496.000000	1074	1626	0	0	1335	0	0	284	145	0
Dynll1	495.777778	1058	1399	0	199	785	188	0	505	328	0
Mvk	495.666667	750	1789	0	0	1442	70	0	267	143	0
Mmab	495.666667	750	1789	0	0	1442	70	0	267	143	0
Rps6ka5	495.333333	1173	1460	0	111	1269	0	0	224	221	0
Zmym2	494.333333	1013	1302	0	397	620	181	0	566	370	0
Zfp691	493.222222	358	1307	0	388	1430	205	0	353	398	0
Ncoa2	493.111111	496	1171	0	276	1168	212	0	558	557	0
Chac1	493.111111	1633	1624	0	0	1181	0	0	0	0	0
Slc9a3r1	493.000000	1748	2067	0	0	622	0	0	0	0	0
Ip6k1	493.000000	683	1773	0	249	1059	0	0	392	281	0
Glcci1	492.111111	1231	1419	0	0	1080	0	0	419	280	0
Hbp1	491.777778	444	1042	0	135	2026	126	0	343	310	0
Cdc25c	491.555556	403	1522	0	0	1465	100	81	464	389	0
Elac2	491.222222	1243	1672	0	228	855	0	0	163	260	0
Dnajb5	489.666667	526	1040	0	223	1911	112	0	370	225	0
Insig1	489.555556	1686	1816	0	0	575	0	0	199	130	0
Coq7	488.777778	720	1337	0	362	1141	123	0	436	280	0
Sde2	488.444444	1856	1343	0	0	150	153	0	503	391	0
Psmb2	488.111111	1411	1598	0	0	0	357	0	699	328	0
Fer	487.444444	1265	1689	0	138	947	0	0	222	126	0
Fmnl3	487.333333	1307	1585	0	196	539	145	0	365	249	0
Add1	487.222222	1182	1144	0	102	966	195	0	565	231	0
Zcchc17	486.000000	927	2069	0	0	1051	0	0	159	168	0
Snrnp40	486.000000	927	2069	0	0	1051	0	0	159	168	0
Lamtor4	485.777778	720	1591	0	0	1507	0	0	394	160	0
Pde6d	485.666667	490	1374	0	187	1085	250	105	456	424	0
Cops7b	485.666667	490	1374	0	187	1085	250	105	456	424	0
Anapc10	485.333333	1355	1450	0	0	396	218	0	541	408	0
Abce1	485.333333	1355	1450	0	0	396	218	0	541	408	0
Atp5g2	484.222222	1025	990	0	253	449	335	0	797	509	0
Polr3h	483.777778	1228	1188	0	0	854	162	0	669	253	0
Ankrd11	483.777778	1254	1602	0	110	966	0	0	212	210	0
Crebrf	483.666667	1415	1531	0	115	933	0	0	166	193	0
Atf7	483.000000	523	1186	0	161	1745	162	0	309	261	0
Ptma	482.777778	526	731	0	228	1975	176	0	369	340	0
Nup153	482.777778	1460	1310	0	0	0	334	0	638	603	0
Cep68	482.333333	800	1491	0	170	1061	204	0	356	259	0
Psph	482.111111	966	1488	0	167	1195	0	0	318	205	0
Cct6a	482.111111	966	1488	0	167	1195	0	0	318	205	0
Traf7	481.555556	206	1304	0	0	2194	0	0	368	262	0
Gm3448	481.444444	1626	1192	0	0	346	165	0	549	455	0
Gm3417	481.444444	1626	1192	0	0	346	165	0	549	455	0
Spag7	481.333333	231	1206	0	215	1972	0	0	479	229	0
Zbtb9	481.222222	1599	1684	0	0	490	108	0	206	244	0
Msantd4	480.333333	379	1333	0	160	1432	175	55	419	370	0
Grk6	479.666667	806	1245	0	203	1352	96	0	254	361	0
Rcl1	478.777778	1237	1762	0	0	562	136	0	325	287	0
Klhl25	478.777778	937	1574	0	117	951	125	0	389	216	0
Gpx4	478.555556	1396	1729	0	0	972	0	0	81	129	0
Bricd5	478.444444	1030	1843	0	0	1063	0	0	223	147	0
Man1b1	478.333333	1678	1252	0	0	0	170	0	650	555	0
1700037H04Rik	478.111111	1100	1733	0	0	958	81	0	312	119	0
Ciart	478.000000	1184	1503	0	0	1212	0	0	277	126	0
