Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Dmwd	139.000000	145	133	0
Osbpl8	138.500000	277	0	0
Smap2	137.000000	274	0	0
Atxn2l	136.500000	126	147	0
Cisd2	136.000000	272	0	0
Asb2	136.000000	272	0	0
Slc9a7	135.500000	271	0	0
Phgdh	135.500000	271	0	0
Nkx1-1	135.500000	271	0	0
Naip7	135.500000	271	0	0
Naip6	135.500000	271	0	0
Il5ra	135.500000	271	0	0
Crmp1	135.500000	271	0	0
Ppp6r1	134.500000	269	0	0
Wdyhv1	133.500000	267	0	0
Atp6v0a1	133.500000	267	0	0
H2-Aa	133.000000	159	107	0
Dtx2	133.000000	266	0	0
Plpp1	132.000000	190	74	0
E030018B13Rik	132.000000	264	0	0
Samhd1	131.500000	263	0	0
Gpr152	131.500000	183	80	0
Cabp4	131.500000	183	80	0
Tespa1	130.000000	260	0	0
Padi2	130.000000	260	0	0
Bahd1	130.000000	260	0	0
Zfp667	129.500000	259	0	0
Parp11	129.500000	259	0	0
Mbd2	129.500000	132	127	0
Rab14	128.500000	257	0	0
Rps8	128.000000	147	109	0
1810058I24Rik	128.000000	256	0	0
Dgkg	127.500000	255	0	0
Clec12a	127.500000	255	0	0
Cd84	127.500000	255	0	0
Itprid2	127.000000	254	0	0
Homer1	127.000000	254	0	0
Fig4	127.000000	254	0	0
Ak9	127.000000	254	0	0
Zeb2	126.500000	144	109	0
Apon	126.500000	253	0	0
Timd2	125.500000	251	0	0
Snx22	125.500000	251	0	0
Ly86	125.500000	168	83	0
Mcpt1	125.000000	250	0	0
Fam126a	125.000000	250	0	0
Scrt1	124.500000	249	0	0
Pirb	124.500000	249	0	0
Pex14	124.500000	131	118	0
Gm35588	124.500000	249	0	0
Dffa	124.500000	131	118	0
Apol10b	124.500000	249	0	0
5031439G07Rik	124.000000	248	0	0
Setdb2	123.500000	247	0	0
P2ry6	123.500000	247	0	0
Gm45935	123.500000	247	0	0
Cab39l	123.500000	247	0	0
Slc39a13	123.000000	113	133	0
Reep5	123.000000	246	0	0
Gbp3	123.000000	138	108	0
Ncf4	122.500000	161	84	0
N4bp2l1	122.500000	245	0	0
Zfx	122.000000	244	0	0
Rsbn1	122.000000	244	0	0
H3c10	122.000000	244	0	0
H2bc13	122.000000	244	0	0
H2ac13	122.000000	244	0	0
Atp13a2	122.000000	119	125	0
Mterf1a	121.500000	0	243	0
Ybx2	120.500000	143	98	0
Pigt	120.000000	240	0	0
Sorbs1	119.500000	239	0	0
Rtp2	119.500000	239	0	0
Nagk	119.500000	239	0	0
Lpar5	119.500000	239	0	0
Tm6sf1	118.500000	237	0	0
Mterf1b	118.500000	72	165	0
Arpc5l	118.000000	236	0	0
Tpst1	117.500000	235	0	0
Spaca9	117.500000	235	0	0
Ak8	117.500000	235	0	0
Ythdf3	117.000000	114	120	0
Tpm3	117.000000	234	0	0
Inpp5d	117.000000	99	135	0
Il18	117.000000	234	0	0
Cnr2	117.000000	234	0	0
Bco2	117.000000	234	0	0
Vash2	116.500000	233	0	0
Sh3tc1	116.500000	122	111	0
Ppp1r11	116.500000	233	0	0
Pisd	116.500000	233	0	0
Gsto2	116.500000	104	129	0
Anapc15	116.500000	233	0	0
Zcwpw2	115.500000	131	100	0
Trim25	115.500000	0	231	0
Smim15	115.500000	231	0	0
Sbno2	115.500000	231	0	0
Irf7	115.500000	231	0	0
Azi2	115.500000	131	100	0
Hjurp	115.000000	0	230	0
A730008H23Rik	115.000000	0	230	0
Bicral	114.500000	229	0	0
Zp2	114.000000	228	0	0
Tcof1	114.000000	0	228	0
S1pr2	114.000000	228	0	0
Ndufaf7	114.000000	228	0	0
Cebpz	114.000000	228	0	0
Cdh12	114.000000	228	0	0
Trim17	113.500000	227	0	0
Tmsb4x	113.500000	227	0	0
H3f4	113.500000	227	0	0
H2aw	113.500000	227	0	0
Bcl2a1b	113.000000	118	108	0
Casp8	112.500000	111	114	0
Zc3h10	112.000000	128	96	0
Rpl41	112.000000	128	96	0
Psma5	112.000000	124	100	0
Gmip	111.500000	105	118	0
Fam110a	111.500000	149	74	0
Zfp90	110.500000	221	0	0
Gm7609	110.500000	221	0	0
Slamf9	110.000000	220	0	0
Elf1	110.000000	220	0	0
Srsf2	109.500000	85	134	0
Mfsd11	109.500000	85	134	0
Grb2	109.500000	219	0	0
Tgfb2	109.000000	218	0	0
Tas1r3	109.000000	218	0	0
Mat2b	109.000000	218	0	0
Hipk2	109.000000	218	0	0
Fbxl18	109.000000	218	0	0
Dph2	109.000000	218	0	0
B4galt2	109.000000	218	0	0
Atp6v0b	109.000000	218	0	0
Clspn	108.500000	96	121	0
Rbm33	108.000000	216	0	0
Mtpn	108.000000	131	85	0
Ctps2	107.500000	96	119	0
Ccl24	107.500000	215	0	0
Strada	106.500000	147	66	0
Plac8	106.500000	213	0	0
Trmt12	105.500000	211	0	0
Akain1	105.500000	211	0	0
Arhgap25	105.000000	210	0	0
Vps26a	104.500000	209	0	0
Stom	104.500000	209	0	0
Hpdl	104.500000	209	0	0
Hdx	104.000000	208	0	0
Srrt	102.500000	205	0	0
4931408C20Rik	102.500000	129	76	0
Slc9a1	102.000000	0	204	0
Necap1	102.000000	204	0	0
Fyco1	102.000000	204	0	0
Tgfb1	101.000000	202	0	0
Nudt8	101.000000	202	0	0
Efcab14	101.000000	122	80	0
Doc2g	101.000000	202	0	0
B9d2	101.000000	202	0	0
Trim21	100.500000	201	0	0
S100a5	100.500000	201	0	0
S100a4	100.500000	201	0	0
S100a3	100.500000	201	0	0
Chst3	100.500000	201	0	0
Slc12a9	100.000000	200	0	0
Snap29	99.500000	199	0	0
Slc31a1	99.500000	199	0	0
Ptk2	99.500000	113	86	0
Pi4ka	99.500000	199	0	0
Fkbp15	99.500000	199	0	0
Pfpl	99.000000	198	0	0
Olfr1441	99.000000	198	0	0
Mup7	99.000000	198	0	0
Gja10	99.000000	198	0	0
Ddx49	99.000000	198	0	0
Cope	99.000000	198	0	0
Pdhx	98.500000	197	0	0
Apip	98.500000	197	0	0
Mrpl52	98.000000	114	82	0
Mmp14	98.000000	114	82	0
Klhl18	98.000000	196	0	0
Kif9	98.000000	196	0	0
Gpr19	97.500000	195	0	0
Entpd1	97.500000	74	121	0
Xpot	97.000000	194	0	0
Tbc1d10b	97.000000	194	0	0
Mylpf	97.000000	194	0	0
Snx5	95.500000	191	0	0
Mgme1	95.500000	191	0	0
Hcls1	95.500000	191	0	0
Gna15	95.500000	191	0	0
Ctsz	95.500000	191	0	0
Tgtp1	95.000000	190	0	0
Cmtm7	95.000000	0	190	0
Rpl35a	94.500000	99	90	0
Rit2	94.500000	189	0	0
Pdcd2	94.500000	189	0	0
Iqcg	94.500000	99	90	0
Eif4enif1	94.500000	189	0	0
Olfr768	94.000000	188	0	0
Lrrc61	94.000000	188	0	0
Iqsec3	94.000000	188	0	0
Gdf2	94.000000	188	0	0
Epcam	94.000000	188	0	0
Cyb5r4	94.000000	188	0	0
Chga	94.000000	188	0	0
Ccdc86	94.000000	188	0	0
Abcg3	94.000000	188	0	0
Pkn1	93.500000	187	0	0
Oard1	93.500000	187	0	0
Nfya	93.500000	187	0	0
Wdr43	92.500000	185	0	0
Unc93b1	92.500000	0	185	0
Txn2	92.500000	185	0	0
Nxpe5	91.500000	183	0	0
Mmd	91.500000	183	0	0
Fermt3	91.500000	183	0	0
Cant1	91.500000	85	98	0
Ints12	91.000000	182	0	0
Gstcd	91.000000	182	0	0
Esyt1	91.000000	182	0	0
Uvrag	90.500000	181	0	0
Nup54	90.500000	181	0	0
Lrr1	90.500000	181	0	0
Pgam2	90.000000	180	0	0
Dynlt1b	90.000000	0	180	0
Bcap31	90.000000	180	0	0
Acer3	90.000000	180	0	0
Abcd1	90.000000	180	0	0
Il21r	89.500000	179	0	0
Yif1a	89.000000	178	0	0
Vrk1	89.000000	178	0	0
Tmem151a	89.000000	178	0	0
Scd4	89.000000	178	0	0
Psmg3	89.000000	178	0	0
Fbp2	89.000000	178	0	0
Dnajc10	89.000000	178	0	0
Tmem139	88.500000	177	0	0
Krt14	88.500000	177	0	0
Ifi30	88.500000	0	177	0
Casp2	88.500000	177	0	0
Pnrc2	87.500000	175	0	0
Klhdc1	87.500000	175	0	0
