Target_genes	Mybl1|Average	SRX10052064|Testis	SRX1764251|Testis	SRX1764252|Testis	SRX244353|Testis	STRING
Parp4	565.750000	2031	0	0	232	0
Cenpj	565.750000	2031	0	0	232	0
Tada1	564.500000	1765	0	0	493	0
Marchf10	564.500000	2037	0	0	221	0
Smarca5	564.000000	2090	0	0	166	0
Mib1	563.000000	1959	0	0	293	0
Cfap298	563.000000	1842	0	0	410	0
Tedc1	562.750000	1672	0	0	579	0
Fam214a	562.750000	1707	0	106	438	0
Crip1	562.750000	1672	0	0	579	0
Bclaf1	562.500000	1754	0	163	333	0
Itfg2	562.000000	2102	0	0	146	0
Fbxo46	562.000000	1481	0	85	682	0
Cep295	562.000000	1401	79	150	618	0
Bhmg1	562.000000	1481	0	85	682	0
Gss	561.750000	2247	0	0	0	0
Gpr68	561.500000	1660	0	229	357	0
Dbi	561.000000	1710	0	132	402	0
Cfap43	561.000000	1808	0	107	329	0
3110009E18Rik	561.000000	1710	0	132	402	0
Fpgs	560.750000	1945	0	113	185	0
Ptp4a1	560.250000	1712	0	136	393	0
Crisp2	560.000000	1739	0	0	501	0
Hmgb2	559.750000	1958	0	73	208	0
Arhgap33	559.750000	609	124	232	1274	0
Rangrf	559.000000	1894	0	107	235	0
Lratd1	559.000000	2071	0	0	165	0
Maoa	557.750000	1666	0	0	565	0
1700029F12Rik	556.000000	1856	0	151	217	0
Gk2	555.750000	1764	0	115	344	0
Slc9b1	554.500000	1762	0	257	199	0
