Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Olfr677	41.666667	0	0	0	0	0	0	375	0	0	0
Ilf3	41.666667	0	0	0	0	0	0	375	0	0	0
Ccar1	41.666667	0	0	0	0	375	0	0	0	0	0
Zfp282	41.555556	0	0	0	0	221	153	0	0	0	0
Zdhhc7	41.555556	0	0	0	0	210	164	0	0	0	0
Ube2z	41.555556	0	0	0	0	238	136	0	0	0	0
Smg9	41.555556	0	0	0	0	0	0	374	0	0	0
Rpl19	41.555556	0	0	0	0	374	0	0	0	0	0
Pkp2	41.555556	0	0	0	0	243	131	0	0	0	0
Parva	41.555556	0	0	0	0	0	0	374	0	0	0
Nsmce3	41.555556	0	0	0	0	155	0	219	0	0	0
Map1lc3a	41.555556	0	0	0	0	128	149	97	0	0	0
Ifrd1	41.555556	0	0	0	0	241	133	0	0	0	0
Cacnb1	41.555556	0	0	0	0	374	0	0	0	0	0
Tusc2	41.444444	0	0	0	0	165	208	0	0	0	0
Tex261	41.444444	0	0	0	0	373	0	0	0	0	0
Rgs12	41.444444	0	0	0	0	256	0	117	0	0	0
Rcc1	41.444444	0	0	0	0	223	0	150	0	0	0
Nenf	41.444444	0	0	0	0	227	146	0	0	0	0
Map4k2	41.444444	0	0	0	0	227	146	0	0	0	0
Bcr	41.444444	0	0	0	0	211	162	0	0	0	0
Akap1	41.444444	0	0	0	0	151	0	222	0	0	0
Agtpbp1	41.444444	0	0	0	0	256	117	0	0	0	0
Rpl13	41.333333	0	0	0	0	246	126	0	0	0	0
Npepl1	41.333333	0	0	0	0	207	165	0	0	0	0
Kif22	41.333333	0	0	0	0	0	0	372	0	0	0
Kdm4c	41.333333	0	0	0	0	202	170	0	0	0	0
Ankrd28	41.333333	0	0	0	0	246	126	0	0	0	0
9930021J03Rik	41.333333	0	0	0	0	372	0	0	0	0	0
5031439G07Rik	41.333333	0	0	0	0	201	171	0	0	0	0
Ythdf2	41.222222	0	0	0	0	221	150	0	0	0	0
Wdr82	41.222222	0	0	0	0	218	153	0	0	0	0
Tpk1	41.222222	0	0	0	0	0	153	218	0	0	0
Hsf2	41.222222	0	0	0	0	232	0	139	0	0	0
Ebag9	41.222222	0	0	0	0	371	0	0	0	0	0
1810013L24Rik	41.222222	0	0	0	0	150	221	0	0	0	0
Zmiz1	41.111111	0	0	0	0	0	0	370	0	0	0
Zdhhc13	41.111111	0	0	0	0	370	0	0	0	0	0
Spata1	41.111111	0	0	0	0	228	142	0	0	0	0
Pitpnm2	41.111111	0	0	0	0	280	90	0	0	0	0
Kazn	41.111111	0	0	0	0	227	143	0	0	0	0
Itgb5	41.111111	0	0	0	0	221	149	0	0	0	0
Gng5	41.111111	0	0	0	0	228	142	0	0	0	0
Sorl1	41.000000	0	0	0	0	369	0	0	0	0	0
Lpin2	41.000000	0	0	0	0	269	100	0	0	0	0
Klf7	41.000000	0	0	0	0	226	143	0	0	0	0
Ing4	41.000000	0	0	0	0	0	0	369	0	0	0
Coq10a	41.000000	0	0	0	0	223	146	0	0	0	0
Arhgap17	41.000000	0	0	0	0	205	164	0	0	0	0
Pdpr	40.888889	0	0	0	0	240	128	0	0	0	0
Gabpb2	40.888889	0	0	0	0	0	0	368	0	0	0
Cpox	40.888889	0	0	0	0	107	0	261	0	0	0
Coa8	40.888889	0	0	0	0	238	130	0	0	0	0
Cmc2	40.888889	0	0	0	0	0	0	368	0	0	0
Cenpn	40.888889	0	0	0	0	0	0	368	0	0	0
Bag5	40.888889	0	0	0	0	238	130	0	0	0	0
Zgrf1	40.777778	0	0	0	0	0	0	367	0	0	0
Ube2cbp	40.777778	0	0	0	0	201	0	166	0	0	0
Pigm	40.777778	0	0	0	0	0	0	367	0	0	0
Nanos1	40.777778	0	0	0	0	234	133	0	0	0	0
Mettl4	40.777778	0	0	0	0	0	0	367	0	0	0
Larp7	40.777778	0	0	0	0	0	0	367	0	0	0
Hectd2	40.777778	0	0	0	0	367	0	0	0	0	0
Fbxo11	40.777778	0	0	0	0	212	155	0	0	0	0
Dop1a	40.777778	0	0	0	0	201	0	166	0	0	0
Wdr90	40.666667	0	0	0	0	0	0	232	134	0	0
Klhl35	40.666667	0	0	0	0	237	129	0	0	0	0
Itsn1	40.666667	0	0	0	0	211	155	0	0	0	0
Cryzl1	40.666667	0	0	0	0	211	155	0	0	0	0
Ccdc112	40.666667	0	0	0	0	366	0	0	0	0	0
Usf3	40.555556	0	0	0	0	248	117	0	0	0	0
Rnf10	40.555556	0	0	0	0	0	0	365	0	0	0
Macroh2a1	40.555556	0	0	0	0	365	0	0	0	0	0
Fbxo33	40.555556	0	0	0	0	197	168	0	0	0	0
C1ql1	40.555556	0	0	0	0	227	138	0	0	0	0
Tet3	40.444444	0	0	0	0	364	0	0	0	0	0
Peli1	40.444444	0	0	0	0	250	114	0	0	0	0
Nrip1	40.444444	0	0	0	0	265	99	0	0	0	0
Haspin	40.444444	0	0	0	0	0	0	364	0	0	0
Fancd2os	40.444444	0	0	0	0	0	0	364	0	0	0
Brk1	40.444444	0	0	0	0	0	0	364	0	0	0
Zmat5	40.333333	0	0	0	0	0	0	363	0	0	0
Zfp839	40.333333	0	0	0	0	206	157	0	0	0	0
Usp46	40.333333	0	0	0	0	220	143	0	0	0	0
Uqcr10	40.333333	0	0	0	0	0	0	363	0	0	0
Srrd	40.333333	0	0	0	0	227	136	0	0	0	0
Rrbp1	40.333333	0	0	0	0	184	179	0	0	0	0
Kif18b	40.333333	0	0	0	0	0	0	363	0	0	0
Hps4	40.333333	0	0	0	0	227	136	0	0	0	0
Zmynd11	40.222222	0	0	0	0	236	126	0	0	0	0
Tesk1	40.222222	0	0	0	0	261	101	0	0	0	0
Sqle	40.222222	0	0	0	0	176	186	0	0	0	0
Serpine2	40.222222	0	0	0	0	362	0	0	0	0	0
Ncapd2	40.222222	0	0	0	0	0	0	362	0	0	0
Mrpl51	40.222222	0	0	0	0	0	0	362	0	0	0
Hspa14	40.222222	0	0	0	0	0	0	362	0	0	0
Flywch1	40.222222	0	0	0	0	0	0	362	0	0	0
Fancc	40.222222	0	0	0	0	0	0	362	0	0	0
Cdnf	40.222222	0	0	0	0	0	0	362	0	0	0
Ppif	40.111111	0	0	0	0	212	149	0	0	0	0
Mapk9	40.000000	0	0	0	0	224	136	0	0	0	0
Copg2	40.000000	0	0	0	0	243	117	0	0	0	0
Zfp36l2	39.888889	0	0	0	0	113	0	246	0	0	0
Tsnax	39.888889	0	0	0	0	173	186	0	0	0	0
Rbbp6	39.888889	0	0	0	0	170	189	0	0	0	0
Kiz	39.888889	0	0	0	0	0	0	359	0	0	0
Hacd1	39.888889	0	0	0	0	236	123	0	0	0	0
Galnt7	39.888889	0	0	0	0	359	0	0	0	0	0
Farp1	39.888889	0	0	0	0	194	165	0	0	0	0
Cuedc1	39.888889	0	0	0	0	250	109	0	0	0	0
Tmx1	39.777778	0	0	0	0	0	0	230	128	0	0
Tmem170	39.777778	0	0	0	0	144	0	214	0	0	0
Sp4	39.777778	0	0	0	0	184	0	174	0	0	0
Limd1	39.777778	0	0	0	0	194	164	0	0	0	0
Impdh1	39.777778	0	0	0	0	358	0	0	0	0	0
Gm527	39.777778	0	0	0	0	234	124	0	0	0	0
Dipk2a	39.777778	0	0	0	0	234	124	0	0	0	0
Recql	39.666667	0	0	0	0	123	0	234	0	0	0
Pigu	39.666667	0	0	0	0	0	0	357	0	0	0
Msl1	39.666667	0	0	0	0	195	162	0	0	0	0
Golt1b	39.666667	0	0	0	0	123	0	234	0	0	0
Dynll1	39.666667	0	0	0	0	357	0	0	0	0	0
Chd7	39.666667	0	0	0	0	245	112	0	0	0	0
Cep250	39.666667	0	0	0	0	0	0	357	0	0	0
Tigar	39.555556	0	0	0	0	0	0	356	0	0	0
Sfswap	39.555556	0	0	0	0	0	0	356	0	0	0
Nt5c3	39.555556	0	0	0	0	186	0	170	0	0	0
Nabp1	39.555556	0	0	0	0	356	0	0	0	0	0
Med18	39.555556	0	0	0	0	0	0	356	0	0	0
Map7	39.555556	0	0	0	0	356	0	0	0	0	0
Lgalsl	39.555556	0	0	0	0	223	133	0	0	0	0
Id1	39.555556	0	0	0	0	172	0	184	0	0	0
Gabbr1	39.555556	0	0	0	0	202	154	0	0	0	0
Fam160b1	39.555556	0	0	0	0	231	125	0	0	0	0
Cbfb	39.555556	0	0	0	0	246	110	0	0	0	0
Ssrp1	39.444444	0	0	0	0	0	0	355	0	0	0
Rab2a	39.444444	0	0	0	0	172	183	0	0	0	0
P2rx3	39.444444	0	0	0	0	0	0	355	0	0	0
Numbl	39.444444	0	0	0	0	224	131	0	0	0	0
Insm1	39.444444	0	0	0	0	355	0	0	0	0	0
Igfbp3	39.444444	0	0	0	0	355	0	0	0	0	0
Tatdn3	39.333333	0	0	0	0	0	0	354	0	0	0
Snx29	39.333333	0	0	0	0	205	149	0	0	0	0
Nsl1	39.333333	0	0	0	0	0	0	354	0	0	0
Ninj1	39.333333	0	0	0	0	201	153	0	0	0	0
Btbd10	39.333333	0	0	0	0	0	0	354	0	0	0
Arap2	39.333333	0	0	0	0	354	0	0	0	0	0
Zfp180	39.222222	0	0	0	0	0	0	353	0	0	0
Tonsl	39.222222	0	0	0	0	0	0	353	0	0	0
Tex9	39.222222	0	0	0	0	0	0	353	0	0	0
Ptprf	39.222222	0	0	0	0	353	0	0	0	0	0
Picalm	39.222222	0	0	0	0	222	131	0	0	0	0
Nono	39.222222	0	0	0	0	0	0	353	0	0	0
Nfyc	39.222222	0	0	0	0	179	0	174	0	0	0
Mak	39.222222	0	0	0	0	0	0	353	0	0	0
Ecpas	39.222222	0	0	0	0	242	111	0	0	0	0
Ctnnbl1	39.222222	0	0	0	0	0	0	353	0	0	0
Cenph	39.222222	0	0	0	0	0	0	353	0	0	0
Usp3	39.111111	0	0	0	0	249	103	0	0	0	0
Spdl1	39.111111	0	0	0	0	0	0	352	0	0	0
Ncl	39.111111	0	0	0	0	215	137	0	0	0	0
Dpp9	39.111111	0	0	0	0	352	0	0	0	0	0
Adcy2	39.111111	0	0	0	0	221	131	0	0	0	0
Zeb1	39.000000	0	0	0	0	185	166	0	0	0	0
Zc3h15	39.000000	0	0	0	0	192	159	0	0	0	0
Tnrc6b	39.000000	0	0	0	0	159	0	192	0	0	0
Tcf7	39.000000	0	0	0	0	351	0	0	0	0	0
Nkapl	39.000000	0	0	0	0	0	0	351	0	0	0
Nkain1	39.000000	0	0	0	0	351	0	0	0	0	0
Mosmo	39.000000	0	0	0	0	351	0	0	0	0	0
Klhl23	39.000000	0	0	0	0	248	103	0	0	0	0
Ip6k1	39.000000	0	0	0	0	205	146	0	0	0	0
Gm12258	39.000000	0	0	0	0	0	0	351	0	0	0
Fcho2	39.000000	0	0	0	0	205	146	0	0	0	0
Elovl2	39.000000	0	0	0	0	245	106	0	0	0	0
Armc1	39.000000	0	0	0	0	172	179	0	0	0	0
Tanc2	38.888889	0	0	0	0	255	95	0	0	0	0
Rabep1	38.888889	0	0	0	0	226	124	0	0	0	0
Pdp1	38.888889	0	0	0	0	167	0	183	0	0	0
Canx	38.888889	0	0	0	0	0	0	350	0	0	0
Ptprj	38.777778	0	0	0	0	168	181	0	0	0	0
Cdc45	38.777778	0	0	0	0	0	0	349	0	0	0
Spred2	38.666667	0	0	0	0	157	191	0	0	0	0
Rabl6	38.666667	0	0	0	0	165	0	183	0	0	0
Dlg5	38.666667	0	0	0	0	213	135	0	0	0	0
2310022B05Rik	38.666667	0	0	0	0	189	159	0	0	0	0
Trir	38.555556	0	0	0	0	0	0	347	0	0	0
Scamp5	38.555556	0	0	0	0	347	0	0	0	0	0
Pogz	38.555556	0	0	0	0	217	130	0	0	0	0
Pak2	38.555556	0	0	0	0	220	127	0	0	0	0
Mex3a	38.555556	0	0	0	0	222	0	125	0	0	0
Mapk1	38.555556	0	0	0	0	206	141	0	0	0	0
Get3	38.555556	0	0	0	0	0	0	347	0	0	0
Plekhf1	38.444444	0	0	0	0	0	0	346	0	0	0
Ndufs7	38.444444	0	0	0	126	0	0	220	0	0	0
Gnao1	38.444444	0	0	0	0	141	205	0	0	0	0
Qsox2	38.333333	0	0	0	0	186	0	159	0	0	0
Ptgfrn	38.333333	0	0	0	0	197	148	0	0	0	0
Hif1a	38.333333	0	0	0	0	186	159	0	0	0	0
Ctf1	38.333333	0	0	0	0	211	134	0	0	0	0
Bcl7c	38.333333	0	0	0	0	211	134	0	0	0	0
Trabd	38.222222	0	0	0	0	344	0	0	0	0	0
Snx25	38.222222	0	0	0	0	344	0	0	0	0	0
Hspbp1	38.222222	0	0	0	0	0	0	344	0	0	0
Zfp787	38.111111	0	0	0	0	248	95	0	0	0	0
Zfp386	38.111111	0	0	0	0	0	0	343	0	0	0
Trim44	38.111111	0	0	0	0	201	142	0	0	0	0
Sympk	38.111111	0	0	0	0	227	0	116	0	0	0
Slfn14	38.111111	0	0	0	0	0	0	343	0	0	0
Ska2	38.111111	0	0	0	0	0	0	343	0	0	0
Rfc2	38.111111	0	0	0	0	0	0	211	132	0	0
Prr11	38.111111	0	0	0	0	0	0	343	0	0	0
Prim2	38.111111	0	0	0	0	0	0	343	0	0	0
Pcnx3	38.111111	0	0	0	0	0	0	343	0	0	0
Map3k11	38.111111	0	0	0	0	0	0	343	0	0	0
Magohb	38.111111	0	0	0	0	0	0	343	0	0	0
Immt	38.111111	0	0	0	0	0	0	343	0	0	0
Foxa3	38.111111	0	0	0	0	227	0	116	0	0	0
Crtc1	38.111111	0	0	0	0	158	0	185	0	0	0
Ccnb2	38.111111	0	0	0	0	0	0	343	0	0	0
Cacna1a	38.111111	0	0	0	0	250	93	0	0	0	0
Btg1	38.111111	0	0	0	0	191	152	0	0	0	0
Lamc1	38.000000	0	0	0	0	218	124	0	0	0	0
Rhobtb3	37.888889	0	0	0	0	341	0	0	0	0	0
Dis3l2	37.888889	0	0	0	0	341	0	0	0	0	0
Atg12	37.888889	0	0	0	0	165	176	0	0	0	0
Ap3s1	37.888889	0	0	0	0	165	176	0	0	0	0
Zfand3	37.777778	0	0	0	0	209	131	0	0	0	0
Tstd2	37.777778	0	0	0	0	340	0	0	0	0	0
Tssk6	37.777778	0	0	0	0	132	0	208	0	0	0
Syde2	37.777778	0	0	0	0	268	72	0	0	0	0
Ndufa13	37.777778	0	0	0	0	132	0	208	0	0	0
Ncbp1	37.777778	0	0	0	0	340	0	0	0	0	0
Gcfc2	37.777778	0	0	0	0	223	0	117	0	0	0
Rp9	37.666667	0	0	0	0	0	0	339	0	0	0
Pycrl	37.666667	0	0	0	0	0	0	339	0	0	0
N4bp2	37.666667	0	0	0	0	219	120	0	0	0	0
Faap24	37.666667	0	0	0	0	0	0	339	0	0	0
Tnfrsf10b	37.555556	0	0	0	0	0	0	338	0	0	0
Kif1b	37.555556	0	0	0	0	155	183	0	0	0	0
Homer1	37.555556	0	0	0	0	199	139	0	0	0	0
Grhl1	37.555556	0	0	0	0	187	151	0	0	0	0
Dock1	37.555556	0	0	0	0	235	103	0	0	0	0
D630045J12Rik	37.555556	0	0	0	0	210	128	0	0	0	0
Clasp2	37.555556	0	0	0	0	338	0	0	0	0	0
Cd164	37.555556	0	0	0	0	195	143	0	0	0	0
Srsf7	37.444444	0	0	0	0	159	0	178	0	0	0
Slc25a19	37.444444	0	0	0	0	0	0	337	0	0	0
Rell1	37.444444	0	0	0	0	0	0	337	0	0	0
Plekhh1	37.444444	0	0	0	0	162	175	0	0	0	0
Klf16	37.444444	0	0	0	0	224	113	0	0	0	0
Fam110a	37.444444	0	0	0	0	0	0	337	0	0	0
Dip2b	37.444444	0	0	0	0	242	95	0	0	0	0
Ctdspl	37.444444	0	0	0	0	152	0	185	0	0	0
Sms	37.333333	0	0	0	0	235	101	0	0	0	0
Rab5c	37.333333	0	0	0	0	0	0	336	0	0	0
Mtmr7	37.333333	0	0	0	0	336	0	0	0	0	0
Hsdl1	37.333333	0	0	0	0	336	0	0	0	0	0
Gnaq	37.333333	0	0	0	0	207	129	0	0	0	0
Fkbp1a	37.333333	0	0	0	0	202	134	0	0	0	0
Dnaaf1	37.333333	0	0	0	0	336	0	0	0	0	0
Sox13	37.222222	0	0	0	0	189	146	0	0	0	0
Sirt7	37.222222	0	0	0	0	149	186	0	0	0	0
Nol8	37.222222	0	0	0	0	0	0	187	148	0	0
Ints3	37.222222	0	0	0	0	0	0	335	0	0	0
Gipc1	37.222222	0	0	0	0	218	0	117	0	0	0
Flad1	37.222222	0	0	0	0	0	0	335	0	0	0
Cenpp	37.222222	0	0	0	0	0	0	187	148	0	0
Cdyl	37.222222	0	0	0	0	226	109	0	0	0	0
Zswim9	37.111111	0	0	0	0	0	0	334	0	0	0
Zfr	37.111111	0	0	0	0	185	149	0	0	0	0
Ppp2r3a	37.111111	0	0	0	0	234	100	0	0	0	0
Podxl2	37.111111	0	0	0	0	207	127	0	0	0	0
Lig1	37.111111	0	0	0	0	0	0	334	0	0	0
Dctpp1	37.111111	0	0	0	0	0	0	334	0	0	0
1110004F10Rik	37.111111	0	0	0	0	0	0	334	0	0	0
Hsd17b12	37.000000	0	0	0	0	0	0	333	0	0	0
Hrk	37.000000	0	0	0	0	176	157	0	0	0	0
Cep112	37.000000	0	0	0	0	0	0	333	0	0	0
Cenpu	37.000000	0	0	0	0	0	0	333	0	0	0
Vmp1	36.888889	0	0	0	0	0	0	332	0	0	0
Trim29	36.888889	0	0	0	0	0	0	332	0	0	0
Tmem214	36.888889	0	0	0	0	0	0	332	0	0	0
Ptrh2	36.888889	0	0	0	0	0	0	332	0	0	0
Psmd1	36.888889	0	0	0	0	0	0	332	0	0	0
Pawr	36.888889	0	0	0	0	203	129	0	0	0	0
Mapk4	36.888889	0	0	0	0	332	0	0	0	0	0
Ddost	36.888889	0	0	0	0	0	0	332	0	0	0
Cyp26b1	36.888889	0	0	0	0	0	0	332	0	0	0
Ctc1	36.888889	0	0	0	0	0	0	332	0	0	0
Cstf3	36.888889	0	0	0	0	0	0	332	0	0	0
Bcl7a	36.888889	0	0	0	0	202	130	0	0	0	0
Alg14	36.888889	0	0	0	0	0	0	332	0	0	0
Acod1	36.888889	0	0	227	105	0	0	0	0	0	0
Shmt1	36.777778	0	0	0	0	0	0	331	0	0	0
Frat1	36.777778	0	0	0	0	208	123	0	0	0	0
Ensa	36.777778	0	0	0	0	0	0	331	0	0	0
Cep70	36.777778	0	0	0	0	0	0	331	0	0	0
Zfp821	36.666667	0	0	0	0	330	0	0	0	0	0
Tnpo2	36.666667	0	0	0	0	127	203	0	0	0	0
Slc27a2	36.666667	0	0	0	0	330	0	0	0	0	0
Rhobtb2	36.666667	0	0	0	0	184	146	0	0	0	0
Mpdu1	36.666667	0	0	0	0	0	0	330	0	0	0
Gpatch8	36.666667	0	0	0	0	0	0	330	0	0	0
Dnajc3	36.666667	0	0	0	0	146	184	0	0	0	0
Cux1	36.666667	0	0	0	0	330	0	0	0	0	0
Csnk1e	36.666667	0	0	0	0	330	0	0	0	0	0
Apbb2	36.666667	0	0	0	0	0	0	330	0	0	0
Vhl	36.555556	0	0	0	0	329	0	0	0	0	0
Usp47	36.555556	0	0	0	0	329	0	0	0	0	0
Tmem243	36.555556	0	0	0	0	186	143	0	0	0	0
Sos1	36.555556	0	0	0	0	148	181	0	0	0	0
Rsbn1	36.555556	0	0	0	0	0	0	329	0	0	0
Rad9a	36.555556	0	0	0	0	0	0	329	0	0	0
Mcm10	36.555556	0	0	0	0	0	0	329	0	0	0
Magi3	36.555556	0	0	0	0	191	138	0	0	0	0
Stx3	36.444444	0	0	0	0	328	0	0	0	0	0
Slc25a11	36.444444	0	0	0	0	0	0	328	0	0	0
Rnf167	36.444444	0	0	0	0	0	0	328	0	0	0
Pde12	36.444444	0	0	0	0	0	0	328	0	0	0
Ankle1	36.444444	0	0	0	0	0	0	328	0	0	0
Actrt3	36.444444	0	0	0	0	146	0	182	0	0	0
Osbpl2	36.333333	0	0	0	0	152	175	0	0	0	0
Hnrnph2	36.333333	0	0	0	0	0	0	327	0	0	0
Gla	36.333333	0	0	0	0	0	0	327	0	0	0
Zfp148	36.111111	0	0	0	0	325	0	0	0	0	0
Lysmd3	36.111111	0	0	0	0	153	172	0	0	0	0
Homer3	36.111111	0	0	0	0	325	0	0	0	0	0
H2-T9	36.111111	0	0	0	0	0	0	325	0	0	0
H2-T22	36.111111	0	0	0	0	0	0	325	0	0	0
Gm6034	36.111111	0	0	0	0	0	0	325	0	0	0
Camta1	36.111111	0	0	0	0	134	0	191	0	0	0
Parp11	36.000000	0	0	0	0	0	0	324	0	0	0
Pak4	36.000000	0	0	0	0	0	0	324	0	0	0
Hivep1	36.000000	0	0	0	0	199	125	0	0	0	0
Zfp687	35.888889	0	0	0	0	0	0	323	0	0	0
Prkd3	35.888889	0	0	0	0	188	135	0	0	0	0
Lasp1	35.888889	0	0	0	0	323	0	0	0	0	0
Fbxw2	35.888889	0	0	0	0	106	0	217	0	0	0
Timmdc1	35.777778	0	0	0	0	0	0	322	0	0	0
Slc30a5	35.777778	0	0	0	0	198	124	0	0	0	0
Rpl34-ps1	35.777778	0	0	0	0	0	0	322	0	0	0
Rpl34	35.777778	0	0	0	0	0	0	322	0	0	0
Mrpl28	35.777778	0	0	0	0	0	0	322	0	0	0
Gcc1	35.777778	0	0	0	0	322	0	0	0	0	0
Fut7	35.777778	0	0	0	0	322	0	0	0	0	0
Fscn3	35.777778	0	0	0	0	322	0	0	0	0	0
Dcaf15	35.777778	0	0	0	0	0	0	322	0	0	0
C9orf72	35.777778	0	0	0	0	168	154	0	0	0	0
Arf5	35.777778	0	0	0	0	322	0	0	0	0	0
Abca2	35.777778	0	0	0	0	322	0	0	0	0	0
Vps50	35.666667	0	0	0	0	0	0	321	0	0	0
Txn1	35.666667	0	0	0	0	188	133	0	0	0	0
Serpina3n	35.666667	0	0	0	0	0	0	321	0	0	0
Rlbp1	35.666667	0	0	0	0	0	0	321	0	0	0
Kif14	35.666667	0	0	0	0	0	0	321	0	0	0
Hepacam2	35.666667	0	0	0	0	0	0	321	0	0	0
Fanci	35.666667	0	0	0	0	0	0	321	0	0	0
Fam160a2	35.666667	0	0	0	0	161	160	0	0	0	0
Cnga4	35.666667	0	0	0	0	161	160	0	0	0	0
Txn2	35.555556	0	0	0	0	0	0	320	0	0	0
Mis18a	35.555556	0	0	0	0	0	0	320	0	0	0
Elf2	35.555556	0	0	0	0	155	165	0	0	0	0
Daglb	35.555556	0	0	0	0	0	0	320	0	0	0
Tmem109	35.444444	0	0	0	0	0	0	319	0	0	0
Npm1	35.444444	0	0	0	0	0	0	319	0	0	0
Mob2	35.444444	0	0	0	0	170	149	0	0	0	0
Isy1	35.444444	0	0	0	0	0	0	319	0	0	0
Ccdc117	35.444444	0	0	0	0	159	160	0	0	0	0
C2cd5	35.444444	0	0	0	0	143	0	176	0	0	0
Tubg1	35.333333	0	0	0	0	0	0	318	0	0	0
Retreg3	35.333333	0	0	0	0	0	0	318	0	0	0
Ptprs	35.333333	0	0	0	0	318	0	0	0	0	0
Kcnq2	35.333333	0	0	0	0	212	106	0	0	0	0
Fam102b	35.333333	0	0	0	0	136	0	182	0	0	0
4931414P19Rik	35.333333	0	0	0	0	156	162	0	0	0	0
Zfp638	35.222222	0	0	0	0	317	0	0	0	0	0
Tbc1d5	35.222222	0	0	0	0	231	0	86	0	0	0
Mxra7	35.222222	0	0	0	0	164	153	0	0	0	0
Golm1	35.222222	0	0	0	0	138	179	0	0	0	0
Ccdc88a	35.222222	0	0	0	0	157	0	160	0	0	0
Wdpcp	35.111111	0	0	0	0	0	0	316	0	0	0
Notch1	35.111111	0	0	0	0	148	168	0	0	0	0
Mdh1	35.111111	0	0	0	0	0	0	316	0	0	0
Cab39	35.111111	0	0	0	0	164	152	0	0	0	0
Brip1	35.111111	0	0	0	0	0	0	316	0	0	0
Umad1	35.000000	0	0	0	0	0	0	315	0	0	0
Tada1	35.000000	0	0	0	0	165	0	150	0	0	0
Rusc2	35.000000	0	0	0	0	315	0	0	0	0	0
Rspry1	35.000000	0	0	0	0	0	0	315	0	0	0
Rpa3	35.000000	0	0	0	0	0	0	315	0	0	0
Rnf144a	35.000000	0	0	0	0	315	0	0	0	0	0
Psme3ip1	35.000000	0	0	0	0	0	0	315	0	0	0
Ppp6r1	35.000000	0	0	0	0	159	0	156	0	0	0
Mis18bp1	35.000000	0	0	0	0	0	0	315	0	0	0
Mad2l1	35.000000	0	0	0	0	0	0	315	0	0	0
Kmt5c	35.000000	0	0	0	0	0	0	315	0	0	0
Atp11b	35.000000	0	0	0	0	208	107	0	0	0	0
Zc2hc1a	34.888889	0	0	0	0	176	138	0	0	0	0
Vrk1	34.888889	0	0	0	0	0	0	314	0	0	0
Txndc16	34.888889	0	0	0	0	114	0	200	0	0	0
Trpc4ap	34.888889	0	0	0	0	161	153	0	0	0	0
Lrrcc1	34.888889	0	0	0	0	0	0	314	0	0	0
Lemd2	34.888889	0	0	0	0	214	100	0	0	0	0
Hint1	34.888889	0	0	0	0	191	123	0	0	0	0
Gpx4	34.888889	0	0	0	0	157	0	157	0	0	0
Gpr137c	34.888889	0	0	0	0	114	0	200	0	0	0
Galc	34.888889	0	0	0	0	314	0	0	0	0	0
Ranbp2	34.777778	0	0	0	0	0	0	313	0	0	0
Ypel1	34.666667	0	0	0	0	159	153	0	0	0	0
Virma	34.666667	0	0	0	0	0	0	312	0	0	0
Tnfaip8l1	34.666667	0	0	0	0	0	0	312	0	0	0
Spred3	34.666667	0	0	0	0	0	0	312	0	0	0
Sec62	34.666667	0	0	0	0	158	154	0	0	0	0
Scgb2b2	34.666667	0	0	0	0	0	0	312	0	0	0
Rbm38	34.666667	0	0	0	0	209	103	0	0	0	0
Ppm1d	34.666667	0	0	0	0	0	0	312	0	0	0
Kdm3b	34.666667	0	0	0	0	188	124	0	0	0	0
Gtf2f1	34.666667	0	0	0	0	0	0	312	0	0	0
Ggn	34.666667	0	0	0	0	0	0	312	0	0	0
Zc3h8	34.555556	0	0	0	0	0	0	311	0	0	0
Xbp1	34.555556	0	0	0	0	161	150	0	0	0	0
Tpd52	34.555556	0	0	0	0	311	0	0	0	0	0
Tanc1	34.555556	0	0	0	0	311	0	0	0	0	0
Socs6	34.555556	0	0	0	0	311	0	0	0	0	0
Septin3	34.555556	0	0	0	0	311	0	0	0	0	0
Rap1a	34.555556	0	0	0	0	205	106	0	0	0	0
Ptpn14	34.555556	0	0	0	0	311	0	0	0	0	0
Myoz3	34.555556	0	0	0	0	183	128	0	0	0	0
Maneal	34.555556	0	0	0	0	181	130	0	0	0	0
Ltb	34.555556	0	98	98	115	0	0	0	0	0	0
Lrrfip2	34.555556	0	0	0	0	180	131	0	0	0	0
Lrba	34.555556	0	0	0	0	311	0	0	0	0	0
Dusp14	34.555556	0	0	0	0	311	0	0	0	0	0
Cnot2	34.555556	0	0	0	0	154	0	157	0	0	0
Cnnm4	34.555556	0	0	0	0	311	0	0	0	0	0
Acadl	34.555556	0	0	0	0	172	0	139	0	0	0
Zfpm1	34.444444	0	0	0	0	172	138	0	0	0	0
Socs3	34.444444	0	0	0	0	120	0	190	0	0	0
Rnf216	34.444444	0	0	0	0	215	95	0	0	0	0
Kpnb1	34.444444	0	0	0	0	185	0	0	125	0	0
Fdxr	34.444444	0	0	0	0	0	0	310	0	0	0
Fam133b	34.444444	0	0	0	0	179	131	0	0	0	0
Ccdc107	34.444444	0	0	0	0	0	0	310	0	0	0
Taf1d	34.333333	0	0	0	0	309	0	0	0	0	0
Smap1	34.333333	0	0	0	0	170	139	0	0	0	0
