Target_genes	E2f1|Average	SRX122390|Dendritic_Cells	SRX122391|Dendritic_Cells	SRX122392|Dendritic_Cells	SRX122393|Dendritic_Cells	SRX2897262|ES_cells	SRX2897263|ES_cells	SRX1334844|Hepatocytes	SRX1120752|MEF	SRX1120755|MEF	STRING
Msantd2	79.000000	0	0	0	0	274	437	0	0	0	0
Eef1a1	79.000000	0	0	0	0	507	204	0	0	0	0
Dag1	79.000000	0	0	0	0	430	281	0	0	0	0
Mns1	78.888889	0	0	0	0	0	0	710	0	0	0
Kifc3	78.888889	0	0	0	0	527	183	0	0	0	0
Hspa4	78.777778	0	0	0	0	414	295	0	0	0	0
Gatad2b	78.777778	0	0	0	0	317	197	195	0	0	0
Chd1	78.777778	0	0	0	0	450	259	0	0	0	0
Cd2ap	78.777778	0	0	0	0	215	178	316	0	0	0
Tyw1	78.666667	0	0	0	0	0	0	708	0	0	0
Sbds	78.666667	0	0	0	0	0	0	708	0	0	0
Rmnd5a	78.666667	0	0	0	0	546	162	0	0	0	0
Psme4	78.666667	0	0	0	0	426	282	0	0	0	0
Pibf1	78.666667	0	0	0	0	279	241	188	0	0	0
Pbx3	78.666667	0	0	0	0	208	127	373	0	0	0
Dis3	78.666667	0	0	0	0	279	241	188	0	0	0
Atf4	78.666667	0	0	0	0	318	227	163	0	0	0
Asf1b	78.666667	0	0	0	0	0	0	708	0	0	0
Mex3c	78.555556	0	0	0	0	454	253	0	0	0	0
Khdrbs3	78.555556	0	0	0	0	354	353	0	0	0	0
Exoc4	78.555556	0	0	0	0	0	0	707	0	0	0
Pole4	78.444444	0	0	0	0	148	0	348	210	0	0
Hic2	78.444444	0	0	0	0	460	246	0	0	0	0
Cwc22	78.444444	0	0	0	0	0	0	706	0	0	0
9030025P20Rik	78.444444	0	0	0	0	285	0	257	164	0	0
Tex2	78.333333	0	0	0	0	347	204	154	0	0	0
Snx18	78.333333	0	0	0	0	199	224	282	0	0	0
Pot1a	78.333333	0	0	0	0	0	0	576	129	0	0
Nsmaf	78.333333	0	0	0	0	284	122	299	0	0	0
Kansl1	78.333333	0	0	0	0	419	286	0	0	0	0
Gmnn	78.333333	0	0	0	0	0	0	502	203	0	0
Cobl	78.333333	0	0	0	0	446	259	0	0	0	0
Bahcc1	78.333333	0	0	0	0	0	159	546	0	0	0
Adipor1	78.333333	0	0	0	0	421	284	0	0	0	0
Yes1	78.222222	0	0	0	0	360	344	0	0	0	0
Slc23a2	78.222222	0	0	0	0	491	213	0	0	0	0
Scaf4	78.222222	0	0	0	0	405	299	0	0	0	0
Usp10	78.111111	0	0	0	0	428	275	0	0	0	0
Nup210	78.111111	0	0	0	0	427	173	103	0	0	0
Sfxn1	78.000000	0	0	0	0	468	234	0	0	0	0
Hells	78.000000	0	0	0	0	258	183	261	0	0	0
Cc2d1a	78.000000	0	0	0	0	0	0	493	209	0	0
4930432K21Rik	78.000000	0	0	0	0	0	0	493	209	0	0
Rdx	77.888889	0	0	0	0	374	327	0	0	0	0
Memo1	77.888889	0	0	0	0	514	187	0	0	0	0
Lcor	77.888889	0	0	0	0	446	255	0	0	0	0
Gid8	77.888889	0	0	0	0	294	209	198	0	0	0
