Target_genes	Irf5|Average	SRX10652558|CD4+_T_cells	SRX3380962|Dendritic_Cells	SRX3380963|Dendritic_Cells	SRX3380964|Dendritic_Cells	STRING
Ryr1	974.750000	0	1883	1465	551	0
H2-Ea	971.750000	0	1784	1877	226	0
Ptpre	958.000000	0	1803	1889	140	0
Tmprss4	955.000000	0	1812	1752	256	0
Yju2	949.750000	0	1869	1814	116	0
Cmip	929.000000	0	1612	1641	463	0
Clec4a1	928.500000	0	1958	1572	184	0
Haao	922.750000	0	1663	1646	382	0
Slc3a2	921.500000	0	1867	1616	203	0
Kmo	920.500000	0	1793	1781	108	0
Tmem125	920.000000	112	1230	1125	1213	0
Fbxo4	918.000000	0	2031	1461	180	0
4931428F04Rik	918.000000	0	1842	1631	199	0
Pgghg	912.750000	0	1992	1511	148	0
Tlr3	897.500000	0	1484	1443	663	0
Slfn10-ps	897.000000	141	1713	1734	0	0
Ifi204	897.000000	0	1598	1812	178	0
Olfr433	894.750000	0	1750	1673	156	0
Oasl1	893.000000	0	1677	1543	352	0
Mfsd6	887.250000	0	1775	1459	315	0
Grn	886.000000	0	1629	1471	444	0
Gm10634	885.000000	0	1778	1762	0	0
Usp53	879.250000	0	1988	1292	237	0
Tcp10a	878.500000	0	1764	1750	0	0
Slc25a19	878.500000	0	1861	1653	0	0
Hcar2	875.000000	0	1734	1529	237	0
Fnip2	873.000000	0	1685	1587	220	0
Cd53	869.000000	0	1746	1521	209	0
D16Ertd472e	868.500000	0	1667	1678	129	0
Ywhaz	867.750000	0	1685	1293	493	0
Slc11a2	867.000000	0	1876	1592	0	0
A4galt	865.250000	0	1569	1662	230	0
Pde1b	864.750000	0	1492	1520	447	0
Ms4a7	864.000000	0	1651	1805	0	0
Wapl	861.500000	0	1068	995	1383	0
Ptpn12	856.250000	0	1751	1552	122	0
Utp18	851.250000	0	1660	1608	137	0
Mbtd1	851.250000	0	1660	1608	137	0
Dhrs9	849.750000	0	1705	1366	328	0
Mgat4a	847.750000	0	1485	1662	244	0
Snx13	843.500000	0	1299	1209	866	0
Nedd4	842.000000	0	1440	1540	388	0
Bcl2a1c	842.000000	0	1769	1599	0	0
Fam219a	841.000000	0	1529	1599	236	0
Dnaic1	841.000000	0	1529	1599	236	0
Trafd1	838.000000	0	1616	1560	176	0
Ccl22	838.000000	0	1644	1578	130	0
Tmtc2	837.750000	0	1661	1690	0	0
Grxcr1	837.000000	0	1801	1431	116	0
Wdfy4	835.500000	0	1468	1612	262	0
Arhgap45	835.000000	0	1472	1487	381	0
Ank1	833.500000	0	1526	1588	220	0
Ccl5	832.750000	0	1777	1411	143	0
Serpinb2	825.750000	0	1545	1457	301	0
Gsap	823.750000	0	1481	1452	362	0
Itgax	820.000000	0	1255	1326	699	451
Itgb1	819.750000	0	1372	1588	319	0
Ascc3	819.500000	0	1611	1234	433	0
Hook2	818.750000	0	1336	1333	606	0
Ifi211	815.750000	0	1418	1642	203	0
Nbeal2	814.250000	0	1344	1526	387	0
Ccdc12	814.250000	0	1344	1526	387	0
Nlrp1b	813.750000	0	1543	1444	268	0
Cd36	809.500000	0	1433	1419	386	0
Rfx5	805.750000	0	1202	1555	466	0
Mmp9	805.250000	0	1461	1354	406	0
Slfn5	804.750000	0	1232	1238	749	0
Sp2	803.750000	0	1667	1351	197	0
Zfp169	802.750000	0	1508	1470	233	0
Asb2	797.750000	0	1525	1474	192	0
Itga5	796.500000	0	1554	1536	96	0
Zfp740	793.000000	0	1427	1513	232	0
Csad	793.000000	0	1427	1513	232	0
Ctla4	792.250000	0	1515	1654	0	0
Cd40	791.250000	0	1561	1465	139	0
Mycl	788.750000	0	1499	1537	119	0
Tlcd1	787.500000	130	1786	1234	0	0
Nek8	787.500000	130	1786	1234	0	0
Gm5544	785.250000	0	1340	1080	721	0
Cyth4	784.250000	0	1692	1314	131	0
Denr	782.750000	0	1773	1239	119	0
Pfkp	782.000000	0	1634	1355	139	0
P2rx4	778.250000	0	1254	1663	196	0
Il6ra	776.500000	0	1431	1355	320	0
Mfhas1	776.250000	0	1643	1462	0	0
Armc8	775.000000	0	756	630	1714	0
Tnfsf13b	768.000000	0	1204	1354	514	0
Tlr4	764.500000	0	1195	1392	471	0
Smim14	764.500000	0	1318	1378	362	0
Kcna3	763.250000	0	1389	1405	259	0
Hsd17b11	762.500000	0	1515	1330	205	0
Oosp3	760.250000	0	1463	1284	294	0
Smim3	756.250000	0	1356	1540	129	0
Gpr31b	756.000000	0	1559	1353	112	0
Tcp10c	753.000000	0	1411	1436	165	0
C1qb	752.750000	0	1474	1434	103	0
Btbd11	750.750000	0	1549	1323	131	0
Hap1	750.250000	0	1377	1393	231	0
Commd8	750.000000	0	1282	1423	295	0
Clec9a	747.500000	0	1308	1358	324	0
Bcl6	747.500000	0	1477	1249	264	0
Cxcl9	746.500000	0	1470	1365	151	0
Art3	746.500000	0	1470	1365	151	0
Clec2i	746.250000	0	1659	1326	0	0
BC035044	746.250000	0	1659	1326	0	0
Elmod2	744.750000	0	1316	1358	305	0
Cyp4f18	744.000000	0	1491	1294	191	0
Tiparp	743.750000	0	1260	1226	489	0
Socs5	741.250000	0	1412	1421	132	0
