Target_genes	Emx2|Average	SRX11976446|Cerebral_Cortex	SRX11976464|Cerebral_Cortex	SRX11976465|Cerebral_Cortex	STRING
1700030K09Rik	64.333333	0	0	193	0
0610009B22Rik	64.333333	0	0	193	0
Rnf157	63.333333	0	0	190	0
H2ax	63.333333	0	0	190	0
Fgfr2	63.000000	0	0	189	0
Mideas	62.666667	0	0	188	0
D3Ertd751e	62.333333	0	0	187	0
Zfp207	62.000000	0	0	186	0
Notch2	62.000000	0	0	186	0
Grik3	61.666667	0	0	185	0
Wdtc1	61.000000	0	0	183	0
Upp2	61.000000	0	0	183	0
Tcp11l1	61.000000	0	0	183	0
Slc38a9	61.000000	0	0	183	0
Ric8a	61.000000	0	0	183	0
Rce1	61.000000	0	0	183	0
Pin1rt1	61.000000	0	0	183	0
Pde4a	61.000000	0	0	183	0
Nt5dc2	61.000000	0	0	183	0
Mxd3	61.000000	0	0	183	0
Lrrtm3	61.000000	0	0	183	0
Evi5l	61.000000	0	0	183	0
Bet1l	61.000000	0	0	183	0
Atp5l	61.000000	0	0	183	0
Angptl7	61.000000	0	0	183	0
Angpt2	61.000000	0	0	183	0
Cstf2t	60.666667	0	0	182	0
Tnik	60.333333	0	0	181	0
Sall4	60.000000	0	0	180	0
Mbnl2	60.000000	0	0	180	0
Cks2	59.333333	0	0	178	0
Nfatc4	59.000000	0	0	177	0
Zc3h12c	58.666667	0	0	176	0
Prr15	58.333333	0	0	175	0
Gm5165	58.333333	0	0	175	0
Zmym2	57.666667	0	0	173	0
Zfp663	57.666667	0	0	173	0
Zfp598	57.666667	0	0	173	0
Ypel1	57.666667	0	0	173	0
Vmn2r102	57.666667	0	0	173	0
Vangl1	57.666667	0	0	173	0
Tmem138	57.666667	0	0	173	0
Tdrkh	57.666667	0	0	173	0
Tcf3	57.666667	0	0	173	0
Sorbs1	57.666667	0	0	173	0
Rhobtb3	57.666667	0	0	173	0
Prl7a2	57.666667	0	0	173	0
Prkcsh	57.666667	0	0	173	0
Nsd3	57.666667	0	0	173	0
Mettl17	57.666667	0	0	173	0
Kcnj10	57.666667	0	0	173	0
Iqsec1	57.666667	0	0	173	0
Gsx1	57.666667	0	0	173	0
Galnt1	57.666667	0	0	173	0
Fam20a	57.666667	0	0	173	0
Dnah5	57.666667	0	0	173	0
Cyb561a3	57.666667	0	0	173	0
Cryzl2	57.666667	0	0	173	0
Chchd3	57.666667	0	0	173	0
Cep97	57.666667	0	0	173	0
Ccdc151	57.666667	0	0	173	0
Capns1	57.666667	0	0	173	0
Ankar	57.666667	0	0	173	0
Abcd4	57.666667	0	0	173	0
Tfap2c	57.333333	0	0	172	0
Pi4k2a	57.333333	0	0	172	0
Pde7a	57.333333	0	0	172	0
Morn4	57.333333	0	0	172	0
Klf3	57.333333	0	0	172	0
Acyp1	57.333333	0	0	172	0
Zfyve26	57.000000	0	0	171	0
Rad51b	57.000000	0	0	171	0
Helz	57.000000	0	0	171	0
Igsf9	56.666667	0	0	170	0
Sgce	56.000000	0	0	168	0
Peg10	56.000000	0	0	168	0
Rdm1	55.666667	0	0	167	0
Zfc3h1	55.333333	0	0	166	0
Thap2	55.333333	0	0	166	0
Klf7	55.333333	0	0	166	0
Kdm3a	55.333333	0	0	166	0
Foxb2	55.333333	0	0	166	0
Zfp617	54.666667	0	0	164	0
Txndc12	54.666667	0	0	164	0
Tsn	54.666667	0	0	164	0
Spink10	54.666667	0	0	164	0
Specc1l	54.666667	0	0	164	0
Serpinb2	54.666667	0	0	164	0
Scml4	54.666667	0	0	164	0
Rai1	54.666667	0	0	164	0
Plxna1	54.666667	0	0	164	0
Osbp	54.666667	0	0	164	0
Olfm3	54.666667	0	0	164	0
Nono	54.666667	0	0	164	0
Lmo2	54.666667	0	0	164	0
Lgr4	54.666667	0	0	164	0
Klhdc8b	54.666667	0	0	164	0
Insig1	54.666667	0	0	164	0
Inafm2	54.666667	0	0	164	0
Fbxo38	54.666667	0	0	164	0
Echs1	54.666667	0	0	164	0
Ebf1	54.666667	0	0	164	0
Cntn4	54.666667	0	0	164	0
Chst9	54.666667	0	0	164	0
Cd24a	54.666667	0	0	164	0
Ccdc71	54.666667	0	0	164	0
Btf3l4	54.666667	0	0	164	0
Arhgef10l	54.666667	0	0	164	0
Arhgap29	54.666667	0	0	164	0
Arf2	54.666667	0	0	164	0
Zfp608	54.333333	0	0	163	0
Rdx	54.333333	0	0	163	0
Proser1	54.333333	0	0	163	0
Prkacb	54.333333	0	0	163	0
Nhlrc3	54.333333	0	0	163	0
Mnt	54.333333	0	0	163	0
Eno1	54.333333	0	0	163	0
Adnp	54.333333	0	0	163	0
Zswim6	54.000000	0	0	162	0
Nkiras2	54.000000	0	0	162	0
Frem1	54.000000	0	0	162	0
Dnajc7	54.000000	0	0	162	0
Selenot	53.666667	0	0	161	0
Sybu	53.333333	0	0	160	0
Sash1	53.333333	0	0	160	0
Celf2	53.333333	0	0	160	0
Ccdc88c	53.333333	0	0	160	0
Atp1a1	53.333333	0	0	160	0
Nat8	53.000000	0	0	159	0
Ifna13	53.000000	0	0	159	0
Etv1	53.000000	0	0	159	0
Atxn1	53.000000	0	0	159	0
H4c12	52.666667	0	0	158	0
H2bc15	52.666667	0	0	158	0
H2ac15	52.666667	0	0	158	0
Nog	52.000000	0	0	156	0
Zzef1	51.666667	0	0	155	0
Zkscan1	51.666667	0	0	155	0
Zhx3	51.666667	0	0	155	0
Zfp661	51.666667	0	0	155	0
Zcwpw1	51.666667	0	0	155	0
Tmub2	51.666667	0	0	155	0
