Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Pinx1	78.500000	149	165	0	0	0
Wdr24	78.250000	0	179	0	134	0
Zdhhc6	77.750000	0	105	0	206	0
Vti1a	77.750000	0	105	0	206	0
Ints4	77.750000	0	311	0	0	0
Slc38a10	77.500000	123	187	0	0	0
Olfr362	77.250000	161	148	0	0	0
Thoc1	77.000000	93	215	0	0	0
Ccdc57	77.000000	147	161	0	0	0
Fgf4	76.750000	154	153	0	0	0
Kcnc3	76.500000	113	193	0	0	0
Clcn3	76.500000	193	113	0	0	0
Prkacb	75.500000	118	184	0	0	0
Orc2	75.500000	133	169	0	0	0
C87436	75.500000	137	165	0	0	0
Mrtfa	75.000000	110	190	0	0	0
Snrpb	74.500000	156	142	0	0	0
Cdc37	74.250000	133	164	0	0	0
Pusl1	74.000000	123	173	0	0	0
Acap3	74.000000	123	173	0	0	0
Odf2l	73.500000	152	142	0	0	0
Wdr73	73.000000	121	171	0	0	0
Tars2	73.000000	0	292	0	0	0
Ppp4c	73.000000	138	154	0	0	0
Pdrg1	73.000000	0	161	0	131	0
Nmb	73.000000	121	171	0	0	0
Rest	72.750000	149	142	0	0	0
E2f1	72.250000	156	133	0	0	0
Atp13a1	72.250000	155	134	0	0	0
Gpaa1	72.000000	131	157	0	0	0
Exosc4	72.000000	131	157	0	0	0
Dohh	71.750000	121	166	0	0	0
Dcaf10	71.500000	141	145	0	0	0
Cep192	71.500000	0	0	0	286	0
Bax	71.250000	137	148	0	0	0
Rbm27	71.000000	0	132	0	152	0
Patj	71.000000	0	284	0	0	0
Amn1	71.000000	103	181	0	0	0
Tmem68	70.750000	142	141	0	0	0
Tgs1	70.750000	142	141	0	0	0
Phkb	70.500000	172	110	0	0	0
Itfg1	70.500000	172	110	0	0	0
Hemk1	70.250000	136	145	0	0	0
6430571L13Rik	70.250000	136	145	0	0	0
Ankar	70.000000	0	0	0	280	0
Cacybp	69.750000	142	137	0	0	0
Zfp932	69.500000	123	155	0	0	0
Stxbp3	69.500000	168	110	0	0	0
Lss	69.500000	79	199	0	0	0
Btbd8	69.250000	175	102	0	0	0
Txnl1	68.250000	0	273	0	0	0
Tfpt	68.250000	138	135	0	0	0
Rbm6	68.250000	151	122	0	0	0
Prpf31	68.250000	138	135	0	0	0
Ddx27	67.750000	0	88	0	183	0
Zfp296	67.500000	0	115	0	155	0
Gm13889	67.500000	160	110	0	0	0
Gemin7	67.500000	0	115	0	155	0
Scamp2	67.250000	0	172	0	97	0
2410002F23Rik	67.250000	107	162	0	0	0
Efcab14	67.000000	114	154	0	0	0
Mrpl30	66.500000	125	141	0	0	0
Mitd1	66.500000	125	141	0	0	0
Tyw1	66.250000	150	115	0	0	0
Sbds	66.250000	150	115	0	0	0
Ubap2l	66.000000	94	170	0	0	0
4933434E20Rik	66.000000	94	170	0	0	0
N6amt1	65.750000	0	175	0	88	0
Dguok	65.500000	145	117	0	0	0
Ptrhd1	65.250000	112	149	0	0	0
Cenpo	65.250000	112	149	0	0	0
Vps26c	64.750000	113	146	0	0	0
Timm21	64.750000	102	157	0	0	0
Fbxo15	64.750000	102	157	0	0	0
Calcoco1	64.750000	162	97	0	0	0
Tmem250-ps	64.000000	103	153	0	0	0
Pdp1	63.750000	117	138	0	0	0
Dhrs7b	63.000000	0	80	0	172	0
Sp1	62.750000	95	156	0	0	0
Itsn2	62.750000	124	127	0	0	0
Nrde2	62.500000	92	158	0	0	0
Mettl1	62.500000	166	84	0	0	0
Hspbp1	62.500000	151	99	0	0	0
Eef1akmt3	62.500000	166	84	0	0	0
Mrpl20	62.250000	121	128	0	0	0
Chmp7	62.250000	125	124	0	0	0
Igsf9b	61.750000	0	147	0	100	0
Dazap2	61.500000	111	135	0	0	0
Clptm1l	61.000000	0	244	0	0	0
Ubiad1	60.250000	110	131	0	0	0
Tatdn3	60.250000	0	241	0	0	0
Nsl1	60.250000	0	241	0	0	0
Mtor	60.250000	110	131	0	0	0
Lsm1	59.750000	109	130	0	0	0
Bag4	59.750000	109	130	0	0	0
Abhd6	59.500000	0	0	0	238	0
St6galnac1	58.750000	0	119	116	0	0
Dnajc16	58.750000	0	235	0	0	0
Casp9	58.750000	0	235	0	0	0
Fbxw8	58.500000	0	234	0	0	0
Ccdc97	58.500000	136	98	0	0	0
Cse1l	58.250000	0	233	0	0	0
Cherp	58.250000	105	128	0	0	0
Fam167b	57.750000	0	231	0	0	0
Zfp335	57.500000	109	121	0	0	0
Tmem87a	57.500000	110	120	0	0	0
Ganc	57.500000	110	120	0	0	0
Coq10b	57.250000	0	127	0	102	0
Mrps9	57.000000	0	0	0	228	0
Srsf11	56.250000	112	113	0	0	0
Lrrc40	56.250000	112	113	0	0	0
Mterf4	56.000000	121	103	0	0	0
Ddx55	56.000000	0	0	0	224	0
Zfp64	55.750000	0	223	0	0	0
Rad51ap1	55.750000	108	115	0	0	0
Kpnb1	55.750000	0	223	0	0	0
D6Wsu163e	55.750000	108	115	0	0	0
Fahd2a	55.000000	220	0	0	0	0
Ybey	54.500000	0	218	0	0	0
Ttc3	54.500000	0	218	0	0	0
Senp2	54.500000	0	218	0	0	0
Pigp	54.500000	0	218	0	0	0
Mcm3ap	54.500000	0	218	0	0	0
Cyp4f16	54.500000	0	0	0	218	0
Smg9	54.250000	102	115	0	0	0
Nup133	54.250000	86	131	0	0	0
Ubr1	54.000000	0	216	0	0	0
Lipe	54.000000	0	216	0	0	0
Kctd1	54.000000	0	216	0	0	0
Asxl2	53.750000	0	215	0	0	0
Mthfd1l	53.500000	0	214	0	0	0
Tamm41	53.250000	0	213	0	0	0
Spg7	53.000000	212	0	0	0	0
Kin	53.000000	109	103	0	0	0
Atp5c1	53.000000	109	103	0	0	0
Rpl24	52.750000	0	211	0	0	0
Myo15b	52.750000	0	211	0	0	0
Nubp1	52.500000	84	126	0	0	0
Nmnat1	52.250000	0	209	0	0	0
Malt1	52.250000	0	0	0	209	0
Lzic	52.250000	0	209	0	0	0
Eprs	52.000000	0	208	0	0	0
Speer4e	51.750000	0	0	0	207	0
Dhx34	51.500000	0	206	0	0	0
Calr3	51.250000	0	0	0	205	0
1700030K09Rik	51.250000	0	0	0	205	0
Mrps31	50.750000	0	203	0	0	0
Dchs2	50.750000	0	0	0	203	0
Ints12	50.250000	0	201	0	0	0
Gstcd	50.250000	0	201	0	0	0
Gpatch8	50.250000	0	201	0	0	0
Xrcc2	50.000000	200	0	0	0	0
Gcnt2	50.000000	0	200	0	0	0
Slc33a1	49.750000	0	199	0	0	0
Prpf38b	49.750000	0	199	0	0	0
Kyat1	49.750000	0	199	0	0	0
Clec10a	49.750000	0	199	0	0	0
Zfp996	49.500000	0	198	0	0	0
Tmx3	49.250000	0	104	0	93	0
Slc35e1	49.250000	114	83	0	0	0
Mgst3	49.250000	121	76	0	0	0
Nf2	48.750000	90	105	0	0	0
Kpna6	48.250000	0	122	0	71	0
Ifnz	48.000000	0	192	0	0	0
Gm13290	48.000000	0	192	0	0	0
Gm13289	48.000000	0	192	0	0	0
Gm13285	48.000000	0	192	0	0	0
Gm13276	48.000000	0	192	0	0	0
Gm13272	48.000000	0	192	0	0	0
Tpm4	47.750000	0	83	0	108	0
Krt8	47.500000	190	0	0	0	0
Sdad1	47.250000	0	98	0	91	0
Rps9	47.250000	0	189	0	0	0
Pemt	47.250000	0	189	0	0	0
Wdr45b	47.000000	0	188	0	0	0
Ube2j2	46.500000	186	0	0	0	0
Psmb7	46.500000	0	104	0	82	0
Ubqln1	46.250000	93	92	0	0	0
Rbfa	46.000000	66	118	0	0	0
Ccdc66	45.750000	0	183	0	0	0
Ube3b	45.250000	0	181	0	0	0
Nr1h2	45.250000	0	181	0	0	0
Maged1	45.250000	0	181	0	0	0
Kxd1	45.250000	0	181	0	0	0
Kctd10	45.250000	0	181	0	0	0
Fkbp8	45.250000	0	181	0	0	0
Cwc25	45.000000	0	180	0	0	0
Sepsecs	44.750000	0	179	0	0	0
Gstm4	44.750000	0	179	0	0	0
Thumpd3	44.500000	0	178	0	0	0
Nup214	44.500000	0	178	0	0	0
Slc25a20	44.000000	0	176	0	0	0
Gpatch2l	43.750000	0	175	0	0	0
Ndufaf1	43.500000	0	174	0	0	0
H3f3c	43.500000	0	174	0	0	0
Slc31a1	43.250000	0	173	0	0	0
Pitx3	43.250000	0	173	0	0	0
Nudt9	43.250000	0	173	0	0	0
Gbf1	43.250000	0	173	0	0	0
Fkbp15	43.250000	0	173	0	0	0
Pdhb	43.000000	76	96	0	0	0
Stx7	42.750000	0	171	0	0	0
Nuf2	42.750000	0	171	0	0	0
Ndufs1	42.750000	0	171	0	0	0
Eef1b2	42.750000	0	171	0	0	0
Cr2	42.750000	0	171	0	0	0
Bcat2	42.750000	0	171	0	0	0
Tiprl	42.500000	0	170	0	0	0
Tfg	42.500000	0	170	0	0	0
Nek4	42.500000	0	170	0	0	0
Iqch	42.500000	0	170	0	0	0
Bag6	42.500000	0	0	0	170	0
Apom	42.500000	0	0	0	170	0
Aagab	42.500000	0	170	0	0	0
Tmed1	42.250000	0	169	0	0	0
Tma16	42.250000	0	169	0	0	0
Ywhaz	42.000000	0	168	0	0	0
Med17	42.000000	0	168	0	0	0
9230019H11Rik	41.750000	0	0	0	167	0
Snrnp200	41.500000	166	0	0	0	0
1810024B03Rik	41.500000	166	0	0	0	0
Rbm34	41.250000	0	165	0	0	0
Ptk2	41.250000	0	165	0	0	0
Ino80	41.250000	0	165	0	0	0
1700018B08Rik	41.000000	0	164	0	0	0
Zfp219	40.500000	0	162	0	0	0
Tmem253	40.500000	0	162	0	0	0
Thbs3	40.500000	0	162	0	0	0
Tcta	40.500000	0	162	0	0	0
Rhoa	40.500000	0	162	0	0	0
Mtx1	40.500000	0	162	0	0	0
Speer4f2	40.250000	0	0	0	161	0
Gtf2f2	40.250000	0	161	0	0	0
Baiap2l1	40.250000	0	161	0	0	0
Vps25	40.000000	0	160	0	0	0
Oard1	40.000000	0	160	0	0	0
Nfya	40.000000	0	160	0	0	0
Prxl2b	39.750000	0	159	0	0	0
Insig2	39.750000	0	159	0	0	0
Ikzf5	39.750000	0	159	0	0	0
Chrna10	39.750000	0	159	0	0	0
Acadsb	39.750000	0	159	0	0	0
Zmym4	39.500000	0	158	0	0	0
Tasor2	39.500000	0	158	0	0	0
Psme3	39.500000	0	0	0	158	0
Acbd6	39.500000	0	158	0	0	0
Tubgcp6	39.000000	0	156	0	0	0
Smad2	39.000000	0	0	0	156	0
Map2k2	39.000000	0	0	0	156	0
Bcas3	39.000000	0	0	0	156	0
Arf3	39.000000	0	156	0	0	0
Vmn2r102	38.750000	0	0	0	155	0
Tent2	38.750000	0	155	0	0	0
Strada	38.750000	0	155	0	0	0
Tfam	38.500000	0	154	0	0	0
Tcof1	38.500000	0	0	0	154	0
Lbhd1	38.500000	0	154	0	0	0
Ints5	38.500000	0	154	0	0	0
1810009A15Rik	38.500000	0	154	0	0	0
Tbcb	38.250000	0	153	0	0	0
Rab3d	38.250000	0	153	0	0	0
Polr2i	38.250000	0	153	0	0	0
Ovol3	38.250000	0	153	0	0	0
Zswim4	38.000000	0	152	0	0	0
Timm9	38.000000	0	152	0	0	0
2700049A03Rik	38.000000	0	152	0	0	0
Zfp11	37.750000	0	151	0	0	0
Vps45	37.750000	0	151	0	0	0
Slc35a4	37.750000	151	0	0	0	0
Apbb3	37.750000	151	0	0	0	0
1810030O07Rik	37.750000	0	151	0	0	0
Mcmdc2	37.500000	0	150	0	0	0
Krr1	37.500000	0	150	0	0	0
Erc1	37.500000	0	150	0	0	0
2310061I04Rik	37.500000	0	150	0	0	0
Zfp729a	37.250000	0	149	0	0	0
Sugct	37.250000	0	149	0	0	0
Mplkip	37.250000	0	149	0	0	0
Tep1	36.750000	0	147	0	0	0
Slc41a2	36.750000	0	0	0	147	0
Pde6d	36.750000	0	147	0	0	0
Mrps35	36.750000	0	0	0	147	0
Gmcl1	36.750000	0	0	0	147	0
Cops7b	36.750000	0	147	0	0	0
Virma	36.500000	0	146	0	0	0
Ppp1r8	36.500000	0	146	0	0	0
Naa35	36.500000	0	146	0	0	0
Mrps18c	36.500000	0	146	0	0	0
Helq	36.500000	0	146	0	0	0
Tmem123	36.250000	0	145	0	0	0
Snrpe	36.250000	0	145	0	0	0
Smc2	36.250000	0	145	0	0	0
Timm13	36.000000	0	144	0	0	0
Arhgef1	36.000000	0	144	0	0	0
Trmt2a	35.750000	0	143	0	0	0
Ranbp1	35.750000	0	143	0	0	0
Polr2f	35.750000	0	143	0	0	0
1700088E04Rik	35.750000	0	143	0	0	0
Telo2	35.500000	142	0	0	0	0
Phf12	35.500000	0	142	0	0	0
Mlxip	35.500000	0	142	0	0	0
Hmbs	35.500000	0	0	0	142	0
Snx32	35.250000	0	141	0	0	0
Rbsn	35.250000	0	141	0	0	0
Macrod2	35.250000	0	141	0	0	0
Fcgr3	35.250000	0	141	0	0	0
Wdr20rt	35.000000	0	140	0	0	0
Vps72	35.000000	140	0	0	0	0
Pip5k1a	35.000000	140	0	0	0	0
Naxe	35.000000	0	140	0	0	0
Chchd5	35.000000	0	140	0	0	0
Arf4	35.000000	0	140	0	0	0
Psma2	34.750000	0	0	0	139	0
Patz1	34.750000	0	139	0	0	0
Mrpl32	34.750000	0	0	0	139	0
Eif4e2	34.750000	0	139	0	0	0
Rpl7l1	34.500000	0	138	0	0	0
Wdr4	34.250000	0	137	0	0	0
Tmem205	34.250000	0	137	0	0	0
Ppfia1	34.250000	137	0	0	0	0
Pih1d2	34.250000	0	137	0	0	0
Otud6b	34.250000	0	137	0	0	0
Nkapd1	34.250000	0	137	0	0	0
Med26	34.250000	0	137	0	0	0
Gnl2	34.250000	0	0	0	137	0
Gm36712	34.250000	0	137	0	0	0
Cnot6	34.250000	0	137	0	0	0
Ccdc159	34.250000	0	137	0	0	0
Btbd6	34.250000	0	137	0	0	0
Rab33b	34.000000	0	136	0	0	0
Rwdd1	33.750000	0	135	0	0	0
Pcnx3	33.750000	135	0	0	0	0
Map3k11	33.750000	135	0	0	0	0
Fam104a	33.750000	0	135	0	0	0
D11Wsu47e	33.750000	0	135	0	0	0
Tmem186	33.500000	0	134	0	0	0
Prcc	33.500000	0	0	0	134	0
Pmm2	33.500000	0	134	0	0	0
Zc3h3	33.250000	0	133	0	0	0
Map3k14	33.250000	133	0	0	0	0
Trmt5	33.000000	0	132	0	0	0
Slc38a6	33.000000	0	132	0	0	0
Npm1	33.000000	0	132	0	0	0
Tekt5	32.750000	0	131	0	0	0
Stx12	32.750000	0	131	0	0	0
Rai1	32.750000	0	131	0	0	0
Ptgr1	32.750000	0	131	0	0	0
Otub1	32.750000	0	131	0	0	0
Osbpl6	32.750000	0	131	0	0	0
Ogfod2	32.750000	0	131	0	0	0
Fra10ac1	32.750000	0	131	0	0	0
Coq7	32.750000	0	131	0	0	0
Arl6ip4	32.750000	0	131	0	0	0
Hspa1b	32.500000	130	0	0	0	0
Yme1l1	32.250000	129	0	0	0	0
Sfswap	32.250000	0	129	0	0	0
Qrich1	32.250000	0	0	0	129	0
Mastl	32.250000	129	0	0	0	0
Ap3s2	32.250000	0	129	0	0	0
Mrpl42	32.000000	0	0	0	128	0
Endov	32.000000	0	128	0	0	0
Zfp668	31.750000	0	127	0	0	0
Zfp646	31.750000	0	127	0	0	0
C1d	31.750000	127	0	0	0	0
Tyw5	31.500000	0	126	0	0	0
Them4	31.500000	126	0	0	0	0
Tbrg4	31.500000	0	126	0	0	0
Tbce	31.500000	0	126	0	0	0
Serpini1	31.500000	0	0	0	126	0
Pradc1	31.500000	0	0	0	126	0
Pdcd10	31.500000	0	0	0	126	0
Maip1	31.500000	0	126	0	0	0
Lypla2	31.500000	0	126	0	0	0
Cct7	31.500000	0	0	0	126	0
Aox1	31.500000	126	0	0	0	0
Tmem95	31.250000	0	125	0	0	0
Supt7l	31.250000	125	0	0	0	0
Slc4a1ap	31.250000	125	0	0	0	0
Kctd11	31.250000	0	125	0	0	0
Kat8	31.250000	0	125	0	0	0
Zc3h10	31.000000	0	124	0	0	0
Rps19bp1	31.000000	0	124	0	0	0
Rpl41	31.000000	0	124	0	0	0
Rpl30	31.000000	0	0	0	124	0
Nup54	31.000000	0	124	0	0	0
Isca1	31.000000	0	124	0	0	0
2610044O15Rik8	31.000000	0	0	0	124	0
Zdhhc14	30.750000	0	0	0	123	0
Psmd8	30.750000	0	123	0	0	0
Mettl18	30.500000	0	0	0	122	0
Cyb5r3	30.500000	0	122	0	0	0
BC055324	30.500000	0	0	0	122	0
Zfp114	30.250000	0	121	0	0	0
Tbc1d19	30.250000	0	121	0	0	0
Snx1	30.250000	0	121	0	0	0
Rfxank	30.250000	0	121	0	0	0
Myg1	30.250000	0	121	0	0	0
Gm45929	30.250000	0	121	0	0	0
Ciao2a	30.250000	0	121	0	0	0
Borcs8	30.250000	0	121	0	0	0
Tut1	30.000000	0	120	0	0	0
Luc7l	30.000000	0	120	0	0	0
Csf3	30.000000	0	0	0	120	0
Atg16l1	30.000000	0	120	0	0	0
Thada	29.750000	0	0	0	119	0
Shc1	29.750000	0	0	0	119	0
Kif16b	29.750000	0	119	0	0	0
Cks1b	29.750000	0	0	0	119	0
Hnrnpa1	29.500000	0	118	0	0	0
Dctn4	29.500000	118	0	0	0	0
Cbx5	29.500000	0	118	0	0	0
Lsm12	29.250000	0	117	0	0	0
G6pc3	29.250000	0	117	0	0	0
Arfgap3	29.250000	0	117	0	0	0
Ube2d2b	29.000000	0	116	0	0	0
Pde12	29.000000	0	116	0	0	0
Cdk10	29.000000	116	0	0	0	0
Rpl37	28.750000	0	115	0	0	0
Psmc2	28.750000	0	115	0	0	0
Gosr2	28.750000	0	115	0	0	0
Dnajc2	28.750000	0	115	0	0	0
Ankrd13c	28.750000	0	115	0	0	0
Spem2	28.500000	0	114	0	0	0
Spem1	28.500000	0	114	0	0	0
Nphp4	28.500000	0	114	0	0	0
Kcnab2	28.500000	0	114	0	0	0
Gm39566	28.500000	0	114	0	0	0
Zfp433	28.250000	113	0	0	0	0
Tsnax	28.250000	0	113	0	0	0
Riok1	28.250000	0	113	0	0	0
Pus10	28.250000	0	113	0	0	0
Gm32687	28.250000	113	0	0	0	0
Gins3	28.250000	0	113	0	0	0
Fbxo22	28.250000	0	113	0	0	0
Cftr	28.250000	0	113	0	0	0
Cdk11b	28.250000	0	113	0	0	0
Cage1	28.250000	0	113	0	0	0
Fkbp11	28.000000	112	0	0	0	0
Elp1	28.000000	0	112	0	0	0
Abitram	28.000000	0	112	0	0	0
Smndc1	27.750000	0	0	0	111	0
Zzz3	27.500000	0	110	0	0	0
Abhd18	27.500000	0	110	0	0	0
Fancl	27.000000	0	108	0	0	0
Tomm7	26.750000	0	107	0	0	0
Stx5a	26.750000	107	0	0	0	0
Eif4enif1	26.750000	0	0	0	107	0
1700092M07Rik	26.750000	107	0	0	0	0
Dhx15	26.500000	106	0	0	0	0
Zfp120	26.250000	0	105	0	0	0
Zfp660	26.000000	0	0	0	104	0
Zfp619	26.000000	0	104	0	0	0
Troap	26.000000	104	0	0	0	0
Nol7	26.000000	0	0	0	104	0
Galnt6	26.000000	104	0	0	0	0
Pfdn2	25.750000	0	103	0	0	0
Pcnp	25.750000	0	103	0	0	0
Nit1	25.750000	0	103	0	0	0
Mga	25.750000	0	103	0	0	0
Larp4b	25.750000	0	103	0	0	0
Gspt1	25.750000	0	103	0	0	0
Gorab	25.750000	0	103	0	0	0
Coil	25.750000	0	0	0	103	0
Zc3h4	25.500000	0	102	0	0	0
Usp39	25.500000	0	102	0	0	0
Tnfaip1	25.500000	0	102	0	0	0
Rbck1	25.500000	0	102	0	0	0
Ift27	25.500000	0	102	0	0	0
Ift20	25.500000	0	102	0	0	0
0610030E20Rik	25.500000	0	102	0	0	0
Nme3	25.250000	101	0	0	0	0
Mrps34	25.250000	101	0	0	0	0
Mphosph9	25.250000	101	0	0	0	0
Gm51573	25.250000	0	0	101	0	0
Eme2	25.250000	101	0	0	0	0
Chchd3	25.250000	0	0	0	101	0
Akap8	25.250000	0	101	0	0	0
2810006K23Rik	25.250000	101	0	0	0	0
Prr3	25.000000	0	100	0	0	0
Pogz	25.000000	0	100	0	0	0
Hsd3b5	25.000000	0	100	0	0	0
Gnl1	25.000000	0	100	0	0	0
Alg14	25.000000	100	0	0	0	0
Ruvbl2	24.750000	99	0	0	0	0
Gys1	24.750000	99	0	0	0	0
Zfp955b	24.500000	0	0	0	98	0
Tmem11	24.500000	0	0	0	98	0
Sugp2	24.500000	0	98	0	0	0
Mfn2	24.500000	0	98	0	0	0
Cspp1	24.500000	0	98	0	0	0
Cops5	24.500000	0	98	0	0	0
Armc6	24.500000	0	98	0	0	0
Celf5	24.250000	0	97	0	0	0
1110004F10Rik	24.000000	0	96	0	0	0
Rnase11	23.750000	95	0	0	0	0
Mfsd7a	23.750000	0	0	0	95	0
Eif1ad	23.750000	0	0	0	95	0
Banf1	23.750000	0	0	0	95	0
Naxd	23.500000	0	94	0	0	0
Med15	23.500000	94	0	0	0	0
Exoc1	23.500000	0	94	0	0	0
Zfp3	23.250000	0	93	0	0	0
Ndufv1	23.250000	0	93	0	0	0
Tmem234	23.000000	0	92	0	0	0
Rbx1	23.000000	0	92	0	0	0
Eif3i	23.000000	0	92	0	0	0
Cct4	23.000000	0	92	0	0	0
Slc35a2	22.750000	91	0	0	0	0
Fgfbp3	22.750000	0	0	0	91	0
Plpbp	22.500000	0	90	0	0	0
Nup107	22.500000	0	90	0	0	0
Rexo4	22.250000	0	89	0	0	0
Qrsl1	22.250000	0	0	0	89	0
Mcrip2	22.250000	0	0	0	89	0
Dhx33	22.250000	0	89	0	0	0
Srrm1	22.000000	0	0	0	88	0
Prr5l	22.000000	0	88	0	0	0
Lysmd4	22.000000	0	0	0	88	0
Avl9	22.000000	0	0	0	88	0
Apc	22.000000	0	88	0	0	0
Trappc12	21.750000	0	0	0	87	0
Smarce1	21.750000	0	0	0	87	0
Eipr1	21.750000	0	0	0	87	0
Cdk8	21.750000	87	0	0	0	0
Acot7	21.750000	0	0	0	87	0
Zswim8	21.500000	0	0	0	86	0
Mpzl3	21.500000	0	86	0	0	0
Chchd1	21.500000	0	0	0	86	0
Tst	21.250000	0	85	0	0	0
Mpst	21.250000	0	85	0	0	0
H1f2	21.250000	0	85	0	0	0
Txndc9	21.000000	0	84	0	0	0
Eif5b	21.000000	0	84	0	0	0
Wdr35	20.750000	0	0	0	83	0
Ubxn6	20.750000	83	0	0	0	0
Tpp2	20.750000	0	83	0	0	0
Mtf2	20.750000	0	0	0	83	0
Hdgfl2	20.750000	83	0	0	0	0
Ddx41	20.750000	0	83	0	0	0
Ccdc91	20.750000	0	83	0	0	0
Khsrp	20.500000	82	0	0	0	0
Rsl1d1	20.250000	0	0	0	81	0
Rpgrip1l	20.250000	0	0	0	81	0
Fto	20.250000	0	0	0	81	0
Cct2	20.250000	0	0	0	81	0
Sun1	20.000000	80	0	0	0	0
Rps7	20.000000	0	80	0	0	0
Taf3	19.500000	0	78	0	0	0
Ublcp1	19.250000	0	77	0	0	0
Psmc1	19.250000	0	77	0	0	0
Myo9b	19.250000	0	77	0	0	0
Haus8	19.250000	0	77	0	0	0
Cybc1	19.250000	0	0	0	77	0
Cnpy2	19.250000	0	0	0	77	0
Mrpl22	19.000000	0	76	0	0	0
Gemin5	19.000000	0	76	0	0	0
Stat3	18.750000	0	75	0	0	0
Clhc1	18.750000	0	75	0	0	0
Ankfy1	18.500000	0	74	0	0	0
Tmem185a	18.000000	0	0	0	72	0
Pop7	18.000000	0	72	0	0	0
Plxnb2	18.000000	0	0	0	72	0
Trim26	17.250000	0	0	0	69	0
Cyc1	16.000000	0	0	0	64	0
Pfdn1	14.750000	0	0	0	59	0
