Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Rsu1	1648.250000	2935	2917	0	741	0
Ndufb5	1646.250000	2652	2563	0	1370	0
Mrpl47	1646.250000	2652	2563	0	1370	0
Mfsd13a	1646.250000	3008	2859	0	718	0
Dpagt1	1642.750000	2649	2499	0	1423	0
Unc50	1638.750000	2835	2976	0	744	0
Coa5	1638.750000	2835	2976	0	744	0
Coq9	1635.750000	2671	2933	0	939	0
Ciapin1	1635.750000	2671	2933	0	939	0
Cldn34d	1633.250000	1577	1581	1902	1473	0
Tmed10	1632.750000	2774	2678	0	1079	0
Racgap1	1631.750000	2866	2830	0	831	0
Zfp182	1629.250000	2847	3163	0	507	0
Diaph1	1628.750000	2868	2979	0	668	0
Slc39a9	1628.250000	2731	2614	0	1168	0
Erh	1628.250000	2731	2614	0	1168	0
Naa60	1626.750000	2746	2630	0	1131	0
Wdr46	1622.500000	2709	2608	0	1173	0
Pfdn6	1622.500000	2709	2608	0	1173	0
Cpeb4	1622.500000	2720	2628	0	1142	0
Ppp1r35	1622.000000	2729	2867	0	892	0
Angel2	1620.250000	2972	3045	0	464	0
Zfp868	1617.500000	2630	2687	0	1153	0
Prpsap1	1616.500000	2668	2555	0	1243	0
Rpa2	1612.750000	2631	2544	0	1276	0
Timm10b	1612.250000	2679	2817	0	953	0
Arfip2	1612.250000	2679	2817	0	953	0
Miga1	1612.000000	2826	2729	0	893	0
Dnlz	1610.750000	2733	2661	0	1049	0
Cradd	1606.750000	2621	2428	0	1378	0
Wdr75	1606.000000	2695	2645	0	1084	0
Ttll11	1603.750000	2925	2831	0	659	0
Zfp715	1603.250000	3004	2956	0	453	0
Chmp2b	1601.500000	2921	2823	0	662	0
Slc5a6	1600.000000	2640	2546	0	1214	0
Atraid	1600.000000	2640	2546	0	1214	0
Rcan1	1598.500000	2605	2534	0	1255	0
Srek1	1596.750000	2802	2675	0	910	0
Rab1a	1594.500000	2809	2856	0	713	0
Ncdn	1594.500000	2618	2497	0	1263	0
AU040320	1594.500000	2618	2497	0	1263	0
Zmat2	1592.000000	2844	2651	248	625	0
Phb2	1591.750000	2809	2861	0	697	0
Emg1	1591.750000	2809	2861	0	697	0
Deptor	1590.000000	2701	2573	0	1086	0
Ehd3	1589.750000	2951	2837	0	571	0
Pnisr	1589.250000	2622	2512	0	1223	0
Arid3b	1588.750000	2743	2811	0	801	0
Txnl4b	1587.500000	2696	2586	0	1068	0
Dhx38	1587.500000	2696	2586	0	1068	0
Tmem131	1586.250000	2609	2522	0	1214	0
Rapgef1	1586.250000	2660	2793	0	892	0
Rrm1	1586.000000	2791	2627	0	926	0
Mis12	1584.500000	2889	2752	0	697	0
Derl2	1584.500000	2889	2752	0	697	0
A430005L14Rik	1584.000000	2958	2907	0	471	0
Fbrs	1583.000000	2807	2990	0	535	0
Scyl3	1582.000000	2645	2588	0	1095	0
Sdf4	1580.500000	2638	2534	0	1150	0
B3galt6	1580.500000	2638	2534	0	1150	0
BC052040	1579.500000	2680	2646	0	992	0
Wdr34	1576.750000	2643	2611	0	1053	0
Fig4	1576.750000	2716	2558	0	1033	0
Ak9	1576.750000	2716	2558	0	1033	0
Icmt	1576.250000	2944	2973	0	388	0
Ech1	1576.250000	2761	2584	0	960	0
B4galt3	1573.750000	2719	2675	0	901	0
Tcstv3	1572.000000	1760	1925	1863	740	0
Ccdc142	1570.000000	2747	2681	0	852	0
Vps35l	1567.750000	2882	2891	0	498	0
Prepl	1564.750000	2588	2511	0	1160	0
Camkmt	1564.750000	2588	2511	0	1160	0
Ppp1r12b	1563.750000	2710	2930	0	615	0
Pik3c3	1563.750000	2819	2770	0	666	0
Eapp	1562.000000	2648	2692	0	908	0
Zfp719	1561.500000	2900	2915	0	431	0
Lyrm7	1561.250000	2732	2690	0	823	0
Wdr53	1555.000000	2514	2858	0	848	0
Fbxo45	1555.000000	2514	2858	0	848	0
Cdc45	1554.500000	2613	2473	0	1132	0
Psmb5	1552.250000	2517	2444	0	1248	0
Zfp740	1549.750000	2795	2665	0	739	0
Prrt2	1549.750000	2965	2831	0	403	0
Pagr1a	1549.750000	2965	2831	0	403	0
Mvp	1549.750000	2965	2831	0	403	0
Csad	1549.750000	2795	2665	0	739	0
Kat7	1545.750000	2553	2359	0	1271	0
Caml	1542.750000	2656	2507	0	1008	0
Manf	1540.250000	2597	2572	0	992	0
Tmem17	1537.000000	2507	2630	0	1011	0
Lsm5	1536.500000	2735	2967	0	444	0
Cog6	1535.750000	2974	2838	0	331	0
Prr14	1535.500000	2472	2566	0	1104	0
Thap1	1528.250000	2577	2540	0	996	0
Preb	1527.000000	2721	2879	0	508	0
Kptn	1526.000000	2608	2759	0	737	0
Mfn1	1525.250000	2719	2662	0	720	0
Cops6	1525.000000	2805	2792	0	503	0
Sirt2	1519.250000	2704	2775	0	598	0
Nfkbib	1519.250000	2704	2775	0	598	0
Septin7	1517.500000	2540	2521	0	1009	0
Mpc2	1517.250000	2427	2371	0	1271	0
Dcaf6	1517.250000	2427	2371	0	1271	0
Nagk	1514.750000	2809	2853	0	397	0
Slmap	1513.500000	2545	2417	0	1092	0
Wdr3	1513.250000	2569	2706	0	778	0
Khdc4	1512.750000	2701	2679	0	671	0
Ppil3	1510.750000	2586	2611	0	846	0
Nif3l1	1510.750000	2586	2611	0	846	0
Prorp	1510.250000	2585	2427	0	1029	0
Gins1	1505.500000	2639	2699	0	684	0
Shld1	1503.500000	2691	2544	0	779	0
Pla2g6	1503.000000	2727	2766	0	519	0
