Target_genes	Tfap4|Average	SRX554972|CD8+_T_cells	SRX1726746|Germinal_Center	SRX1726747|Germinal_Center	STRING
Ifi47	824.666667	2136	0	338	0
Azin1	823.666667	1433	345	693	0
Ermard	823.000000	345	919	1205	0
Aldoa	822.333333	1946	197	324	0
Mrps31	822.000000	2062	149	255	0
Hsd11b1	820.666667	2462	0	0	0
Pde8a	818.333333	1627	332	496	0
Zfp3	816.333333	1585	371	493	0
Tspan14	816.333333	1744	366	339	0
Tatdn2	816.333333	1263	464	722	0
Manba	815.333333	1946	230	270	0
Mrps16	814.000000	1478	414	550	0
Dnajc9	814.000000	1478	414	550	0
Cbx5	812.666667	2260	0	178	0
Ikzf5	812.333333	1059	551	827	0
Acadsb	812.333333	1059	551	827	0
Snx17	810.666667	776	679	977	0
Eif2b4	810.666667	776	679	977	0
Pitx3	810.000000	1666	278	486	0
Gbf1	810.000000	1666	278	486	0
U2surp	809.000000	1516	367	544	0
Akap1	808.333333	1653	179	593	0
Kiz	807.000000	1388	472	561	0
Vps37a	806.333333	1323	478	618	0
Cnot7	806.333333	1323	478	618	0
Pxk	806.000000	1060	470	888	0
Ncapg2	803.000000	1428	439	542	0
Dop1b	803.000000	833	752	824	0
Anapc5	803.000000	1493	291	625	0
Mynn	802.666667	2149	112	147	0
Actrt3	802.666667	2149	112	147	0
Dennd10	802.333333	1752	339	316	0
Arhgap45	799.333333	2087	128	183	0
Fam107b	799.000000	1979	208	210	0
Cmtm7	799.000000	1660	203	534	0
Palld	798.333333	2395	0	0	0
Lgr6	797.000000	1912	0	479	0
Poc1a	796.333333	1748	231	410	0
Cdkl2	795.666667	1645	285	457	0
Dhx16	795.000000	1883	285	217	0
Pex19	794.666667	1798	341	245	0
Sp2	794.000000	1527	371	484	0
N4bp2	793.666667	1462	324	595	0
Rrm2	791.000000	1677	290	406	0
Tspan4	790.333333	1237	554	580	0
Polr2l	790.333333	1237	554	580	0
Gm3435	790.000000	408	842	1120	0
Stat3	788.000000	1211	429	724	0
Ubap2	787.333333	1612	347	403	0
Tmub1	787.333333	1271	336	755	0
Fastk	787.333333	1271	336	755	0
Chmp4b	787.333333	695	572	1095	0
Agap3	787.333333	1271	336	755	0
Atad2	787.000000	945	599	817	0
Actr3	786.666667	1218	551	591	0
Rsph3b	785.333333	1809	220	327	0
Ccdc166	785.000000	2002	0	353	0
Mef2d	783.666667	1618	334	399	0
Sdhb	782.666667	1652	174	522	0
Ddah2	782.666667	1599	173	576	0
Srp54c	782.333333	1556	280	511	0
Srp54b	782.333333	1556	280	511	0
Dnajc8	778.666667	1346	344	646	0
Atpif1	778.666667	1346	344	646	0
Scrib	777.666667	855	645	833	0
Mafk	775.333333	899	644	783	0
Snx32	774.666667	1940	178	206	0
Psd	770.333333	1566	280	465	0
Fbxl15	770.333333	1566	280	465	0
Zfp622	769.000000	1764	227	316	0
Nfyb	768.000000	452	832	1020	0
Nsfl1c	766.666667	855	441	1004	0
Bnip3l	766.666667	1446	355	499	0
Pfn3	766.333333	2075	0	224	0
Ranbp3	765.666667	1510	328	459	0
Nup133	765.000000	1056	508	731	0
AW549877	764.333333	1521	308	464	0
Raf1	762.333333	1299	395	593	0
Ap1g1	762.333333	1069	607	611	0
Ap3m2	762.000000	2036	96	154	0
Mto1	761.000000	1565	241	477	0
Cgas	761.000000	1565	241	477	0
Sympk	760.666667	293	810	1179	0
Polr3g	760.666667	1430	382	470	0
Mblac2	760.666667	1430	382	470	0
Foxa3	760.666667	293	810	1179	0
Npat	760.000000	1672	152	456	0
Castor2	760.000000	1730	130	420	0
Atm	760.000000	1672	152	456	0
H4c14	759.666667	1980	105	194	0
9030025P20Rik	755.666667	385	877	1005	0
Ubtd1	755.333333	1401	334	531	0
Mms19	755.333333	1401	334	531	0
Tedc1	755.000000	1220	244	801	0
Crip1	755.000000	1220	244	801	0
Abcf1	755.000000	1512	254	499	0
Ndufs5	753.666667	1770	194	297	0
Zfp639	752.666667	1452	396	410	0
Cdkn2aipnl	751.333333	864	651	739	0
Galk1	750.666667	1379	326	547	0
Ccnt2	750.666667	908	535	809	0
Hmgn2	750.333333	1492	281	478	0
Mapk6	750.000000	1122	483	645	0
Zfp655	749.333333	1789	146	313	0
Rnf7	748.666667	788	458	1000	0
Nanos1	747.666667	1391	184	668	0
Ankrd24	747.666667	1651	308	284	0
Dnajc1	746.666667	1545	174	521	0
Chac1	746.000000	2090	0	148	0
Idh3a	745.666667	1325	333	579	0
Emsy	745.666667	2029	0	208	0
Stard5	745.333333	1583	223	430	0
Ifit3b	745.333333	1840	251	145	0
Wdr47	745.000000	1395	278	562	0
Serinc5	745.000000	1116	537	582	0
Erlin2	744.333333	466	816	951	0
Pcgf5	744.000000	1533	249	450	0
Lrp11	743.333333	943	566	721	0
Yars	743.000000	991	395	843	0
S100pbp	743.000000	991	395	843	0
Gab3	743.000000	1174	439	616	0
Asah1	742.333333	1109	410	708	0
Kif16b	741.666667	1137	409	679	0
Atp6v0a1	740.666667	1850	111	261	0
Ptk2	740.333333	1460	335	426	0
Ubfd1	739.666667	1456	310	453	0
Ears2	739.666667	1456	310	453	0
Parp4	739.000000	1281	412	524	0
Cenpj	739.000000	1281	412	524	0
Mtf2	738.666667	565	750	901	0
Czib	738.333333	1640	233	342	0
Irak1bp1	738.000000	1620	102	492	0
Asnsd1	735.666667	1745	154	308	0
Asdurf	735.666667	1745	154	308	0
Tpm4	734.666667	1194	355	655	0
Akap10	734.666667	1173	435	596	0
Vti1b	734.333333	1620	267	316	0
Gorasp2	734.000000	570	665	967	0
Ddost	733.333333	731	685	784	0
Ctf1	732.666667	1626	230	342	0
Bcl7c	732.666667	1626	230	342	0
Myod1	731.666667	2195	0	0	0
Glipr2	731.666667	1761	126	308	0
Cep68	731.000000	1591	347	255	0
Ctnnb1	730.666667	428	902	862	0
Wdr90	730.333333	1533	178	480	0
Rrbp1	730.333333	1493	289	409	0
Pcnx3	730.333333	1769	0	422	0
Map3k11	730.333333	1769	0	422	0
Arl6ip5	730.333333	1255	375	561	0
Ppat	728.666667	1307	388	491	0
Paics	728.666667	1307	388	491	0
Nbeal1	728.000000	1494	345	345	0
Snap47	727.666667	1403	288	492	0
Jmjd4	727.666667	1403	288	492	0
Ppp4r2	727.333333	1075	319	788	0
Supt4a	725.333333	835	646	695	0
Tmem165	724.333333	1563	327	283	0
Surf4	724.000000	1245	395	532	0
Stkld1	724.000000	1245	395	532	0
Crebl2	723.333333	662	704	804	0
Wrnip1	722.666667	1282	414	472	0
Vps52	722.000000	1576	128	462	0
Rps18	722.000000	1576	128	462	0
B3galt4	722.000000	1576	128	462	0
Pdik1l	721.333333	805	587	772	0
Rara	721.000000	1708	192	263	0
Fitm2	721.000000	779	739	645	0
Mcoln1	720.666667	1482	355	325	0
Lsm5	720.333333	1400	206	555	0
Bcl10	720.000000	1548	225	387	0
Sec61a1	719.666667	626	781	752	0
Dnajb5	719.000000	1501	244	412	0
Srp54a	718.333333	1643	178	334	0
Ulk3	717.666667	941	426	786	0
Zbtb2	717.000000	952	433	766	0
Sspn	717.000000	809	521	821	0
Ndufv2	717.000000	1151	315	685	0
Bcl2l11	717.000000	1395	298	458	0
Borcs6	716.333333	1160	301	688	0
Pacc1	715.333333	1407	267	472	0
Herpud2	715.000000	1358	358	429	0
Rbfa	714.666667	338	865	941	0
Bud13	714.000000	1206	428	508	0
Wdyhv1	713.333333	1792	160	188	0
Reep5	713.000000	1360	223	556	0
Acat1	712.000000	1774	134	228	0
Tpmt	711.666667	1109	480	546	0
Kdm1b	711.666667	1109	480	546	0
Fra10ac1	711.333333	1051	503	580	0
Nrbp1	708.333333	1368	420	337	0
Desi2	706.000000	1515	237	366	0
Cic	704.333333	1549	227	337	0
Bach1	704.333333	1374	278	461	0
Zmat3	703.666667	1631	228	252	0
Gtdc1	702.666667	934	362	812	0
Serpinb6a	702.000000	1549	289	268	0
Ripk1	702.000000	1549	289	268	0
Iqch	702.000000	932	386	788	0
Aagab	702.000000	932	386	788	0
Trmt112	701.666667	1602	153	350	0
Prdx5	701.666667	1602	153	350	0
Ptpn23	701.333333	1302	281	521	0
Phf13	701.333333	972	416	716	0
Isca1	701.333333	1767	168	169	0
Elf4	701.000000	2011	0	92	0
Rabl6	700.666667	1137	338	627	0
Pip4k2c	698.666667	1062	436	598	0
Tmem262	698.000000	1119	339	636	0
Cox5a	697.333333	670	574	848	0
Safb2	696.666667	1480	268	342	0
Safb	696.666667	1480	268	342	0
Ppp1r18	696.666667	1329	265	496	0
Nrm	696.666667	1329	265	496	0
Sytl1	696.000000	2088	0	0	0
Stau1	695.666667	746	539	802	0
Ppp1ccb	695.333333	161	898	1027	0
Ppp1cc	695.333333	161	898	1027	0
Ncbp2	694.666667	963	528	593	0
0610012G03Rik	694.666667	963	528	593	0
Hpf1	694.333333	1290	427	366	0
Vps26c	693.666667	1211	416	454	0
Sertad2	693.666667	1244	331	506	0
Abcc10	693.666667	1621	207	253	0
Clptm1	693.333333	605	722	753	0
Rcsd1	691.666667	1217	205	653	0
Psap	689.333333	1530	164	374	0
Hspa12a	689.000000	1393	291	383	0
Eno4	689.000000	1393	291	383	0
Tmem140	688.333333	2065	0	0	0
Uba3	688.000000	1255	248	561	0
Ccdc65	687.000000	1716	201	144	0
Mrps35	686.666667	1124	265	671	0
Atp6v1c1	686.333333	1277	250	532	0
Opa1	684.000000	713	432	907	0
Haspin	684.000000	606	615	831	0
Eps15	684.000000	329	787	936	0
Churc1	684.000000	1591	136	325	0
Neu1	683.666667	1530	184	337	0
Mad2l2	683.333333	1808	0	242	0
Abracl	683.333333	1751	0	299	0
Trappc1	683.000000	1302	260	487	0
Kcnab3	683.000000	1302	260	487	0
Cntrob	683.000000	1302	260	487	0
Vgf	682.666667	1285	328	435	0
Ncbp3	682.666667	1133	429	486	0
Ube3c	681.333333	539	471	1034	0
Yme1l1	680.666667	1187	297	558	0
Mastl	680.666667	1187	297	558	0
Zbtb32	679.333333	640	548	850	0
Tubb4b	679.333333	1613	138	287	0
Kmt2b	679.333333	640	548	850	0
Pik3r3	678.666667	1482	260	294	0
Triap1	678.333333	784	452	799	0
Gatc	678.333333	784	452	799	0
Tnfaip8	677.666667	1095	362	576	0
Dnlz	677.333333	1233	288	511	0
Ndrg3	677.000000	879	593	559	0
Scaf1	676.333333	973	473	583	0
Rras	676.333333	973	473	583	0
Faap100	676.333333	232	894	903	0
Rpl27	676.000000	590	685	753	0
Barhl1	676.000000	1186	287	555	0
Insig2	675.000000	1719	188	118	0
Hexa	675.000000	1498	104	423	0
Fbxw7	675.000000	503	596	926	0
Kremen1	674.333333	440	598	985	0
Trib2	674.000000	1450	270	302	0
Ube2d3	673.666667	1194	386	441	0
R3hcc1l	673.666667	561	576	884	0
Pla2g15	673.666667	1296	262	463	0
Zfp41	673.333333	270	644	1106	0
Rpusd4	672.333333	1531	150	336	0
Pitpnm1	672.333333	1540	212	265	0
Fam118b	672.333333	1531	150	336	0
Cdk2ap2	672.333333	1540	212	265	0
Cenpu	672.000000	666	687	663	0
L3mbtl2	671.666667	1376	247	392	0
Slc39a13	669.333333	1016	448	544	0
Ddit4	669.000000	1597	121	289	0
Prkcd	668.333333	1449	242	314	0
Srsf11	668.000000	1308	274	422	0
Lrrc40	668.000000	1308	274	422	0
Syap1	667.333333	1486	189	327	0
Ripk2	666.666667	984	540	476	0
Klf16	666.666667	825	548	627	0
Btg1	665.666667	1508	145	344	0
Rab22a	664.666667	1083	435	476	0
Txndc16	664.000000	1319	209	464	0
Gpr137c	664.000000	1319	209	464	0
Usp28	663.000000	1192	343	454	0
Nfkbia	662.333333	1575	165	247	0
B3gnt2	662.333333	1497	152	338	0
Nr1d1	662.000000	1580	190	216	0
Lamtor3	661.333333	955	446	583	0
Psmb2	661.000000	552	641	790	0
Ippk	660.666667	1148	332	502	0
Spef2	660.000000	1980	0	0	0
Larp4	659.666667	922	474	583	0
Caap1	659.666667	1056	328	595	0
Phf20	659.333333	1486	175	317	0
Rreb1	659.000000	1296	161	520	0
Pcx	658.666667	1384	139	453	0
Ormdl3	658.000000	1137	320	517	0
Mtres1	658.000000	568	600	806	0
Pik3r1	657.666667	1145	324	504	0
Mrpl23	657.666667	1472	290	211	0
Nfat5	653.666667	694	550	717	0
5031439G07Rik	653.666667	1219	302	440	0
Gpr132	653.000000	1710	0	249	0
Mafb	651.666667	1357	265	333	0
Tymp	651.333333	1206	298	450	0
Sco2	651.333333	1206	298	450	0
Kcnk5	651.333333	1594	159	201	0
Ggnbp2	651.333333	1470	214	270	0
Fank1	651.000000	870	330	753	0
Dhx32	651.000000	870	330	753	0
Gale	650.666667	559	646	747	0
Rhot1	649.666667	452	649	848	0
Phf23	649.333333	1130	373	445	0
Dvl2	649.333333	1130	373	445	0
Polr3e	648.666667	1362	243	341	0
Tent5b	647.666667	1646	166	131	0
Med9	647.666667	1064	364	515	0
Tnf	646.666667	1268	185	487	0
Disp2	646.666667	1546	0	394	0
Pet117	645.000000	1309	148	478	0
Kat14	645.000000	1309	148	478	0
App	645.000000	1381	138	416	0
Klf2	644.666667	1568	168	198	0
Slf2	644.000000	1083	204	645	0
Cc2d1b	644.000000	877	427	628	0
Surf6	643.666667	1315	399	217	0
Syvn1	642.666667	1626	72	230	0
Rab5b	642.333333	1331	235	361	0
C9orf72	641.666667	880	445	600	0
Zc3h12a	641.333333	1218	229	477	0
Pwwp3a	641.333333	1021	380	523	0
Ublcp1	641.000000	894	495	534	0
Angel1	641.000000	546	672	705	0
Dlgap4	640.000000	1514	154	252	0
