Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Togaram1	189.125000	0	0	0	0	767	746	0	0	0
Klhl28	189.125000	0	0	0	0	767	746	0	0	0
Adat1	188.625000	0	0	0	0	866	643	0	0	0
Jph3	188.250000	0	0	0	0	707	799	0	0	0
Rarg	186.875000	0	0	0	0	794	701	0	0	0
Os9	186.375000	0	0	0	0	738	753	0	0	0
Scaf8	185.875000	0	0	0	0	745	742	0	0	0
Mgat4d	185.875000	0	0	0	0	834	653	0	0	0
Polr2c	184.625000	0	0	0	0	898	579	0	0	0
Rpl37	184.500000	0	0	0	0	737	739	0	0	0
S100a3	183.000000	0	0	0	0	877	587	0	0	0
Daam1	182.250000	0	0	0	0	731	727	0	0	0
1700012B09Rik	181.875000	0	0	0	0	943	512	0	0	0
Lpcat2	181.500000	0	0	0	0	746	706	0	0	0
Slc31a1	180.750000	0	0	0	0	742	704	0	0	0
Fkbp15	180.750000	0	0	0	0	742	704	0	0	0
Cabp2	180.375000	0	0	0	0	743	700	0	0	0
Lgalsl	180.125000	0	0	0	0	708	733	0	0	0
Ninl	179.500000	0	0	0	0	681	755	0	0	0
Tapbpl	179.250000	0	0	0	0	757	677	0	0	0
Tmem9b	178.625000	0	0	0	0	635	794	0	0	0
Slc25a35	177.750000	0	0	0	0	866	556	0	0	0
Rangrf	177.750000	0	0	0	0	866	556	0	0	0
Sgk1	177.250000	0	0	0	0	704	714	0	0	0
Large1	177.000000	0	0	0	0	663	753	0	0	0
Trmt61a	176.875000	0	0	0	0	688	727	0	0	0
Ckb	176.875000	0	0	0	0	688	727	0	0	0
Fam124a	175.750000	0	0	0	0	682	724	0	0	0
Tmem94	175.375000	0	0	0	0	536	867	0	0	0
Pyurf	174.875000	0	0	0	0	0	1399	0	0	0
Slc31a2	174.750000	0	0	0	0	780	618	0	0	0
Med13l	174.750000	0	0	0	0	827	571	0	0	0
Spata4	174.375000	0	0	0	0	825	570	0	0	0
Ugt2a2	173.875000	0	0	0	0	624	767	0	0	0
H13	173.375000	0	0	0	0	556	831	0	0	0
Lrrc8d	173.250000	0	0	0	0	763	623	0	0	0
Pbld2	172.500000	0	0	0	0	727	653	0	0	0
Hnrnph3	172.500000	0	0	0	0	727	653	0	0	0
Pdgfra	172.250000	0	0	0	0	730	648	0	0	0
Fam160a2	171.375000	0	0	0	0	793	578	0	0	0
Cnga4	171.375000	0	0	0	0	793	578	0	0	0
Rgs14	170.750000	0	0	0	0	670	696	0	0	0
Lman2	170.750000	0	0	0	0	670	696	0	0	0
Rcan1	170.625000	0	0	0	0	727	638	0	0	0
Msx2	170.500000	0	0	0	0	701	663	0	0	0
Bsdc1	170.375000	0	0	0	0	692	671	0	0	0
Hnrnpf	170.250000	0	0	0	0	633	729	0	0	0
Csn1s2a	170.000000	0	0	0	0	899	461	0	0	0
Dab2ip	169.250000	0	0	0	0	673	681	0	0	0
Glis3	168.250000	0	0	0	0	729	617	0	0	0
Ubash3b	167.250000	0	0	0	0	679	659	0	0	0
Rlf	167.250000	0	0	0	0	633	705	0	0	0
Zfp595	166.000000	0	0	0	0	641	687	0	0	0
Myo7a	164.250000	0	0	0	0	758	556	0	0	0
Tox3	163.875000	0	0	0	0	618	693	0	0	0
Get1	162.500000	0	0	0	0	637	663	0	0	0
Rnf220	162.250000	0	0	0	0	679	619	0	0	0
Ttc25	162.000000	0	0	0	0	582	714	0	0	0
Tmprss6	161.875000	0	0	0	0	707	588	0	0	0
Arid5b	161.250000	0	0	0	0	569	721	0	0	0
Cep126	160.875000	0	0	0	0	576	711	0	0	0
Anxa5	160.750000	0	0	0	0	616	670	0	0	0
1810062G17Rik	160.750000	0	0	0	0	616	670	0	0	0
Chmp1b	160.625000	0	0	0	0	577	708	0	0	0
H3c15	160.500000	0	0	0	0	644	640	0	0	0
H3c14	160.500000	0	0	0	0	644	640	0	0	0
H2ac19	160.500000	0	0	0	0	644	640	0	0	0
H2ac18	160.500000	0	0	0	0	644	640	0	0	0
Nrxn1	160.125000	0	0	0	0	600	681	0	0	0
Slc4a8	159.875000	0	0	0	0	778	501	0	0	0
Dusp23	159.750000	0	0	0	0	642	636	0	0	0
Tbccd1	159.375000	0	0	0	0	672	603	0	0	0
Dnajb11	159.375000	0	0	0	0	672	603	0	0	0
Slc47a1	158.875000	0	0	0	0	648	623	0	0	0
Ppm1k	158.500000	0	0	0	0	719	549	0	0	0
Adam28	158.375000	0	0	0	0	656	611	0	0	0
Nxnl2	158.125000	0	0	0	0	561	704	0	0	0
Zfhx4	158.000000	142	0	0	0	573	549	0	0	0
Dpf3	157.875000	0	0	0	0	664	599	0	0	0
Ubl7	157.750000	0	0	0	0	545	717	0	0	0
Osbpl2	157.750000	0	0	0	0	769	493	0	0	0
Ankrd13b	157.750000	0	0	0	0	734	528	0	0	0
Galnt15	157.250000	0	0	0	0	763	495	0	0	0
Nt5e	156.250000	0	0	0	0	577	673	0	0	0
Tpd52	156.125000	0	0	0	0	788	461	0	0	0
Prrc2a	156.125000	0	0	0	0	608	641	0	0	0
Gzma	155.750000	0	0	0	0	560	686	0	0	0
Fam163b	155.625000	0	0	0	0	721	524	0	0	0
Klhdc8b	155.375000	0	0	0	0	706	537	0	0	0
Ccdc71	155.375000	0	0	0	0	706	537	0	0	0
Plekha8	155.250000	0	0	0	0	745	497	0	0	0
Arap2	154.875000	0	0	0	0	715	524	0	0	0
Septin9	154.625000	0	0	0	0	669	568	0	0	0
Lman2l	154.500000	0	0	0	0	665	571	0	0	0
Sulf2	154.250000	273	0	0	147	341	473	0	0	0
Wfikkn1	154.000000	0	0	0	0	686	546	0	0	0
Atp5g1	153.125000	0	0	0	0	680	545	0	0	0
Foxo6	152.750000	0	0	0	0	604	618	0	0	0
Csf2ra	152.750000	0	0	520	421	0	0	281	0	0
Lyrm7	152.625000	0	0	0	0	653	568	0	0	0
Hint1	152.625000	0	0	0	0	653	568	0	0	0
Camk2n1	151.500000	0	0	0	0	665	547	0	0	0
Ankrd40	151.250000	0	0	0	0	668	542	0	0	0
H2bc4	151.000000	0	0	0	0	657	551	0	0	0
H2ac6	151.000000	0	0	0	0	657	551	0	0	0
Zp3	150.500000	0	0	0	0	611	593	0	0	0
