Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Twsg1	137.000000	0	107	149	228	201	0
Abcf1	136.400000	0	0	146	264	272	0
Vcp	135.600000	0	0	287	246	145	0
Rara	135.200000	0	0	181	231	264	0
Bmp2k	135.200000	0	0	255	203	218	0
Pomp	135.000000	0	118	300	0	257	0
Pyroxd1	134.800000	0	142	223	167	142	0
Armc5	134.800000	0	114	230	167	163	0
9930021J03Rik	134.800000	0	156	156	174	188	0
9130023H24Rik	134.800000	0	114	230	167	163	0
Utp18	134.000000	0	0	264	221	185	0
Mbtd1	134.000000	0	0	264	221	185	0
Suco	133.800000	0	148	191	157	173	0
Phf23	133.600000	0	188	148	207	125	0
Dvl2	133.600000	0	188	148	207	125	0
Med20	133.400000	0	145	173	200	149	0
Kctd13	133.400000	0	145	168	187	167	0
Gm20517	133.400000	0	145	173	200	149	0
Bysl	133.400000	0	145	173	200	149	0
Kif20a	133.200000	0	0	174	252	240	0
Brd8	133.200000	0	0	174	252	240	0
Vti1b	133.000000	0	209	154	194	108	0
Timm50	133.000000	0	114	197	179	175	0
Sh3glb1	133.000000	0	155	198	177	135	0
Rsph3b	132.600000	0	124	263	152	124	0
Tinagl1	132.400000	0	0	217	184	261	0
Wee1	132.200000	0	116	208	190	147	0
Srebf2	132.000000	0	142	171	127	220	0
Arhgef17	131.600000	0	160	218	160	120	0
Pigk	131.400000	0	137	187	129	204	0
Metap1	131.000000	0	0	269	152	234	0
Ctdspl	130.800000	0	83	252	140	179	0
Commd10	130.600000	0	136	214	162	141	0
Lrfn4	130.200000	0	114	231	114	192	0
Snx8	130.000000	0	0	220	299	131	0
Inka1	130.000000	0	69	195	147	239	0
Mtmr12	129.800000	0	0	274	183	192	0
Nfkbie	129.000000	0	160	161	190	134	0
Msantd2	129.000000	0	218	167	131	129	0
Fdps	128.400000	0	0	176	184	282	0
Mt2	128.000000	0	150	203	152	135	0
Zfp768	127.800000	0	0	253	174	212	0
Washc1	127.800000	0	0	257	221	161	0
4931428F04Rik	126.600000	0	106	166	198	163	0
Nsfl1c	126.400000	0	0	210	192	230	0
Pole3	126.000000	0	0	189	225	216	0
Gatad2a	125.800000	0	0	213	200	216	0
Gpr137	125.000000	0	178	181	134	132	0
Bad	125.000000	0	178	181	134	132	0
Wdr59	124.400000	0	0	218	96	308	0
Spryd7	124.200000	0	0	286	177	158	0
Dync1h1	124.200000	0	126	275	0	220	0
Ticrr	124.000000	0	0	228	156	236	0
Ttc13	123.600000	0	137	142	155	184	0
Arv1	123.600000	0	137	142	155	184	0
Gpr107	123.000000	0	170	255	0	190	0
H13	122.800000	0	0	222	181	211	0
Adck5	122.600000	0	105	178	104	226	0
Spryd4	122.000000	0	125	201	154	130	0
Rbm4b	121.600000	0	173	135	117	183	0
Rbm15b	121.400000	0	0	231	169	207	0
Manf	121.400000	0	0	231	169	207	0
Zmym6	121.000000	0	0	246	112	247	0
Asf1a	120.600000	0	156	124	162	161	0
Zfp408	119.600000	0	103	157	153	185	0
Arhgap1	119.600000	0	103	157	153	185	0
Rnmt	119.200000	0	0	189	153	254	0
Ptpn23	119.200000	0	0	218	149	229	0
Fam210a	119.200000	0	0	189	153	254	0
Rce1	119.000000	0	126	196	140	133	0
Ncapg2	118.800000	0	0	219	209	166	0
Zgpat	118.600000	0	161	193	108	131	0
Cnpy3	118.600000	0	158	127	139	169	0
Arfrp1	118.600000	0	161	193	108	131	0
Lmnb1	118.200000	0	147	155	122	167	0
Snx15	118.000000	0	0	222	175	193	0
Sh2b3	118.000000	0	0	167	201	222	0
Psen2	118.000000	0	0	162	221	207	0
Noxo1	118.000000	0	143	160	144	143	0
Gfer	118.000000	0	143	160	144	143	0
Ppt1	117.800000	0	0	184	233	172	0
Vat1	117.200000	0	72	152	171	191	0
Rnd2	117.200000	0	72	152	171	191	0
Acly	117.000000	0	0	125	188	272	0
Zxdc	116.800000	0	0	182	203	199	0
Eefsec	116.800000	0	0	174	158	252	0
Znhit6	115.800000	0	108	115	175	181	0
Car5b	114.600000	0	111	145	138	179	0
Drap1	114.400000	0	0	216	158	198	0
AI837181	114.400000	0	0	216	158	198	0
Actg1	114.200000	0	0	182	177	212	0
Inip	114.000000	0	0	231	178	161	0
Cenpw	113.600000	0	0	223	147	198	0
Tmem53	113.000000	0	213	235	0	117	0
Armh1	113.000000	0	213	235	0	117	0
Ube2b	111.800000	0	121	283	0	155	0
Slc39a7	111.800000	0	0	230	129	200	0
Rxrb	111.800000	0	0	230	129	200	0
Ring1	111.800000	0	0	230	129	200	0
H2-Ke6	111.800000	0	0	230	129	200	0
Cdkl3	111.800000	0	121	283	0	155	0
Zfp607b	110.800000	0	0	228	181	145	0
