Target_genes	Atf2|Average	SRX515669|3T3-L1	SRX520192|3T3-L1	STRING
Arl6ip5	316.000000	489	143	0
Masp1	315.500000	324	307	0
Dgat1	315.500000	401	230	0
Bms1	315.000000	630	0	0
Ints10	314.500000	478	151	0
Tpst2	314.000000	302	326	0
Ehd4	314.000000	428	200	0
Tomm40	313.500000	518	109	0
Zfp438	313.000000	240	386	0
Spry1	313.000000	626	0	0
Mrpl44	313.000000	470	156	0
Ing5	313.000000	439	187	0
Hspa5	313.000000	431	195	0
Dtymk	313.000000	439	187	0
Denn2b	313.000000	626	0	0
Iws1	312.000000	403	221	0
Sipa1l1	311.000000	402	220	0
Pradc1	311.000000	519	103	0
Mrpl30	311.000000	511	111	0
Mitd1	311.000000	511	111	0
Cct7	311.000000	519	103	0
Tmem198	310.000000	0	620	0
Tbl3	310.000000	395	225	0
Dld	310.000000	302	318	0
Chpf	310.000000	0	620	0
Smim17	309.500000	449	170	0
Rpl27	309.000000	618	0	0
Afg1l	308.500000	486	131	0
Zcwpw1	307.500000	419	196	0
Oxa1l	307.500000	436	179	0
Mepce	307.500000	419	196	0
Aaas	307.000000	500	114	0
Nf1	306.000000	0	612	0
Cdip1	306.000000	202	410	0
Slc35e3	305.000000	383	227	0
Vgll4	304.500000	609	0	0
Lonp1	304.500000	286	323	0
Gas7	304.500000	609	0	0
Catsperd	304.500000	286	323	0
Oplah	302.500000	605	0	0
Ncbp3	302.500000	373	232	0
Rpl13	302.000000	452	152	0
Rbm25	302.000000	492	112	0
Cdadc1	302.000000	372	232	0
Xpc	301.500000	603	0	0
Lsm3	301.500000	603	0	0
Gabarapl1	301.500000	603	0	0
Tube1	301.000000	496	106	0
Fam229b	301.000000	496	106	0
Nop16	300.500000	341	260	0
Higd2a	300.500000	341	260	0
Zfpl1	300.000000	489	111	0
Ppp2r1a	300.000000	450	150	0
Nudt13	300.000000	600	0	0
Cdca5	300.000000	489	111	0
Zfp426	299.500000	293	306	0
Vsig8	299.500000	430	169	0
Trim7	299.500000	461	138	0
Cdk10	299.000000	598	0	0
Polr1b	298.500000	597	0	0
Rnd1	298.000000	596	0	0
Med23	296.500000	415	178	0
Cse1l	296.000000	400	192	0
Twistnb	295.500000	333	258	0
Rps7	295.500000	442	149	0
Rpl38	295.500000	591	0	0
Grn	295.500000	591	0	0
Zscan20	294.500000	397	192	0
Rbm34	294.500000	589	0	0
Osgepl1	294.500000	246	343	0
Ap4e1	293.500000	587	0	0
Rtel1	293.000000	586	0	0
Nme1	292.500000	585	0	0
Lox	292.000000	313	271	0
Spaar	291.000000	582	0	0
Hrct1	291.000000	582	0	0
Serf1	289.500000	321	258	0
Bdp1	289.500000	321	258	0
Vps51	289.000000	578	0	0
Ufsp1	289.000000	400	178	0
Pyroxd1	288.000000	576	0	0
Nupl2	288.000000	165	411	0
H2aw	288.000000	576	0	0
Commd4	287.500000	372	203	0
Mvk	287.000000	247	327	0
Mmab	287.000000	247	327	0
Ilvbl	287.000000	326	248	0
Smg7	286.500000	318	255	0
Nufip1	286.500000	573	0	0
Kif11	286.500000	258	315	0
Gpalpp1	286.500000	573	0	0
Ctdp1	286.000000	392	180	0
Plcb4	285.500000	314	257	0
Pacrgl	285.500000	387	184	0
Cwf19l1	285.500000	391	180	0
Atp6v0e2	285.000000	406	164	0
Rchy1	284.500000	569	0	0
Orm1	284.000000	274	294	0
Apc2	284.000000	568	0	0
Slc3a2	283.500000	385	182	0
Pld4	283.500000	567	0	0
Stx18	283.000000	374	192	0
Prmt9	283.000000	340	226	0
Gm9573	283.000000	0	566	0
Zkscan1	282.500000	443	122	0
Rad1	282.500000	326	239	0
Dpep1	282.500000	565	0	0
Brix1	282.500000	326	239	0
Psmg3	281.000000	562	0	0
Mmut	281.000000	415	147	0
Kyat1	281.000000	377	185	0
Hgs	281.000000	562	0	0
Cenpq	281.000000	415	147	0
Arl16	281.000000	562	0	0
Wbp1	280.500000	561	0	0
Slc37a4	280.500000	380	181	0
Pop4	280.500000	311	250	0
Ino80b	280.500000	561	0	0
Nsa2	279.500000	445	114	0
