Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Socs2	402.666667	803	405	0	0
Lctl	402.666667	543	665	0	0
Rara	402.333333	704	503	0	0
Nudt4	402.333333	668	539	0	0
Mark2	402.333333	793	414	0	0
Lrp5	402.333333	472	735	0	0
Gprc5a	402.333333	759	448	0	0
Zfp800	402.000000	1025	181	0	0
Cfh	402.000000	462	744	0	0
Zmiz1	401.666667	782	423	0	0
Zfp90	401.666667	603	602	0	0
Spint3	401.666667	555	650	0	0
Gadd45a	401.666667	721	484	0	0
Tmem106a	401.333333	597	607	0	0
Phf8	401.333333	831	373	0	0
Igf2bp2	400.666667	799	403	0	0
Tmtc1	400.000000	764	436	0	0
Thbs2	399.666667	694	505	0	0
Tgfbr1	399.666667	758	441	0	0
Zfp57	399.333333	817	381	0	0
Rassf4	399.333333	619	579	0	0
Ppp2r5c	399.000000	435	762	0	0
Chst13	399.000000	914	283	0	0
Actr1b	399.000000	526	671	0	0
Zc3h7a	398.666667	600	596	0	0
Ncbp2	398.333333	680	515	0	0
Bbs2	398.333333	944	251	0	0
0610012G03Rik	398.333333	680	515	0	0
Zfp536	398.000000	664	530	0	0
Klf9	398.000000	606	588	0	0
Gpr12	398.000000	545	649	0	0
Xlr5b	397.666667	958	235	0	0
Opn3	397.666667	982	211	0	0
DXBay18	397.666667	958	235	0	0
Chml	397.666667	982	211	0	0
Wdr37	397.000000	708	483	0	0
Vav1	397.000000	480	711	0	0
Mob3a	397.000000	326	865	0	0
Izumo4	397.000000	326	865	0	0
Septin1	396.666667	625	565	0	0
Mylpf	396.666667	625	565	0	0
Sde2	396.333333	753	436	0	0
Nhlrc1	396.333333	692	497	0	0
Mcc	396.000000	638	550	0	0
Cep131	396.000000	416	772	0	0
Mapk11	395.666667	762	425	0	0
Samd9l	395.333333	481	705	0	0
Pim1	395.333333	620	566	0	0
Asprv1	395.333333	624	562	0	0
Zswim1	394.666667	431	753	0	0
Rai14	394.666667	529	655	0	0
Gba	394.666667	634	550	0	0
Smim1	394.333333	611	572	0	0
Pgap3	394.333333	517	666	0	0
Ostm1	394.333333	792	391	0	0
Cryl1	394.333333	571	612	0	0
Cdx1	394.333333	470	713	0	0
Plscr4	394.000000	649	533	0	0
Ncoa4	394.000000	667	515	0	0
Klf3	394.000000	472	710	0	0
Gemin7	394.000000	605	577	0	0
Eppk1	394.000000	533	649	0	0
Pecam1	393.666667	571	610	0	0
Gng3	393.666667	843	338	0	0
Bscl2	393.666667	843	338	0	0
Baiap2l1	393.666667	671	510	0	0
Zfp386	393.333333	592	588	0	0
Iqcc	393.333333	754	426	0	0
Ccdc28b	393.333333	754	426	0	0
Pkp2	393.000000	826	353	0	0
Ctbp2	393.000000	513	666	0	0
Cdc20	393.000000	605	574	0	0
Timd4	392.666667	688	490	0	0
Mtfr1l	392.666667	798	380	0	0
