Target_genes	Zfp407|Average	SRX22153387|3T3-L1	STRING
Fbf1	1969.000000	1969	0
Zw10	1967.000000	1967	0
Wdr46	1962.000000	1962	0
Pfdn6	1962.000000	1962	0
Chchd6	1957.000000	1957	0
Sap30	1956.000000	1956	0
Trub2	1953.000000	1953	0
Tmem129	1952.000000	1952	0
Tacc3	1952.000000	1952	0
Slbp	1952.000000	1952	0
Map3k4	1948.000000	1948	0
Smpd3	1947.000000	1947	0
Rspry1	1946.000000	1946	0
Psme3ip1	1946.000000	1946	0
Cwc22	1943.000000	1943	0
Ints4	1941.000000	1941	0
Ubqln4	1940.000000	1940	0
Rab25	1940.000000	1940	0
Lamtor2	1940.000000	1940	0
Letm1	1935.000000	1935	0
Bcorl1	1935.000000	1935	0
Usp48	1928.000000	1928	0
Cnih4	1928.000000	1928	0
Rplp2	1925.000000	1925	0
Pidd1	1925.000000	1925	0
Mrps25	1923.000000	1923	0
Ahcy	1922.000000	1922	0
Tab3	1921.000000	1921	0
Mrto4	1919.000000	1919	0
Emc1	1919.000000	1919	0
Phlpp1	1918.000000	1918	0
Atrn	1918.000000	1918	0
Rsbn1	1916.000000	1916	0
Dexi	1909.000000	1909	0
Clec16a	1909.000000	1909	0
Gps2	1908.000000	1908	0
Wasf1	1907.000000	1907	0
Cdc40	1907.000000	1907	0
Edem2	1902.000000	1902	0
Zfp933	1896.000000	1896	0
Ctu1	1895.000000	1895	0
Zfp654	1892.000000	1892	0
Cggbp1	1892.000000	1892	0
Serpini1	1887.000000	1887	0
Pdcd10	1887.000000	1887	0
Satb2	1885.000000	1885	0
Ccdc90b	1884.000000	1884	0
Arhgap11a	1884.000000	1884	0
Nemf	1881.000000	1881	0
Bod1	1881.000000	1881	0
Gins1	1878.000000	1878	0
Alg14	1877.000000	1877	0
Slc27a4	1874.000000	1874	0
Ppp1r12b	1871.000000	1871	0
Rbm6	1866.000000	1866	0
Rpl7	1865.000000	1865	0
Rdh10	1865.000000	1865	0
Luc7l	1865.000000	1865	0
Wapl	1861.000000	1861	0
Pgls	1861.000000	1861	0
Niban3	1861.000000	1861	0
Men1	1861.000000	1861	0
Mrpl11	1856.000000	1856	0
Zfp839	1855.000000	1855	0
Trmt1	1850.000000	1850	0
Nacc1	1850.000000	1850	0
Trip10	1846.000000	1846	0
Gpr108	1846.000000	1846	0
Dnajb12	1844.000000	1844	0
Limk2	1842.000000	1842	0
Edem3	1842.000000	1842	0
Chsy1	1832.000000	1832	0
Tbc1d2	1831.000000	1831	0
Ankrd11	1829.000000	1829	0
Cnot1	1827.000000	1827	0
Cdk19	1825.000000	1825	0
Pank4	1824.000000	1824	0
Hes5	1824.000000	1824	0
Pkig	1821.000000	1821	0
Xpot	1820.000000	1820	0
Pbk	1818.000000	1818	0
Slc5a5	1816.000000	1816	0
Rpl18a	1816.000000	1816	0
Smim13	1815.000000	1815	0
Nfxl1	1810.000000	1810	0
Msh6	1810.000000	1810	0
Mrpl24	1809.000000	1809	0
Gtf2i	1807.000000	1807	0
Vps50	1806.000000	1806	0
Rab5c	1806.000000	1806	0
Hepacam2	1806.000000	1806	0
Zfp1	1805.000000	1805	0
Ccdc50	1803.000000	1803	0
Csrnp2	1799.000000	1799	0
Rpl12	1798.000000	1798	0
Lrsam1	1798.000000	1798	0
Ppp2r5b	1794.000000	1794	0
Sf3b5	1791.000000	1791	0
Vapa	1790.000000	1790	0
Znfx1	1785.000000	1785	0
Eml6	1784.000000	1784	0
Cep97	1784.000000	1784	0
Dlg4	1783.000000	1783	0
Ghitm	1780.000000	1780	0
Zfp354a	1776.000000	1776	0
Sirt4	1774.000000	1774	0
Mrpl34	1774.000000	1774	0
Dda1	1774.000000	1774	0
Abhd8	1774.000000	1774	0
Cbx1	1773.000000	1773	0
Gpt2	1772.000000	1772	0
Emsy	1772.000000	1772	0
Atl3	1770.000000	1770	0
Srprb	1769.000000	1769	0
Dynll1	1769.000000	1769	0
Plaa	1766.000000	1766	0
Spa17	1759.000000	1759	0
Siae	1759.000000	1759	0
Kif2c	1759.000000	1759	0
Rap2a	1757.000000	1757	0
Trmt10a	1755.000000	1755	0
Mttp	1755.000000	1755	0
Rad18	1753.000000	1753	0
Traf7	1748.000000	1748	0
Tbcb	1746.000000	1746	0
Polr2i	1746.000000	1746	0
Ovol3	1746.000000	1746	0
Tmem222	1741.000000	1741	0
Gfus	1740.000000	1740	0
Usp35	1738.000000	1738	0
Kctd21	1738.000000	1738	0
Lrpprc	1735.000000	1735	0
Cdk8	1735.000000	1735	0
Inpp5b	1734.000000	1734	0
R3hcc1l	1732.000000	1732	0
Ttc41	1731.000000	1731	0
Hsp90b1	1731.000000	1731	0
Espl1	1731.000000	1731	0
Rfx1	1730.000000	1730	0
Zfp90	1727.000000	1727	0
Gprasp1	1726.000000	1726	0
Armcx5	1726.000000	1726	0
Zmynd12	1725.000000	1725	0
Ppcs	1725.000000	1725	0
Trak2	1722.000000	1722	0
Cgrrf1	1722.000000	1722	0
Dnm1l	1719.000000	1719	0
Stau1	1716.000000	1716	0
Zdhhc14	1715.000000	1715	0
Haus6	1712.000000	1712	0
Skap2	1711.000000	1711	0
Mynn	1710.000000	1710	0
Actrt3	1710.000000	1710	0
Mrpl22	1707.000000	1707	0
Gemin5	1707.000000	1707	0
Fam53c	1703.000000	1703	0
Zfp235	1702.000000	1702	0
Zfp317	1698.000000	1698	0
Kat7	1697.000000	1697	0
Prpf19	1694.000000	1694	0
Oaz2	1693.000000	1693	0
Nfx1	1692.000000	1692	0
Wrn	1691.000000	1691	0
Purg	1691.000000	1691	0
Lta4h	1689.000000	1689	0
Tmem33	1683.000000	1683	0
Thap11	1678.000000	1678	0
E130309D02Rik	1678.000000	1678	0
Cenpt	1678.000000	1678	0
Abcc5	1676.000000	1676	0
Stk35	1671.000000	1671	0
Dcps	1671.000000	1671	0
Mars1	1664.000000	1664	0
Clpx	1659.000000	1659	0
Ermp1	1657.000000	1657	0
Pex14	1654.000000	1654	0
