Target_genes	Hoxa13|Average	SRX4618294|Embryonic_limb	SRX4618296|Embryonic_limb	SRX4618301|Embryonic_limb	SRX1757411|Forelimb	STRING
Sntb2	210.250000	0	188	0	653	0
Fgfr3	210.250000	0	492	0	349	0
Gm5622	209.500000	0	838	0	0	0
Prim2	209.250000	0	837	0	0	0
Akain1	209.000000	0	719	0	117	0
Topors	208.500000	0	648	0	186	0
Smim27	208.500000	0	648	0	186	0
Rerg	208.250000	0	319	0	514	0
Lix1	208.250000	0	628	0	205	0
Prr14l	208.000000	0	0	123	709	0
Olfr818	208.000000	0	832	0	0	0
Hgf	208.000000	0	721	111	0	0
Tbl2	207.750000	0	212	0	619	0
Prl7c1	207.750000	0	831	0	0	0
Emilin3	207.750000	0	476	0	355	0
Mcub	207.500000	0	251	0	579	0
Arhgap15	207.500000	0	374	0	456	0
Tinagl1	207.250000	0	202	0	627	0
Scmh1	207.000000	0	216	0	612	0
Cacnb2	207.000000	0	450	0	378	0
Xkr5	206.750000	0	195	146	486	0
Rpgrip1l	206.750000	0	827	0	0	0
Il17d	206.750000	0	375	0	452	0
Fto	206.750000	0	827	0	0	0
Efcab12	206.750000	0	827	0	0	0
Csf2ra	206.750000	0	335	492	0	0
Sh3bp5	206.250000	0	375	0	450	0
Hspb8	206.250000	0	661	0	164	0
Thbs1	205.500000	0	586	0	236	0
Olfr814	205.500000	115	592	115	0	0
Pou6f1	205.250000	0	821	0	0	0
Prss38	205.000000	92	728	0	0	0
Gtsf1	205.000000	0	237	0	583	0
Fgfbp1	204.250000	0	817	0	0	0
Olfr1014	204.000000	0	816	0	0	0
Olfr1013	204.000000	0	816	0	0	0
Lrrc36	204.000000	0	816	0	0	0
Kctd19	204.000000	0	816	0	0	0
Bola1	203.750000	0	698	0	117	0
Wdyhv1	203.250000	0	170	0	643	0
Dnm2	203.250000	0	584	146	83	0
C87436	203.000000	0	709	0	103	0
Smoc1	202.750000	0	316	0	495	0
Optn	202.750000	0	359	0	452	0
Nfatc2	202.750000	0	144	0	667	0
Ccdc54	202.750000	0	679	0	132	0
C1ql1	202.750000	0	811	0	0	0
Btbd8	202.500000	0	471	0	339	0
Kmt5c	202.250000	0	0	0	809	0
Slc35a1	202.000000	0	499	0	309	0
Cplx2	202.000000	0	603	0	205	0
Wdr34	201.750000	0	807	0	0	0
Selenoi	201.750000	0	449	163	195	0
