Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Mks1	1428.250000	1746	2047	931	989	0
Mtg1	1427.000000	1439	1145	1497	1627	0
Slc19a1	1425.750000	916	1502	1407	1878	0
Zpr1	1425.250000	1364	1272	1684	1381	0
Dctd	1425.250000	644	865	2064	2128	0
Apoa5	1425.250000	1364	1272	1684	1381	0
Ilf3	1424.500000	1172	837	1872	1817	0
Borcs5	1424.500000	1079	1166	1614	1839	0
Nolc1	1424.000000	1286	1369	1594	1447	0
Rtel1	1422.750000	1335	1110	2001	1245	0
Lpin1	1422.250000	954	1216	1810	1709	0
Foxn2	1422.250000	1454	1411	1263	1561	0
Tcp11l2	1421.750000	991	841	1801	2054	0
Ttc25	1421.500000	1171	1388	1332	1795	0
Cldn34d	1417.500000	1263	1155	1919	1333	0
Tfrc	1413.000000	1189	855	1660	1948	0
Mrm3	1413.000000	1330	1332	1485	1505	0
Glod4	1413.000000	1330	1332	1485	1505	0
Apmap	1412.500000	1218	1658	1329	1445	0
Ppp1r13l	1411.000000	1367	1133	1502	1642	0
Cd3eap	1411.000000	1367	1133	1502	1642	0
St3gal1	1409.250000	1098	1029	1659	1851	0
Polr2e	1406.500000	1052	1301	1701	1572	0
Hspa9	1405.500000	1299	1030	1714	1579	0
Adck1	1402.250000	1241	1515	1473	1380	0
Rrp9	1399.750000	1435	1300	1364	1500	0
Parp3	1399.750000	1435	1300	1364	1500	0
Ybx1	1397.250000	769	971	1923	1926	0
Zfp566	1396.500000	903	1359	1464	1860	0
Zfp260	1396.500000	903	1359	1464	1860	0
Trap1	1394.500000	1202	935	1813	1628	0
Taf1a	1394.250000	1288	1572	1523	1194	0
Zgpat	1394.000000	1120	1246	1418	1792	0
Arfrp1	1394.000000	1120	1246	1418	1792	0
Ipo13	1393.000000	1193	1230	1454	1695	0
Dus4l	1391.250000	1004	1153	1615	1793	0
Cog5	1391.250000	1004	1153	1615	1793	0
Tcof1	1389.000000	849	1233	1601	1873	0
Ecsit	1388.750000	1087	1473	1410	1585	0
Snapc4	1388.250000	1376	1224	1704	1249	0
Ropn1l	1387.250000	1567	1366	1230	1386	0
Actr6	1386.500000	1462	1280	1483	1321	0
Lipt1	1384.250000	1300	1346	1477	1414	0
Lars2	1383.750000	1180	1753	1400	1202	0
Kif20a	1383.250000	1365	1065	1531	1572	0
Gnl2	1383.250000	1061	1337	1564	1571	0
Brd8	1383.250000	1365	1065	1531	1572	0
Krr1	1382.500000	840	1230	1567	1893	0
Angptl4	1381.750000	1322	1335	1355	1515	0
Tsr1	1380.500000	1261	1089	1581	1591	0
Sgsm2	1380.500000	1261	1089	1581	1591	0
Ifrd2	1380.250000	1096	906	1969	1550	0
Frg2f1	1380.250000	1071	1121	1639	1690	0
Foxj3	1380.250000	1071	1121	1639	1690	0
Pitrm1	1379.250000	1514	1506	1195	1302	0
Ppan	1378.000000	1071	903	1887	1651	0
Wdr26	1369.250000	836	1262	1385	1994	0
Lrrc24	1369.250000	1310	1222	1515	1430	0
C030006K11Rik	1369.250000	1310	1222	1515	1430	0
Lap3	1368.250000	911	1481	1522	1559	0
Odc1	1367.500000	841	860	1639	2130	0
Rrp1b	1364.000000	1175	1369	1489	1423	0
Hsf2bp	1364.000000	1175	1369	1489	1423	0
Utp15	1362.250000	1420	1497	1254	1278	0
Ankra2	1362.250000	1420	1497	1254	1278	0
Nkx1-1	1359.250000	1342	2430	915	750	0
Wdr34	1358.750000	1608	1285	1505	1037	0
Hjurp	1352.250000	841	743	2006	1819	0
A730008H23Rik	1352.250000	841	743	2006	1819	0
Gtpbp4	1351.250000	1177	1106	1507	1615	0
Med27	1349.250000	1497	1840	990	1070	0
Kif2c	1349.250000	1303	1218	1453	1423	0
Nras	1347.250000	1749	1822	871	947	0
Cfap298	1346.750000	1622	1617	1207	941	0
Psma4	1344.250000	1302	1724	1169	1182	0
AY074887	1344.250000	1302	1724	1169	1182	0
Zfp146	1344.000000	941	696	2047	1692	0
Exosc2	1338.500000	1150	1364	1352	1488	0
Vps33b	1338.000000	1392	1550	1329	1081	0
Cfi	1337.750000	1651	1606	0	2094	0
Metap1	1337.500000	1388	1237	1460	1265	0
Ttc21a	1335.750000	1341	1511	1211	1280	0
Gorasp1	1335.750000	1341	1511	1211	1280	0
Wdr43	1335.000000	1056	1158	1646	1480	0
Ubxn11	1334.750000	797	1237	1670	1635	0
Shmt2	1334.500000	902	935	1680	1821	0
Focad	1334.250000	754	694	1685	2204	0
Tial1	1332.750000	1288	1003	1674	1366	0
Tmem169	1332.250000	1389	1639	1090	1211	0
Pecr	1332.250000	1389	1639	1090	1211	0
Spata5	1332.000000	1353	1285	1373	1317	0
Nudt6	1332.000000	1353	1285	1373	1317	0
Thumpd1	1331.000000	1252	1496	1210	1366	0
Ttc13	1330.750000	1215	1220	1520	1368	0
Pdss1	1330.750000	708	981	1601	2033	0
Arv1	1330.750000	1215	1220	1520	1368	0
Suclg1	1327.750000	1166	1618	1271	1256	0
Rrp8	1325.250000	1038	1085	1646	1532	0
Ilk	1325.250000	1038	1085	1646	1532	0
Nop58	1324.250000	1107	1306	1648	1236	0
Trmt1	1323.250000	1128	1604	1384	1177	0
Nacc1	1323.250000	1128	1604	1384	1177	0
Ung	1323.000000	921	1063	1723	1585	0
Alkbh2	1323.000000	921	1063	1723	1585	0
Osgep	1322.500000	1391	1249	1246	1404	0
Apex1	1322.500000	1391	1249	1246	1404	0
Emc2	1318.500000	588	1169	1574	1943	0
Wdr90	1314.750000	1904	1531	1028	796	0
Trnt1	1312.500000	1369	1486	1255	1140	0
Trappc10	1312.500000	874	995	1634	1747	0
Frat2	1311.750000	1263	961	1456	1567	0
Uqcc3	1311.500000	1455	1867	1104	820	0
Lbhd1	1311.500000	1455	1867	1104	820	0
Atp6v0b	1309.500000	924	1347	1446	1521	0
Alg8	1305.750000	901	1341	1387	1594	0
Kcnh6	1303.250000	1393	2166	1151	503	0
Abhd18	1303.000000	597	1285	1553	1777	0
Elp1	1302.500000	870	1174	1551	1615	0
Abitram	1302.500000	870	1174	1551	1615	0
Trmo	1302.250000	1363	1548	1088	1210	0
Cdc20	1302.000000	1002	861	1905	1440	0
Wdfy1	1301.000000	1755	1724	930	795	0
Dph2	1300.750000	924	1347	1446	1486	0
Dimt1	1300.500000	1264	1604	1369	965	0
Fastkd1	1300.000000	1155	1854	1254	937	0
Supv3l1	1299.750000	1222	1669	946	1362	0
Ccdc9	1297.000000	875	1157	1580	1576	0
Thg1l	1295.750000	1221	1291	1234	1437	0
Dyrk3	1295.750000	1212	970	1661	1340	0
Kif20b	1294.250000	1074	698	1989	1416	0
Wdr55	1293.500000	1083	1123	1533	1435	0
Wdr3	1293.000000	899	1103	1835	1335	0
Selenos	1292.500000	725	1102	1706	1637	0
D10Wsu102e	1291.000000	995	1358	1477	1334	0
Klf16	1290.500000	963	1209	1577	1413	0
Bcap29	1289.750000	1040	1219	1477	1423	0
Rnaseh1	1288.750000	1119	1198	1477	1361	0
Zfp91	1287.750000	1049	986	1435	1681	0
