Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
Tjp1	53.000000	0	159	0	0
Strn3	53.000000	0	159	0	0
Rhobtb3	53.000000	0	159	0	0
Polr2j	53.000000	0	159	0	0
Nfatc2ip	53.000000	0	159	0	0
Napepld	53.000000	0	159	0	0
Id4	53.000000	0	159	0	0
Gm20346	53.000000	0	159	0	0
Bcorl1	53.000000	0	159	0	0
Ap4s1	53.000000	0	159	0	0
Anp32a	53.000000	0	159	0	0
Zic2	52.666667	0	158	0	0
Zfp62	52.666667	0	158	0	0
Upf1	52.666667	0	158	0	0
Txn1	52.666667	0	158	0	0
Tmem214	52.666667	0	158	0	0
Kdm6b	52.666667	0	158	0	0
Gm13889	52.666667	0	158	0	0
Dpy30	52.666667	0	158	0	0
Romo1	52.333333	0	157	0	0
Nfs1	52.333333	0	157	0	0
Foxl2	52.333333	0	157	0	0
Xndc1	51.666667	0	155	0	0
Tsc22d2	51.666667	0	155	0	0
Rnf121	51.666667	0	155	0	0
Rex1bd	51.666667	0	155	0	0
Hip1r	51.666667	0	155	0	0
Atl3	51.666667	0	155	0	0
Sox4	51.333333	0	154	0	0
R3hdm2	51.333333	0	154	0	0
Pde6d	51.000000	0	153	0	0
Itga5	51.000000	0	153	0	0
Cops7b	51.000000	0	153	0	0
Zranb3	50.666667	0	152	0	0
Ube4a	50.666667	152	0	0	0
Tmem62	50.666667	152	0	0	0
Tmem37	50.666667	0	152	0	0
Rmdn3	50.666667	152	0	0	0
R3hdm1	50.666667	0	152	0	0
Tor1a	50.333333	0	151	0	0
Tent5b	50.333333	0	151	0	0
Rps21	50.333333	0	151	0	0
Kmt2e	50.333333	0	151	0	0
Zfp959	50.000000	0	150	0	0
Zc3h7b	50.000000	0	150	0	0
Rpl36	50.000000	0	150	0	0
Kif1c	50.000000	0	150	0	0
Inca1	50.000000	0	150	0	0
Tns3	49.666667	0	149	0	0
Elmo3	49.666667	0	149	0	0
Zfp710	49.333333	0	148	0	0
Txndc5	49.333333	0	148	0	0
Stxbp4	49.333333	0	148	0	0
Mrpl39	49.333333	0	148	0	0
Klf14	49.333333	0	148	0	0
Ido1	49.333333	0	148	0	0
Ehmt1	49.333333	0	148	0	0
Dcun1d1	49.333333	0	148	0	0
