Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Tmem201	625.000000	528	722	0
Mcrip2	624.500000	624	625	0
Tomm40	623.500000	539	708	0
Adipor1	623.000000	448	798	0
Timm44	622.000000	487	757	0
Susd6	621.000000	461	781	0
Zmym3	620.500000	510	731	0
H2-DMa	620.500000	446	795	0
Ciart	620.500000	513	728	0
Brd2	620.500000	446	795	0
Snai3	619.000000	440	798	0
Gan	618.500000	527	710	0
Sh2b3	616.000000	449	783	0
Rbl2	616.000000	403	829	0
Morc2a	616.000000	444	788	0
Shb	615.500000	524	707	0
Ice1	613.500000	497	730	0
Gpd1l	613.500000	440	787	0
Tfdp2	613.000000	468	758	0
Zfp36l2	609.000000	496	722	0
Ube2d2a	608.000000	427	789	0
Pou3f1	603.500000	397	810	0
Ces1b	603.000000	517	689	0
Pbld2	601.000000	643	559	0
Hnrnph3	601.000000	643	559	0
Shld2	599.500000	429	770	0
Glud1	599.500000	429	770	0
Agl	599.000000	506	692	0
Odc1	598.500000	575	622	0
Epb41	597.500000	473	722	0
Fkbpl	597.000000	549	645	0
Atf6b	597.000000	549	645	0
Pigs	595.000000	405	785	0
Aldoc	595.000000	405	785	0
Spcs3	594.500000	395	794	0
Nipsnap1	593.500000	478	709	0
Itpk1	593.500000	425	762	0
Pah	592.000000	485	699	0
Gsk3b	592.000000	470	714	0
Gzf1	591.500000	343	840	0
Hs3st3b1	591.000000	423	759	0
Cdk9	590.500000	386	795	0
Ggct	587.500000	357	818	0
Klf9	583.000000	196	970	0
Wrap73	582.500000	339	826	0
Trp73	582.500000	339	826	0
Mfsd14a	582.500000	374	791	0
Ptpra	582.000000	394	770	0
Klf10	581.500000	485	678	0
Hspa9	581.500000	410	753	0
Fam219b	580.500000	436	725	0
Nde1	579.500000	415	744	0
Marf1	579.500000	415	744	0
Pcmt1	577.000000	512	642	0
Nup43	577.000000	512	642	0
Foxq1	576.500000	517	636	0
Chst12	576.000000	408	744	0
Tbc1d10a	575.500000	421	730	0
Tm2d2	572.500000	444	701	0
Adam9	572.500000	444	701	0
Crcp	572.000000	361	783	0
Asl	572.000000	361	783	0
Plekha6	571.000000	401	741	0
Stmn1	570.000000	401	739	0
Smndc1	569.500000	459	680	0
Pak1ip1	567.500000	456	679	0
Dnajc13	567.500000	415	720	0
Mettl9	566.500000	510	623	0
Ruvbl2	565.000000	371	759	0
Gys1	565.000000	371	759	0
Gtse1	564.500000	501	628	0
Aqp11	563.000000	424	702	0
Klf15	562.500000	404	721	0
Nab1	562.000000	492	632	0
Suox	561.500000	425	698	0
Got1	561.500000	386	737	0
Smyd4	560.000000	412	708	0
Rpa1	560.000000	412	708	0
Ptpn13	559.500000	469	650	0
Cmbl	559.500000	471	648	0
B230307C23Rik	559.500000	405	714	0
Exd1	558.500000	474	643	0
Chp1	558.500000	474	643	0
Mical2	556.000000	424	688	0
Rundc1	555.500000	516	595	0
Ptges3l	555.500000	516	595	0
Zfp36	554.000000	452	656	0
Plrg1	554.000000	408	700	0
Plekhg2	554.000000	452	656	0
Fgb	554.000000	408	700	0
Rbpms2	552.500000	411	694	0
Fbxl3	552.000000	507	597	0
Ttk	550.500000	398	703	0
Selenoo	550.500000	392	709	0
Dgat1	550.500000	438	663	0
Sap130	550.000000	352	748	0
Stat1	549.500000	397	702	0
Orc2	549.000000	384	714	0
Sorbs3	548.500000	471	626	0
Aass	548.500000	447	650	0
Nrn1	547.000000	508	586	0
L2hgdh	545.000000	384	706	0
Dmac2l	545.000000	384	706	0
Tmem230	543.500000	386	701	0
Pcna	543.500000	386	701	0
Avpi1	543.500000	426	661	0
Smg7	539.500000	394	685	0
Zfp654	538.000000	400	676	0
Cggbp1	538.000000	400	676	0
Yod1	536.500000	475	598	0
Pfkfb2	536.500000	475	598	0
C87436	535.000000	370	700	0
Psen2	534.500000	395	674	0
Fnip2	534.500000	379	690	0
Faf1	534.500000	313	756	0
Eef1akmt4-ece2	534.500000	397	672	0
Eef1akmt4	534.500000	397	672	0
Alg3	534.500000	397	672	0
Vasn	534.000000	525	543	0
Btbd8	534.000000	444	624	0
Acat1	534.000000	383	685	0
Mturn	533.000000	482	584	0
Nfkbia	532.500000	417	648	0
Pitpnc1	530.000000	386	674	0
Yes1	529.500000	436	623	0
Rnf157	529.000000	313	745	0
Slc6a12	528.000000	524	532	0
St3gal3	527.000000	450	604	0
Asph	526.000000	445	607	0
Acsf2	525.500000	408	643	0
Rnf31	524.000000	490	558	0
Psme2	524.000000	490	558	0
Cyb5a	523.500000	362	685	0
Clptm1	522.000000	266	778	0
Bdnf	522.000000	361	683	0
Rhof	520.500000	492	549	0
Ppp4r3b	520.000000	459	581	0
BC031181	519.000000	379	659	0
Ttc21a	518.500000	435	602	0
Gorasp1	518.500000	435	602	0
Dhx40	516.500000	330	703	0
Uap1	515.500000	408	623	0
Tm7sf2	515.000000	380	650	0
Mia3	514.000000	379	649	0
Srebf1	513.000000	361	665	0
Mtrr	511.500000	337	686	0
Fastkd3	511.500000	337	686	0
Naa40	510.000000	369	651	0
Arl6ip1	510.000000	412	608	0
Csrnp1	509.500000	393	626	0
Trpt1	509.000000	358	660	0
Nudt22	509.000000	358	660	0
Dnajc4	509.000000	358	660	0
Pex16	508.500000	436	581	0
Large2	508.500000	436	581	0
Msh2	508.000000	434	582	0
Uck2	506.500000	353	660	0
Tbc1d31	506.500000	336	677	0
Fkbp4	505.500000	472	539	0
Cnnm2	505.500000	303	708	0
Vapa	505.000000	394	616	0
Yif1b	503.500000	528	479	0
Kif21a	503.500000	358	649	0
Jup	503.500000	276	731	0
Ergic3	503.000000	384	622	0
Ctnnb1	503.000000	307	699	0
6430550D23Rik	503.000000	384	622	0
Prrc1	501.500000	367	636	0
Med1	501.000000	451	551	0
Agfg2	500.000000	387	613	0
Dhrs3	499.000000	341	657	0
Tgfbr1	495.500000	383	608	0
Mtch1	494.500000	390	599	0
Fbxo11	494.500000	382	607	0
St6galnac6	494.000000	436	552	0
Rel	493.500000	354	633	0
Cic	493.000000	497	489	0
Polr3f	492.000000	448	536	0
Dzank1	492.000000	448	536	0
Slc35a5	491.500000	361	622	0
Ruvbl1	491.500000	437	546	0
Prr14	491.500000	445	538	0
Atg3	491.500000	361	622	0
Mllt1	491.000000	330	652	0
Rprd2	490.500000	363	618	0
Strbp	490.000000	395	585	0
Rbm15b	490.000000	303	677	0
Manf	490.000000	303	677	0
Leng8	489.000000	317	661	0
Atg4d	488.000000	303	673	0
Slc25a33	487.500000	394	581	0
Rasgef1b	487.500000	394	581	0
Ogfod2	487.500000	413	562	0
Gtf2a1	487.500000	413	562	0
Arl6ip4	487.500000	413	562	0
Fryl	487.000000	442	532	0
Fam214b	486.500000	305	668	0
Pfkfb1	485.000000	302	668	0
Nqo1	484.500000	502	467	0
Tfcp2	483.000000	377	589	0
Lmnb1	482.500000	454	511	0
Hs6st1	482.500000	396	569	0
Hsp90aa1	480.000000	343	617	0
Hjurp	479.000000	401	557	0
A730008H23Rik	479.000000	401	557	0
Baiap2	478.500000	348	609	0
Lss	477.500000	316	639	0
Ubl5	477.000000	350	604	0
Fbxl12	477.000000	350	604	0
Slc2a4	475.500000	335	616	0
Hnrnpf	475.000000	401	549	0
Hhex	475.000000	336	614	0
Stxbp5l	474.000000	340	608	0
Ppm1k	473.000000	350	596	0
Actn1	473.000000	350	596	0
Uhrf1	472.000000	421	523	0
Per1	472.000000	300	644	0
Atg10	472.000000	340	604	0
Arrdc5	472.000000	421	523	0
Klf11	471.500000	321	622	0
Rnf149	471.000000	344	598	0
Epg5	470.500000	328	613	0
C1qtnf6	467.500000	455	480	0
Dmwd	464.500000	368	561	0
Trmt1l	464.000000	384	544	0
Swt1	464.000000	384	544	0
Hspb1	463.500000	369	558	0
N4bp3	462.500000	300	625	0
Mxd1	462.000000	368	556	0
Rnf123	459.500000	357	562	0
Mst1	459.500000	357	562	0
Ist1	457.000000	291	623	0
Them4	456.000000	407	505	0
Edf1	455.000000	386	524	0
Rcan1	453.500000	327	580	0
Rnaseh2b	453.000000	357	549	0
Ppp1r15b	452.500000	366	539	0
Narf	452.500000	298	607	0
Adssl1	452.000000	331	573	0
Dexi	450.500000	399	502	0
Clec16a	450.500000	399	502	0
Nudt16	446.500000	315	578	0
Mcfd2	446.500000	380	513	0
Rad54b	446.000000	415	477	0
Nfatc3	446.000000	377	515	0
Ass1	445.000000	373	517	0
Cdca4	444.500000	314	575	0
Fhod3	444.000000	303	585	0
Rc3h1	443.500000	311	576	0
B4galt7	443.000000	362	524	0
Tmem135	442.500000	298	587	0
Mrpl34	442.500000	377	508	0
Fzd4	442.500000	298	587	0
Elovl6	442.500000	370	515	0
Dda1	442.500000	377	508	0
Eloc	442.000000	411	473	0
Pigv	441.000000	373	509	0
Slc19a2	440.000000	371	509	0
Cyp2d22	440.000000	323	557	0
Atad3a	440.000000	357	523	0
Ska1	439.500000	302	577	0
Gapdh	439.500000	390	489	0
Srp54c	438.500000	289	588	0
Srp54b	438.500000	289	588	0
Naa80	437.500000	305	570	0
Hyal3	437.500000	305	570	0
Hyal1	437.500000	305	570	0
Tpd52l1	437.000000	270	604	0
Slc12a2	437.000000	326	548	0
Ppard	435.500000	326	545	0
Usp49	434.500000	390	479	0
Fzd5	434.500000	350	519	0
Klhl7	434.000000	357	511	0
Pygl	433.500000	428	439	0
Traip	433.000000	379	487	0
Bnip3	433.000000	297	569	0
Sun1	432.500000	307	558	0
Fam20c	431.000000	284	578	0
Phf20	429.500000	278	581	0
Pbx1	429.500000	375	484	0
P2ry2	429.500000	304	555	0
Klf3	429.000000	322	536	0
Pink1	427.500000	275	580	0
Dym	427.500000	310	545	0
Tmem14c	427.000000	291	563	0
Daam1	426.500000	411	442	0
Mtg2	426.000000	391	461	0
Prxl2a	423.500000	325	522	0
Rnf13	423.000000	299	547	0
Pdik1l	423.000000	335	511	0
Grb7	422.000000	286	558	0
Ss18l2	421.500000	245	598	0
Selenbp1	420.500000	347	494	0
Zfhx2	420.000000	295	545	0
Ttc41	420.000000	343	497	0
Thtpa	420.000000	295	545	0
Sowahc	420.000000	303	537	0
Septin10	420.000000	303	537	0
Hsp90b1	420.000000	343	497	0
Enho	420.000000	353	487	0
Rbx1	419.500000	344	495	0
Cep68	419.500000	351	488	0
Acsl1	418.500000	351	486	0
Sdf2l1	418.000000	374	462	0
Marchf8	418.000000	337	499	0
Reep6	417.500000	400	435	0
Pcsk4	417.500000	400	435	0
Dlgap1	417.000000	244	590	0
Slc25a51	416.500000	309	524	0
Slco2b1	416.000000	285	547	0
Ppat	416.000000	326	506	0
Paics	416.000000	326	506	0
Jpt2	416.000000	343	489	0
Fdft1	416.000000	298	534	0
Birc2	415.500000	290	541	0
Rfxank	413.500000	302	525	0
Gm45929	413.500000	302	525	0
Borcs8	413.500000	302	525	0
Acadl	413.500000	308	519	0
0610010F05Rik	413.500000	269	558	0
Ercc2	413.000000	253	573	0
Tyw1	412.500000	232	593	0
Stat2	412.500000	386	439	0
Sbds	412.500000	232	593	0
Pspn	412.500000	346	479	0
Apof	412.500000	386	439	0
Alkbh7	412.500000	346	479	0
Zscan20	411.500000	276	547	0
Nmd3	411.500000	389	434	0
Srp54a	411.000000	301	521	0
Lca5	410.500000	260	561	0
Hsd17b10	410.500000	369	452	0
Fbxo44	410.500000	332	489	0
Fbxo2	410.500000	332	489	0
Pars2	410.000000	292	528	0
Mier2	410.000000	324	496	0
Ropn1l	409.500000	330	489	0
Rps19	409.000000	238	580	0
Setd5	407.000000	377	437	0
Usp12	406.500000	322	491	0
Mlycd	406.500000	342	471	0
Cmc1	406.500000	375	438	0
Hivep1	405.000000	344	466	0
Cdk1	405.000000	334	476	0
Zbtb5	404.500000	439	370	0
Six5	404.500000	316	493	0
Adgra3	403.500000	330	477	0
Wbp1l	402.000000	301	503	0
Dynll2	402.000000	382	422	0
Lysmd4	401.500000	313	490	0
Kdm4b	401.000000	299	503	0
Tsc22d1	400.500000	352	449	0
Taf1d	400.000000	266	534	0
Czib	400.000000	264	536	0
4931406C07Rik	400.000000	266	534	0
Pitrm1	399.500000	313	486	0
Rasa3	399.000000	241	557	0
Pole3	399.000000	305	493	0
Alad	399.000000	305	493	0
Abcg8	399.000000	314	484	0
Abcg5	399.000000	314	484	0
Rev1	398.500000	291	506	0
Hey1	398.000000	303	493	0
Faap100	398.000000	351	445	0
Cbx8	398.000000	281	515	0
Cyp27a1	397.000000	206	588	0
Spout1	396.500000	298	495	0
Nectin3	396.500000	312	481	0
Yars	396.000000	332	460	0
S100pbp	396.000000	332	460	0
Spag8	395.500000	337	454	0
Pik3r1	395.500000	250	541	0
Nup133	395.500000	313	478	0
Krt8	395.500000	327	464	0
Hint2	395.500000	337	454	0
Zfp217	394.500000	328	461	0
Spc24	394.500000	330	459	0
Bcar3	394.500000	311	478	0
Atf2	394.000000	289	499	0
Ogfrl1	393.000000	329	457	0
Mien1	393.000000	282	504	0
Klhl24	392.500000	340	445	0
Mapk9	392.000000	299	485	0
Fgd4	392.000000	247	537	0
Aldh9a1	392.000000	327	457	0
Rab33b	390.500000	277	504	0
Tmem120b	389.500000	330	449	0
Lyrm9	389.500000	302	477	0
Cyld	389.500000	338	441	0
