Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
4833420G17Rik	134.500000	420	118	0	0	0
Hspe1	134.000000	348	188	0	0	0
Hspd1	134.000000	348	188	0	0	0
Mpc2	133.750000	413	122	0	0	0
Dcaf6	133.750000	413	122	0	0	0
Slu7	133.500000	397	137	0	0	0
Pgam5	133.500000	430	104	0	0	0
Spata17	133.250000	332	201	0	0	0
Rad51	133.250000	533	0	0	0	0
Ndufb3	133.250000	309	224	0	0	0
Gpatch2	133.250000	332	201	0	0	0
Fam126b	133.250000	309	224	0	0	0
Tfb2m	133.000000	418	114	0	0	0
Cnst	133.000000	418	114	0	0	0
Larp4	132.750000	411	120	0	0	0
Ddx24	132.750000	531	0	0	0	0
Nol12	132.250000	411	118	0	0	0
Eif3l	131.750000	346	181	0	0	0
Usf1	131.500000	395	131	0	0	0
Ccdc14	131.250000	390	135	0	0	0
Arrdc2	131.000000	388	136	0	0	0
Tsg101	130.750000	368	155	0	0	0
Sec23ip	130.750000	341	182	0	0	0
Mcmbp	130.750000	341	182	0	0	0
Atp13a1	130.250000	391	130	0	0	0
Snrpc	130.000000	520	0	0	0	0
Pgap3	130.000000	397	123	0	0	0
Mrps22	130.000000	520	0	0	0	0
Gpr84	130.000000	387	0	133	0	0
Arih2	130.000000	406	114	0	0	0
Rpl27	129.750000	390	129	0	0	0
Zfc3h1	129.500000	343	175	0	0	0
Tmem129	129.500000	375	143	0	0	0
Thap2	129.500000	343	175	0	0	0
Tacc3	129.500000	375	143	0	0	0
Snrpb2	129.500000	345	173	0	0	0
Rack1	129.500000	409	109	0	0	0
Pnisr	129.500000	416	102	0	0	0
Eya3	129.250000	383	134	0	0	0
Shq1	129.000000	321	195	0	0	0
Fbxw11	129.000000	352	164	0	0	0
Faf2	128.500000	353	161	0	0	0
Dhx16	128.500000	399	115	0	0	0
Smarcd1	128.000000	390	122	0	0	0
Hif1an	128.000000	391	121	0	0	0
Twnk	127.750000	394	117	0	0	0
Rad1	127.750000	343	168	0	0	0
