Target_genes	Irf7|Average	SRX742695|Myeloid_Cells	SRX742696|Myeloid_Cells	SRX742697|Myeloid_Cells	SRX742698|Myeloid_Cells	STRING
Ywhae	36.250000	0	0	145	0	0
Tap1	36.250000	0	0	0	145	0
Skil	36.250000	0	145	0	0	0
Psmb9	36.250000	0	0	0	145	0
Gosr2	36.250000	0	0	145	0	0
Tapbpl	36.000000	0	0	0	144	0
Sel1l	36.000000	0	0	144	0	0
Lrif1	36.000000	0	0	144	0	0
Kctd18	36.000000	0	0	144	0	0
Gatad2a	36.000000	0	0	144	0	0
Ubxn6	35.750000	0	0	143	0	0
Slc3a2	35.750000	0	0	143	0	0
Ptpn23	35.750000	0	0	143	0	0
Irak3	35.750000	0	143	0	0	0
Hdgfl2	35.750000	0	0	143	0	0
Eif1	35.750000	0	0	143	0	0
Rnf38	35.500000	0	0	0	142	0
Rbm42	35.500000	0	0	142	0	0
Pcnp	35.500000	0	0	142	0	0
Serpini1	35.250000	0	0	141	0	0
Pdcd10	35.250000	0	0	141	0	0
Eif3b	35.250000	0	0	141	0	0
Tollip	35.000000	0	0	140	0	0
Scfd1	35.000000	0	0	140	0	0
Iws1	35.000000	0	0	140	0	0
Itgb2	35.000000	0	140	0	0	0
Cr1l	35.000000	0	0	140	0	0
Clk3	35.000000	0	0	140	0	0
Samd9l	34.750000	0	0	139	0	0
Rnls	34.750000	0	0	139	0	0
Kmt2e	34.750000	0	0	139	0	0
Gpr137	34.750000	0	0	0	139	0
Fbl	34.750000	0	0	0	139	0
Ddx60	34.750000	0	0	0	139	0
Bad	34.750000	0	0	0	139	0
Zfp607a	34.500000	0	0	0	138	0
Vamp2	34.500000	0	0	0	138	0
Sphk2	34.500000	0	0	138	0	0
Rpl18	34.500000	0	0	138	0	0
Pcmt1	34.500000	0	0	138	0	0
Lats1	34.500000	0	0	138	0	0
Hjurp	34.500000	0	0	138	0	0
Fam83e	34.500000	0	0	138	0	0
A730008H23Rik	34.500000	0	0	138	0	0
Ufm1	34.250000	0	0	137	0	0
Ubb	34.250000	0	0	137	0	0
Tut1	34.250000	0	0	137	0	0
Trim34a	34.250000	0	0	0	137	0
Ip6k2	34.250000	0	0	137	0	0
Hbs1l	34.250000	0	0	137	0	0
Det1	34.250000	0	0	137	0	0
Rpl24	34.000000	0	136	0	0	0
Irf2	34.000000	0	0	0	136	0
Cct5	34.000000	0	0	136	0	0
Atpsckmt	34.000000	0	0	136	0	0
Atp6v0e	34.000000	0	0	0	136	0
Anxa5	34.000000	0	0	136	0	0
1810062G17Rik	34.000000	0	0	136	0	0
Wipf1	33.750000	0	0	135	0	0
Uqcrq	33.750000	0	0	135	0	0
Triobp	33.750000	0	0	135	0	0
Taok1	33.750000	0	0	135	0	0
Pole3	33.750000	0	0	135	0	0
Mfn2	33.750000	0	0	135	0	0
Gdf9	33.750000	0	0	135	0	0
Dnajb12	33.750000	0	135	0	0	0
Alad	33.750000	0	0	135	0	0
4933430I17Rik	33.750000	0	0	135	0	0
Il31ra	33.500000	0	0	134	0	0
Gm5617	33.500000	0	134	0	0	0
Atp6v1c1	33.500000	0	0	134	0	0
Ppp2r5b	33.250000	0	0	0	133	0
Msantd2	33.250000	0	0	0	133	0
Commd8	33.250000	0	0	133	0	0
Ankzf1	33.250000	0	0	133	0	0
Ywhah	33.000000	0	0	132	0	0
Vps51	33.000000	0	0	0	132	0
Tmem262	33.000000	0	0	0	132	0
Tmbim6	33.000000	0	0	132	0	0
Taf4	33.000000	0	0	132	0	0
Ifih1	33.000000	0	0	0	132	0
Cmc1	33.000000	0	0	132	0	0
Zfp729a	32.750000	0	0	131	0	0
Traf6	32.750000	0	0	131	0	0
Srsf3	32.750000	0	0	131	0	0
Sirt2	32.750000	0	0	131	0	0
Oas2	32.750000	0	0	0	131	0
Nsa2	32.750000	0	0	131	0	0
Nfkbib	32.750000	0	0	131	0	0
Mta2	32.750000	0	0	131	0	0
Luc7l2	32.750000	0	0	131	0	0
Gfm2	32.750000	0	0	131	0	0
Vti1b	32.500000	0	0	130	0	0
Tigd5	32.500000	0	130	0	0	0
Tcta	32.500000	0	0	130	0	0
Sdf4	32.500000	0	0	0	130	0
Rhoa	32.500000	0	0	130	0	0
Ociad1	32.500000	0	0	0	130	0
Lnpep	32.500000	0	0	0	130	0
Eef1d	32.500000	0	130	0	0	0
Cyth4	32.500000	0	0	130	0	0
B3galt6	32.500000	0	0	0	130	0
Zcchc9	32.250000	0	0	129	0	0
Dars	32.250000	0	129	0	0	0
Uros	32.000000	0	0	128	0	0
Smarce1	32.000000	0	128	0	0	0
Mtf2	32.000000	0	0	0	128	0
H4c17	32.000000	0	0	0	128	0
H4bc24	32.000000	0	0	0	128	0
H2bc23	32.000000	0	0	0	128	0
H2ac24	32.000000	0	0	0	128	0
H2ac23	32.000000	0	0	0	128	0
Fam204a	32.000000	0	0	128	0	0
Dctn4	32.000000	0	0	128	0	0
Cox20	32.000000	0	0	128	0	0
Bccip	32.000000	0	0	128	0	0
Mrps18a	31.750000	0	0	127	0	0
Cyba	31.750000	0	0	127	0	0
Cetn3	31.750000	0	0	127	0	0
Wasf2	31.500000	0	0	126	0	0
Rexo4	31.500000	0	0	0	126	0
Pafah1b1	31.500000	0	0	0	126	0
Hspa8	31.500000	0	126	0	0	0
Gm13212	31.500000	0	0	0	126	0
Elk3	31.500000	0	0	126	0	0
Ankfy1	31.500000	0	0	0	126	0
Syvn1	31.250000	0	0	125	0	0
Pigc	31.250000	0	0	125	0	0
4930558K02Rik	31.250000	0	0	125	0	0
1810058I24Rik	31.250000	0	0	125	0	0
Vps4b	31.000000	0	0	0	124	0
Pygo2	31.000000	0	0	124	0	0
Ppp2r5c	31.000000	0	0	124	0	0
Ndufb7	31.000000	0	0	124	0	0
M6pr	31.000000	0	0	124	0	0
Lrmda	31.000000	0	0	0	124	0
Lgals3bp	31.000000	0	0	0	124	0
Gpd2	31.000000	0	0	124	0	0
Abi1	31.000000	0	0	124	0	0
Tfe3	30.750000	0	0	123	0	0
Srsf5	30.750000	0	0	123	0	0
Slc39a1	30.750000	0	0	123	0	0
Sertad2	30.750000	0	0	123	0	0
Lrrc49	30.750000	0	0	123	0	0
Ints12	30.750000	0	0	123	0	0
Gstcd	30.750000	0	0	123	0	0
Creb3l4	30.750000	0	0	123	0	0
Abca3	30.750000	0	0	0	123	0
Abca17	30.750000	0	0	0	123	0
Kif2c	30.500000	0	0	122	0	0
Ddx39b	30.500000	0	122	0	0	0
Coro1b	30.500000	0	0	122	0	0
Trmt112	30.250000	0	0	121	0	0
Tmem219	30.250000	0	0	121	0	0
Rpl29	30.250000	0	0	121	0	0
Prdx5	30.250000	0	0	121	0	0
Ciao2b	30.250000	0	0	121	0	0
Atp6v0d1	30.250000	0	0	121	0	0
Agrp	30.250000	0	0	121	0	0
Trmo	30.000000	0	0	120	0	0
Stt3a	30.000000	0	0	120	0	0
Septin11	30.000000	0	0	120	0	0
Naa80	30.000000	0	0	120	0	0
Mx2	30.000000	0	0	0	120	0
Hyal3	30.000000	0	0	120	0	0
Hyal1	30.000000	0	0	120	0	0
Dync1li1	30.000000	0	0	120	0	0
Dap3	30.000000	0	0	120	0	0
Cln5	30.000000	0	0	120	0	0
Ccnt1	30.000000	0	0	120	0	0
Bnip2	30.000000	0	0	120	0	0
A630001G21Rik	30.000000	0	0	120	0	0
4930415O20Rik	30.000000	0	0	120	0	0
Unc13d	29.750000	0	0	0	119	0
Spata1	29.750000	0	0	119	0	0
Riok3	29.750000	0	0	0	119	0
Ppm1l	29.750000	0	0	119	0	0
Gng5	29.750000	0	0	119	0	0
Cspp1	29.750000	0	0	119	0	0
Cops5	29.750000	0	0	119	0	0
Atf4	29.500000	0	0	118	0	471
Slc30a7	29.500000	0	0	0	118	0
Extl2	29.500000	0	0	0	118	0
Zscan26	29.250000	0	0	117	0	0
Zfp36	29.250000	0	0	117	0	0
Vpreb1	29.250000	0	0	117	0	0
Top3b	29.250000	0	0	117	0	0
Tjp2	29.250000	0	0	117	0	0
Sspn	29.250000	0	0	0	117	0
Plekhg2	29.250000	0	0	117	0	0
Ndufs3	29.250000	0	0	117	0	0
Mcoln1	29.250000	0	0	117	0	0
Kbtbd4	29.250000	0	0	117	0	0
H2-Q4	29.250000	0	0	117	0	0
G3bp1	29.250000	0	0	117	0	0
Blcap	29.250000	0	0	117	0	0
Ttc39b	29.000000	0	0	0	116	0
Trpv2	29.000000	0	0	116	0	0
Tor4a	29.000000	0	0	0	116	0
Rsbn1l	29.000000	0	0	116	0	0
Etfa	29.000000	0	0	116	0	0
Dnlz	29.000000	0	0	0	116	0
Arcn1	29.000000	0	116	0	0	0
Appbp2	29.000000	0	0	116	0	0
Acbd3	29.000000	0	0	116	0	0
Abraxas2	29.000000	0	0	116	0	0
Tmem8b	28.750000	0	0	0	115	0
Supv3l1	28.750000	0	115	0	0	0
Serbp1	28.750000	0	0	115	0	0
Psmd3	28.750000	0	0	115	0	0
Psmc1	28.750000	0	0	115	0	0
Inpp5b	28.750000	0	0	0	115	0
Fam221b	28.750000	0	0	0	115	0
Dcp1a	28.750000	0	0	0	115	0
Top1	28.500000	0	0	114	0	0
Ptprc	28.500000	0	0	114	0	0
Phka2	28.500000	0	0	114	0	0
Knl1	28.500000	0	0	114	0	0
Ifnar1	28.500000	0	0	114	0	0
Tyw5	28.250000	0	0	113	0	0
