Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Ccdc74a	947.333333	0	1052	2530	2587	142	0	0	0	2215	0
Pde4a	942.888889	0	746	2677	2521	106	114	0	0	2322	0
Ankdd1b	942.666667	0	696	3511	3633	164	136	0	0	344	0
Mak16	940.777778	0	1449	2017	2316	140	170	112	0	2263	0
Grb7	938.111111	0	2150	2424	2363	0	0	0	0	1506	0
Mprip	937.666667	0	461	2862	2842	189	196	142	0	1747	0
Mis18bp1	937.333333	0	289	2807	2939	175	193	87	109	1837	0
Foxo3	935.222222	0	1835	2409	2326	153	123	0	0	1571	0
Ccne2	924.444444	0	1298	2397	2437	176	158	0	0	1854	0
Tnfrsf4	924.333333	0	873	3572	3650	0	0	0	0	224	0
Adk	920.777778	0	325	2837	2987	170	159	0	0	1809	0
Afap1l2	920.555556	0	822	3121	3290	143	132	0	0	777	0
Il31ra	920.000000	627	746	967	1030	1107	1084	1103	921	695	0
Arid1a	916.333333	131	1116	1319	1278	1163	1277	349	472	1142	0
Rnf14	915.333333	0	592	2834	2752	223	185	92	0	1560	0
Ap3m1	915.333333	0	325	2837	2987	121	159	0	0	1809	0
Fbxo30	914.888889	0	494	2297	2494	161	200	105	0	2483	0
Ehd2	914.888889	0	1742	2727	2818	0	126	0	0	821	0
Psmb8	912.222222	0	909	3036	3090	0	122	0	0	1053	0
Gpc6	908.888889	0	1926	1913	1998	137	133	98	0	1975	0
Sspn	908.555556	324	325	1153	1277	1231	1206	1077	1126	458	0
Trim6	902.666667	0	1230	3083	3198	0	0	0	0	613	0
Gdpd5	899.222222	0	475	2507	2599	110	128	0	0	2274	0
Neo1	895.888889	0	706	2657	2626	126	114	0	0	1834	0
Camkv	893.777778	0	118	2783	2890	171	143	113	0	1826	0
Hip1	891.111111	0	984	2237	2300	183	127	101	0	2088	0
Pdk4	886.777778	0	756	3081	3188	214	168	0	0	574	0
Tef	886.666667	0	500	2833	2767	176	137	50	0	1517	0
Nr1d2	885.888889	0	466	2772	2861	129	132	0	0	1613	0
Dbp	884.555556	0	1455	2372	2415	0	89	0	0	1630	0
Adgrb3	884.000000	0	1640	2860	2827	131	135	0	0	363	0
Zfp647	883.333333	0	210	2545	2721	225	220	71	74	1884	0
Rps28	882.111111	0	590	3185	3118	222	312	137	0	375	0
Ndufa7	882.111111	0	590	3185	3118	222	312	137	0	375	0
Tmem229b	881.222222	0	545	2485	2469	172	190	0	0	2070	0
Ttc4	878.111111	0	550	2486	2538	287	217	69	0	1756	0
Nfatc4	875.666667	0	1899	2129	2208	107	110	0	0	1428	0
Acsl5	872.333333	0	685	2950	2986	201	90	0	0	939	0
Scin	870.777778	0	1188	2979	2873	183	127	0	0	487	0
Yif1b	870.111111	0	778	2496	2670	185	168	0	0	1534	0
Cdc34	864.333333	0	1240	3064	2880	123	123	0	0	349	0
Snx15	863.888889	0	462	2752	2921	187	156	0	0	1297	0
Fgf12	863.666667	0	2210	2205	2252	140	220	0	0	746	0
Rbm4b	862.222222	0	719	2477	2623	127	219	0	0	1595	0
Zkscan16	861.000000	0	766	2975	2827	210	266	0	0	705	0
Cttnbp2nl	859.888889	0	0	2721	2683	135	246	0	0	1954	0
Smpd2	859.222222	0	517	3255	3240	185	139	0	0	397	0
Ppil6	859.222222	0	517	3255	3240	185	139	0	0	397	0
Pank2	858.777778	0	401	2749	2552	223	201	70	0	1533	0
Zmym5	854.777778	0	353	2579	2722	119	146	0	0	1774	0
Cntnap2	854.333333	0	2221	1319	1354	0	0	0	0	2795	0
Sec24c	852.000000	0	667	2935	3025	108	197	75	0	661	0
Zfp74	849.111111	0	1180	2639	2603	127	180	0	0	913	0
Eml2	848.666667	0	2342	1420	1279	201	184	0	0	2212	0
Arhgef16	847.777778	0	2238	1537	1502	108	110	0	0	2135	0
Ticam2	847.111111	0	453	3171	3302	165	149	0	0	384	0
Ptges2	845.777778	0	720	3045	3038	129	138	0	0	542	0
Pbx2	844.444444	0	1654	2057	2197	0	0	0	0	1692	0
Gpsm3	844.444444	0	1654	2057	2197	0	0	0	0	1692	0
Txn1	841.888889	0	287	2914	3135	123	146	0	0	972	0
Shmt1	841.111111	0	2121	1412	1628	118	0	0	0	2291	0
